s,kW/m2,m,m,m,deg
Time,HF_wide,x_max,y_max,L_F,tilt
 0.0000000E+000, 0.0000000E+000,-3.9500000E+000,-3.9500000E+000, 0.0000000E+000, 0.0000000E+000
 1.0127940E+000, 0.0000000E+000,-3.1894649E+000, 1.0704033E+000, 0.0000000E+000, 0.0000000E+000
 2.0031012E+000, 0.0000000E+000, 9.1537352E-001,-4.4528149E-001, 0.0000000E+000, 0.0000000E+000
 3.0003405E+000, 0.0000000E+000, 9.7762017E-001,-1.3361690E-001, 0.0000000E+000, 0.0000000E+000
 4.0014485E+000, 0.0000000E+000, 1.8657161E+000, 2.5501931E-001, 0.0000000E+000, 0.0000000E+000
 5.0002108E+000, 0.0000000E+000, 1.7743036E+000,-1.0991842E+000, 0.0000000E+000, 0.0000000E+000
 6.0001301E+000, 0.0000000E+000, 7.1297323E-001,-6.0609941E-001, 0.0000000E+000, 0.0000000E+000
 7.0023449E+000, 0.0000000E+000, 1.4650129E-001,-9.7844953E-001, 0.0000000E+000, 0.0000000E+000
 8.0017870E+000, 0.0000000E+000, 2.7309392E-001,-7.6468253E-001, 0.0000000E+000, 0.0000000E+000
 9.0017768E+000, 0.0000000E+000, 8.8852700E-001, 9.5879089E-001, 0.0000000E+000, 0.0000000E+000
 1.0001645E+001, 2.2879300E+000, 4.1068568E-002, 1.7973389E+000, 0.0000000E+000, 2.6810820E+001
 1.1001123E+001, 2.2200833E+000, 6.2338328E-001, 1.4441642E+000, 9.8028272E+000, 1.9237344E+001
 1.2000662E+001, 2.1888839E+000, 1.7923984E-001, 4.5167640E-001, 8.9487274E+000, 1.6282574E+001
 1.3000539E+001, 2.1235797E+000,-3.9145473E-001,-6.0731672E-001, 9.0380226E+000, 1.4120586E+001
 1.4000015E+001, 2.1284100E+000,-6.5704727E-003,-7.0428104E-001, 9.4927626E+000, 1.4235996E+001
 1.5000147E+001, 2.1628787E+000, 3.8397293E-001, 1.9107042E-002, 9.5472965E+000, 1.3498289E+001
 1.6000517E+001, 2.1861475E+000, 2.9730272E-001, 4.1001696E-001, 9.5922117E+000, 1.3093296E+001
 1.7001750E+001, 2.1741801E+000, 6.2589995E-001, 9.9452942E-002, 9.6525981E+000, 1.3026691E+001
 1.8001773E+001, 2.1848268E+000, 6.8027618E-001, 2.0146403E-001, 9.7319374E+000, 1.2803638E+001
 1.9000884E+001, 2.1893590E+000, 4.5752764E-001,-3.6080602E-001, 9.6819569E+000, 1.2677386E+001
 2.0001714E+001, 2.1956123E+000,-2.8101251E-001, 4.8561851E-002, 9.6911794E+000, 1.2683067E+001
 2.1001624E+001, 2.1528381E+000,-4.3067202E-001,-2.7264871E-001, 9.5516450E+000, 1.2530287E+001
 2.2001689E+001, 2.1486755E+000, 6.0371676E-002, 3.1625839E-001, 9.5326869E+000, 1.2111874E+001
