m,C,m,kW
z_TC,TC,z_HRRPUL,HRRPUL
 2.8400000E+000, 9.6330082E+002, 5.0000000E-002, 1.5659656E-003
 3.9600000E+000, 8.8687642E+002, 1.5000000E-001, 3.0632132E+003
 5.5300000E+000, 7.7126397E+002, 2.5000000E-001, 3.0598207E+003
 6.9600000E+000, 6.6449226E+002, 3.5000000E-001, 1.8142251E+003
 1.1010000E+001, 3.8730903E+002, 4.5000000E-001, 1.1878112E+003
NaN,NaN, 5.5000000E-001, 8.9415991E+002
NaN,NaN, 6.5000000E-001, 7.4103672E+002
NaN,NaN, 7.5000000E-001, 6.5040199E+002
NaN,NaN, 8.5000000E-001, 5.8800528E+002
NaN,NaN, 9.5000000E-001, 5.4288044E+002
NaN,NaN, 1.0500000E+000, 5.0912967E+002
NaN,NaN, 1.1500000E+000, 4.8343417E+002
NaN,NaN, 1.2500000E+000, 4.6316523E+002
NaN,NaN, 1.3500000E+000, 4.4681529E+002
NaN,NaN, 1.4500000E+000, 4.3313154E+002
NaN,NaN, 1.5500000E+000, 4.2277428E+002
NaN,NaN, 1.6500000E+000, 4.1541551E+002
NaN,NaN, 1.7500000E+000, 4.0983089E+002
NaN,NaN, 1.8500000E+000, 4.0487509E+002
NaN,NaN, 1.9500000E+000, 4.0111272E+002
NaN,NaN, 2.0500000E+000, 3.9812802E+002
NaN,NaN, 2.1500000E+000, 3.9608473E+002
NaN,NaN, 2.2500000E+000, 3.9517017E+002
NaN,NaN, 2.3500000E+000, 3.9443013E+002
NaN,NaN, 2.4500000E+000, 3.9433807E+002
NaN,NaN, 2.5500000E+000, 3.9487611E+002
NaN,NaN, 2.6500000E+000, 3.9589770E+002
NaN,NaN, 2.7500000E+000, 3.9700020E+002
NaN,NaN, 2.8500000E+000, 3.9847913E+002
NaN,NaN, 2.9500000E+000, 4.0078968E+002
NaN,NaN, 3.0500000E+000, 4.0372476E+002
NaN,NaN, 3.1500000E+000, 4.0635409E+002
NaN,NaN, 3.2500000E+000, 4.0897468E+002
NaN,NaN, 3.3500000E+000, 4.1140805E+002
NaN,NaN, 3.4500000E+000, 4.1434494E+002
NaN,NaN, 3.5500000E+000, 4.1693028E+002
NaN,NaN, 3.6500000E+000, 4.1871758E+002
NaN,NaN, 3.7500000E+000, 4.1969522E+002
NaN,NaN, 3.8500000E+000, 4.2014172E+002
NaN,NaN, 3.9500000E+000, 4.2115017E+002
NaN,NaN, 4.0500000E+000, 4.2071367E+002
NaN,NaN, 4.1500000E+000, 4.1930969E+002
NaN,NaN, 4.2500000E+000, 4.1957783E+002
NaN,NaN, 4.3500000E+000, 4.1954646E+002
NaN,NaN, 4.4500000E+000, 4.1900651E+002
NaN,NaN, 4.5500000E+000, 4.1801745E+002
NaN,NaN, 4.6500000E+000, 4.1595688E+002
NaN,NaN, 4.7500000E+000, 4.1363277E+002
NaN,NaN, 4.8500000E+000, 4.1149191E+002
NaN,NaN, 4.9500000E+000, 4.0856749E+002
NaN,NaN, 5.0500000E+000, 4.0479470E+002
NaN,NaN, 5.1500000E+000, 4.0074239E+002
NaN,NaN, 5.2500000E+000, 3.9647836E+002
NaN,NaN, 5.3500000E+000, 3.9226131E+002
NaN,NaN, 5.4500000E+000, 3.8800180E+002
NaN,NaN, 5.5500000E+000, 3.8398599E+002
NaN,NaN, 5.6500000E+000, 3.7933647E+002
NaN,NaN, 5.7500000E+000, 3.7454337E+002
NaN,NaN, 5.8500000E+000, 3.6913245E+002
NaN,NaN, 5.9500000E+000, 3.6379444E+002
NaN,NaN, 6.0500000E+000, 3.5824554E+002
NaN,NaN, 6.1500000E+000, 3.5262222E+002
NaN,NaN, 6.2500000E+000, 3.4641845E+002
NaN,NaN, 6.3500000E+000, 3.4064395E+002
NaN,NaN, 6.4500000E+000, 3.3470816E+002
NaN,NaN, 6.5500000E+000, 3.2854760E+002
NaN,NaN, 6.6500000E+000, 3.2245987E+002
