s,kW/m2,m,m,m,deg
Time,HF_wide,x_max,y_max,L_F,tilt
 0.0000000E+000, 0.0000000E+000,-3.9500000E+000,-3.9500000E+000, 0.0000000E+000, 0.0000000E+000
 1.0085585E+000, 0.0000000E+000,-3.5709873E+000, 1.9616997E+000, 0.0000000E+000, 0.0000000E+000
 2.0021961E+000, 0.0000000E+000, 6.7887673E-001, 6.9193258E-002, 0.0000000E+000, 0.0000000E+000
 3.0007484E+000, 0.0000000E+000, 5.2866062E-001,-1.8699286E-001, 0.0000000E+000, 0.0000000E+000
 4.0015069E+000, 0.0000000E+000, 7.2274956E-001, 1.7452814E-001, 0.0000000E+000, 0.0000000E+000
 5.0021478E+000, 0.0000000E+000,-3.5256146E-001,-2.5627699E-002, 0.0000000E+000, 0.0000000E+000
 6.0014703E+000, 0.0000000E+000,-4.0700361E-001,-2.5505743E-001, 0.0000000E+000, 0.0000000E+000
 7.0003862E+000, 0.0000000E+000,-1.7795136E-001, 1.7284444E-001, 0.0000000E+000, 0.0000000E+000
 8.0015436E+000, 0.0000000E+000,-2.7809245E-001,-6.6386540E-001, 0.0000000E+000, 0.0000000E+000
 9.0012200E+000, 0.0000000E+000,-3.6198294E-002, 9.2895186E-001, 0.0000000E+000, 0.0000000E+000
 1.0002197E+001, 2.1802660E+000,-2.9926325E-002, 6.2747482E-001, 0.0000000E+000, 1.1872882E+001
 1.1000861E+001, 2.4586051E+000, 3.5168382E-001, 2.9789641E-001, 1.0673952E+001, 8.6796914E+000
 1.2000703E+001, 2.2802554E+000, 6.4364195E-002,-1.8096795E-001, 1.0049598E+001, 8.1710907E+000
 1.3001426E+001, 2.2013822E+000,-2.9093913E-001,-6.1096726E-001, 9.6979335E+000, 8.5944947E+000
 1.4001462E+001, 2.1835744E+000, 6.8219624E-002, 5.5503745E-003, 9.7381486E+000, 8.3140054E+000
 1.5000843E+001, 2.1723565E+000,-2.4164795E-002,-3.7960882E-003, 9.4750481E+000, 7.8795149E+000
 1.6000186E+001, 2.2017389E+000, 1.6654517E-002, 3.0086915E-001, 9.4482210E+000, 7.8153682E+000
 1.7003445E+001, 2.2020757E+000,-1.6641106E-002,-1.9218302E-002, 9.3735479E+000, 7.5867229E+000
 1.8000188E+001, 2.2325283E+000, 1.2730029E-001, 1.7849687E-001, 9.1448199E+000, 7.5930673E+000
 1.9001587E+001, 2.2189813E+000,-3.4796635E-005,-1.8899600E-001, 9.2550876E+000, 7.5396622E+000
 2.0001539E+001, 2.1843361E+000,-4.9785022E-001,-4.1287356E-002, 9.1462860E+000, 7.6549336E+000
 2.1001934E+001, 2.1848786E+000,-2.3105092E-001, 3.4189428E-001, 9.1615535E+000, 7.7101880E+000
 2.2001492E+001, 2.1828069E+000, 2.2525053E-001, 3.5619721E-001, 9.1827268E+000, 7.6593816E+000
