s,kW/m2,m,m,m,deg
Time,HF_wide,x_max,y_max,L_F,tilt
 0.0000000E+000, 0.0000000E+000,-3.9500000E+000,-3.9500000E+000, 0.0000000E+000, 0.0000000E+000
 1.0250074E+000, 0.0000000E+000,-1.7855058E+000, 1.0616520E+000, 0.0000000E+000, 0.0000000E+000
 2.0000580E+000, 0.0000000E+000,-1.8742388E-001,-1.1304082E-001, 0.0000000E+000, 0.0000000E+000
 3.0006762E+000, 0.0000000E+000, 2.7081726E-001, 2.6175002E-001, 0.0000000E+000, 0.0000000E+000
 4.0003328E+000, 0.0000000E+000, 1.1079177E-001,-2.8577243E-002, 0.0000000E+000, 0.0000000E+000
 5.0002083E+000, 0.0000000E+000, 8.8568730E-002, 1.4225596E-002, 0.0000000E+000, 0.0000000E+000
 6.0026400E+000, 0.0000000E+000, 2.8719028E-002, 1.0683728E-002, 0.0000000E+000, 0.0000000E+000
 7.0005812E+000, 0.0000000E+000,-1.7563161E-001,-2.0356821E-001, 0.0000000E+000, 0.0000000E+000
 8.0003620E+000, 0.0000000E+000,-6.4881705E-002, 5.0939237E-003, 0.0000000E+000, 0.0000000E+000
 9.0020614E+000, 0.0000000E+000,-2.6196037E-001,-6.6291118E-002, 0.0000000E+000, 0.0000000E+000
 1.0000606E+001, 4.7555460E-001,-2.0299534E-001,-1.6025540E-001, 0.0000000E+000, 1.8112550E+000
 1.1001287E+001, 4.9179009E-001,-1.3984809E-001, 2.0851685E-001, 7.1489317E+000, 5.8834751E+000
 1.2002067E+001, 4.8854536E-001, 1.5664119E-001,-2.5796013E-001, 7.0333204E+000, 6.0743565E+000
 1.3002657E+001, 4.7245474E-001,-2.4555882E-001, 6.1076027E-002, 7.2081592E+000, 6.0087288E+000
 1.4002710E+001, 4.9448233E-001, 1.5322109E-001,-2.4431930E-001, 6.9537595E+000, 5.9963818E+000
 1.5002237E+001, 5.0315394E-001,-3.6167890E-001,-1.1889443E-001, 6.7687758E+000, 6.3044994E+000
 1.6000110E+001, 5.0281849E-001, 8.9855840E-002, 1.2658514E-001, 6.8850502E+000, 6.1801660E+000
 1.7000028E+001, 4.9348509E-001, 2.2297039E-002, 1.5054391E-001, 7.0328565E+000, 5.9970647E+000
 1.8002756E+001, 4.9757608E-001, 2.0864606E-001,-6.4958650E-002, 6.9798715E+000, 5.8393090E+000
 1.9000574E+001, 4.9454818E-001,-1.7156845E-002, 2.3519535E-001, 6.9459040E+000, 5.8251403E+000
 2.0003023E+001, 5.0260604E-001, 5.0048811E-002, 5.5205894E-002, 6.8522992E+000, 6.0552880E+000
 2.1001282E+001, 5.0820950E-001,-4.8132860E-002, 2.1914531E-001, 6.8653254E+000, 6.0247032E+000
 2.2002387E+001, 5.2213311E-001, 4.4108009E-002, 2.1959240E-001, 6.8415287E+000, 6.3918645E+000
