s,kW/m2,m,m,m,deg
Time,HF_wide,x_max,y_max,L_F,tilt
 0.0000000E+000, 0.0000000E+000,-3.9500000E+000,-3.9500000E+000, 0.0000000E+000, 0.0000000E+000
 1.0008872E+000, 0.0000000E+000,-3.3842045E+000, 1.0198000E+000, 0.0000000E+000, 0.0000000E+000
 2.0040173E+000, 0.0000000E+000, 1.0147555E+000,-4.0895355E-001, 0.0000000E+000, 0.0000000E+000
 3.0023693E+000, 0.0000000E+000, 1.1037818E+000,-1.6049180E-001, 0.0000000E+000, 0.0000000E+000
 4.0002717E+000, 0.0000000E+000, 1.6876423E+000, 2.9864608E-001, 0.0000000E+000, 0.0000000E+000
 5.0015589E+000, 0.0000000E+000, 9.9236099E-001,-7.2705282E-001, 0.0000000E+000, 0.0000000E+000
 6.0014791E+000, 0.0000000E+000, 7.7025880E-001,-7.8176338E-001, 0.0000000E+000, 0.0000000E+000
 7.0010502E+000, 0.0000000E+000, 2.9588378E-001,-7.2715390E-001, 0.0000000E+000, 0.0000000E+000
 8.0008237E+000, 0.0000000E+000,-3.1964963E-002,-6.9916327E-001, 0.0000000E+000, 0.0000000E+000
 9.0023014E+000, 0.0000000E+000, 1.8384949E-001, 5.6901292E-001, 0.0000000E+000, 0.0000000E+000
 1.0001985E+001, 3.1527904E+000, 2.8177411E-001, 1.6150166E+000, 0.0000000E+000, 9.7942944E+000
 1.1002686E+001, 2.4483994E+000, 5.6139681E-001, 7.1983675E-001, 8.9387018E+000, 1.2802209E+001
 1.2001525E+001, 2.3933051E+000,-1.2223410E-001,-2.3548948E-001, 9.3594959E+000, 1.0034124E+001
 1.3001054E+001, 2.4519007E+000, 5.0191663E-002,-1.2228887E+000, 9.0787709E+000, 1.1667838E+001
 1.4001341E+001, 2.4521311E+000,-1.0033694E-001,-1.0485367E+000, 9.1045927E+000, 1.2408687E+001
 1.5000374E+001, 2.3820876E+000, 5.2749227E-001, 4.9652930E-001, 9.2607961E+000, 1.2036624E+001
 1.6001009E+001, 2.4156513E+000, 5.9686223E-002, 6.1288347E-001, 9.2383596E+000, 1.1903252E+001
 1.7002174E+001, 2.4273226E+000, 5.3276419E-001, 2.6495360E-001, 9.2852127E+000, 1.1737457E+001
 1.8000613E+001, 2.4556975E+000, 9.4255063E-001, 5.0648994E-001, 9.3567222E+000, 1.2082041E+001
 1.9000749E+001, 2.4769906E+000, 7.7036828E-001, 5.4181771E-002, 9.3479038E+000, 1.2247278E+001
 2.0001725E+001, 2.5193583E+000,-3.5857301E-001,-3.8827128E-001, 9.3169661E+000, 1.2218089E+001
 2.1000758E+001, 2.4664588E+000,-2.2534619E-001, 1.8080136E-001, 9.3131403E+000, 1.1815839E+001
 2.2001987E+001, 2.4657587E+000,-2.9056242E-001, 6.6397277E-001, 9.3183380E+000, 1.1728299E+001
