m,C,m,kW
z_TC,TC,z_HRRPUL,HRRPUL
 2.8400000E+000, 1.0351621E+003, 5.0000000E-002, 9.1330544E-004
 3.9600000E+000, 9.7143078E+002, 1.5000000E-001, 1.9207189E+003
 5.5300000E+000, 8.6074096E+002, 2.5000000E-001, 2.0560228E+003
 6.9600000E+000, 7.6998240E+002, 3.5000000E-001, 1.1891677E+003
 1.1010000E+001, 4.9180105E+002, 4.5000000E-001, 7.7160874E+002
NaN,NaN, 5.5000000E-001, 5.8501386E+002
NaN,NaN, 6.5000000E-001, 4.8863170E+002
NaN,NaN, 7.5000000E-001, 4.3219906E+002
NaN,NaN, 8.5000000E-001, 3.9430864E+002
NaN,NaN, 9.5000000E-001, 3.6700630E+002
NaN,NaN, 1.0500000E+000, 3.4706625E+002
NaN,NaN, 1.1500000E+000, 3.3153332E+002
NaN,NaN, 1.2500000E+000, 3.1923166E+002
NaN,NaN, 1.3500000E+000, 3.0956615E+002
NaN,NaN, 1.4500000E+000, 3.0129332E+002
NaN,NaN, 1.5500000E+000, 2.9488091E+002
NaN,NaN, 1.6500000E+000, 2.8962166E+002
NaN,NaN, 1.7500000E+000, 2.8562833E+002
NaN,NaN, 1.8500000E+000, 2.8210364E+002
NaN,NaN, 1.9500000E+000, 2.7949813E+002
NaN,NaN, 2.0500000E+000, 2.7763287E+002
NaN,NaN, 2.1500000E+000, 2.7683966E+002
NaN,NaN, 2.2500000E+000, 2.7635808E+002
NaN,NaN, 2.3500000E+000, 2.7650973E+002
NaN,NaN, 2.4500000E+000, 2.7745331E+002
NaN,NaN, 2.5500000E+000, 2.7886630E+002
NaN,NaN, 2.6500000E+000, 2.8059960E+002
NaN,NaN, 2.7500000E+000, 2.8280863E+002
NaN,NaN, 2.8500000E+000, 2.8559504E+002
NaN,NaN, 2.9500000E+000, 2.8860681E+002
NaN,NaN, 3.0500000E+000, 2.9178736E+002
NaN,NaN, 3.1500000E+000, 2.9483519E+002
