m,C,m,kW
z_TC,TC,z_HRRPUL,HRRPUL
 2.8400000E+000, 9.0590484E+001, 5.0000000E-002, 1.9407040E+000
 3.9600000E+000, 5.8866195E+001, 1.5000000E-001, 1.1897335E+003
 5.5300000E+000, 4.9079775E+001, 2.5000000E-001, 1.4555326E+003
 6.9600000E+000, 3.4571965E+001, 3.5000000E-001, 9.3422758E+002
 1.1010000E+001, 1.9630456E+001, 4.5000000E-001, 6.8638123E+002
NaN,NaN, 5.5000000E-001, 5.6810481E+002
NaN,NaN, 6.5000000E-001, 5.0337067E+002
NaN,NaN, 7.5000000E-001, 4.6084461E+002
NaN,NaN, 8.5000000E-001, 4.3035809E+002
NaN,NaN, 9.5000000E-001, 4.0888160E+002
NaN,NaN, 1.0500000E+000, 3.9315152E+002
NaN,NaN, 1.1500000E+000, 3.8171293E+002
NaN,NaN, 1.2500000E+000, 3.7203751E+002
NaN,NaN, 1.3500000E+000, 3.6397787E+002
NaN,NaN, 1.4500000E+000, 3.5696909E+002
NaN,NaN, 1.5500000E+000, 3.5119666E+002
NaN,NaN, 1.6500000E+000, 3.4565083E+002
NaN,NaN, 1.7500000E+000, 3.3966806E+002
NaN,NaN, 1.8500000E+000, 3.3294970E+002
NaN,NaN, 1.9500000E+000, 3.2757576E+002
NaN,NaN, 2.0500000E+000, 3.2125912E+002
NaN,NaN, 2.1500000E+000, 3.1502270E+002
NaN,NaN, 2.2500000E+000, 3.0839650E+002
NaN,NaN, 2.3500000E+000, 3.0153581E+002
NaN,NaN, 2.4500000E+000, 2.9554954E+002
NaN,NaN, 2.5500000E+000, 2.8908666E+002
NaN,NaN, 2.6500000E+000, 2.8220314E+002
NaN,NaN, 2.7500000E+000, 2.7491105E+002
NaN,NaN, 2.8500000E+000, 2.6719606E+002
NaN,NaN, 2.9500000E+000, 2.5857408E+002
NaN,NaN, 3.0500000E+000, 2.4935359E+002
NaN,NaN, 3.1500000E+000, 2.3915856E+002
NaN,NaN, 3.2500000E+000, 2.2815896E+002
NaN,NaN, 3.3500000E+000, 2.1692558E+002
NaN,NaN, 3.4500000E+000, 2.0545850E+002
NaN,NaN, 3.5500000E+000, 1.9341895E+002
NaN,NaN, 3.6500000E+000, 1.8094225E+002
NaN,NaN, 3.7500000E+000, 1.6865067E+002
NaN,NaN, 3.8500000E+000, 1.5649930E+002
NaN,NaN, 3.9500000E+000, 1.4537488E+002
NaN,NaN, 4.0500000E+000, 1.3394870E+002
NaN,NaN, 4.1500000E+000, 1.2333329E+002
NaN,NaN, 4.2500000E+000, 1.1328101E+002
NaN,NaN, 4.3500000E+000, 1.0407639E+002
NaN,NaN, 4.4500000E+000, 9.5249615E+001
NaN,NaN, 4.5500000E+000, 8.7030682E+001
NaN,NaN, 4.6500000E+000, 7.9326307E+001
NaN,NaN, 4.7500000E+000, 7.2237961E+001
NaN,NaN, 4.8500000E+000, 6.5599688E+001
NaN,NaN, 4.9500000E+000, 5.9416117E+001
NaN,NaN, 5.0500000E+000, 5.3649801E+001
NaN,NaN, 5.1500000E+000, 4.8201993E+001
NaN,NaN, 5.2500000E+000, 4.3172334E+001
NaN,NaN, 5.3500000E+000, 3.8708441E+001
NaN,NaN, 5.4500000E+000, 3.4707359E+001
NaN,NaN, 5.5500000E+000, 3.1125290E+001
NaN,NaN, 5.6500000E+000, 2.7934156E+001
NaN,NaN, 5.7500000E+000, 2.5027525E+001
NaN,NaN, 5.8500000E+000, 2.2465595E+001
NaN,NaN, 5.9500000E+000, 2.0397258E+001
NaN,NaN, 6.0500000E+000, 1.8612229E+001
NaN,NaN, 6.1500000E+000, 1.6994771E+001
NaN,NaN, 6.2500000E+000, 1.5504837E+001
NaN,NaN, 6.3500000E+000, 1.4160469E+001
NaN,NaN, 6.4500000E+000, 1.2875152E+001
NaN,NaN, 6.5500000E+000, 1.1731730E+001
NaN,NaN, 6.6500000E+000, 1.0684345E+001
NaN,NaN, 6.7500000E+000, 9.6534639E+000
NaN,NaN, 6.8500000E+000, 8.6661316E+000
NaN,NaN, 6.9500000E+000, 7.7584067E+000
NaN,NaN, 7.0500000E+000, 6.8138785E+000
NaN,NaN, 7.1500000E+000, 5.9678398E+000
NaN,NaN, 7.2500000E+000, 5.2558899E+000
NaN,NaN, 7.3500000E+000, 4.6592765E+000
NaN,NaN, 7.4500000E+000, 4.1035564E+000
NaN,NaN, 7.5500000E+000, 3.5614606E+000
NaN,NaN, 7.6500000E+000, 3.0536357E+000
NaN,NaN, 7.7500000E+000, 2.6203350E+000
NaN,NaN, 7.8500000E+000, 2.2815410E+000
NaN,NaN, 7.9500000E+000, 2.0133060E+000
NaN,NaN, 8.0500000E+000, 1.7766889E+000
NaN,NaN, 8.1500000E+000, 1.5688537E+000
NaN,NaN, 8.2500000E+000, 1.3828578E+000
NaN,NaN, 8.3500000E+000, 1.1950725E+000
NaN,NaN, 8.4500000E+000, 1.0219415E+000
NaN,NaN, 8.5500000E+000, 8.7918122E-001
NaN,NaN, 8.6500000E+000, 7.6187034E-001
NaN,NaN, 8.7500000E+000, 6.5906553E-001
NaN,NaN, 8.8500000E+000, 5.5710450E-001
NaN,NaN, 8.9500000E+000, 4.6609912E-001
NaN,NaN, 9.0500000E+000, 3.8905378E-001
NaN,NaN, 9.1500000E+000, 3.2916939E-001
NaN,NaN, 9.2500000E+000, 2.8032053E-001
NaN,NaN, 9.3500000E+000, 2.3508796E-001
NaN,NaN, 9.4500000E+000, 1.9532691E-001
NaN,NaN, 9.5500000E+000, 1.6421866E-001
NaN,NaN, 9.6500000E+000, 1.3597200E-001
NaN,NaN, 9.7500000E+000, 1.1514710E-001
NaN,NaN, 9.8500000E+000, 9.6460593E-002
NaN,NaN, 9.9500000E+000, 7.9980994E-002
NaN,NaN, 1.0050000E+001, 6.6975374E-002
NaN,NaN, 1.0150000E+001, 5.6821486E-002
NaN,NaN, 1.0250000E+001, 4.9029571E-002
NaN,NaN, 1.0350000E+001, 4.2789528E-002
NaN,NaN, 1.0450000E+001, 3.7117044E-002
NaN,NaN, 1.0550000E+001, 3.2011230E-002
NaN,NaN, 1.0650000E+001, 2.7404780E-002
NaN,NaN, 1.0750000E+001, 2.3166756E-002
NaN,NaN, 1.0850000E+001, 1.8783346E-002
NaN,NaN, 1.0950000E+001, 1.4883305E-002
NaN,NaN, 1.1050000E+001, 1.1587633E-002
NaN,NaN, 1.1150000E+001, 8.8081527E-003
NaN,NaN, 1.1250000E+001, 6.7015347E-003
NaN,NaN, 1.1350000E+001, 5.0076602E-003
NaN,NaN, 1.1450000E+001, 3.6541403E-003
NaN,NaN, 1.1550000E+001, 2.8001082E-003
NaN,NaN, 1.1650000E+001, 1.9013699E-003
NaN,NaN, 1.1750000E+001, 1.5627509E-003
NaN,NaN, 1.1850000E+001, 1.0340161E-003
NaN,NaN, 1.1950000E+001, 8.6645095E-004
