m,C,m,kW
z_TC,TC,z_HRRPUL,HRRPUL
 2.8400000E+000, 1.0448572E+003, 5.0000000E-002, 1.8611409E-003
 3.9600000E+000, 9.8153218E+002, 1.5000000E-001, 4.0902921E+003
 5.5300000E+000, 8.5588590E+002, 2.5000000E-001, 4.1716224E+003
 6.9600000E+000, 7.3743301E+002, 3.5000000E-001, 2.5506631E+003
 1.1010000E+001, 4.4320693E+002, 4.5000000E-001, 1.7051280E+003
NaN,NaN, 5.5000000E-001, 1.3110520E+003
NaN,NaN, 6.5000000E-001, 1.0973284E+003
NaN,NaN, 7.5000000E-001, 9.6183566E+002
NaN,NaN, 8.5000000E-001, 8.6851696E+002
NaN,NaN, 9.5000000E-001, 7.9853538E+002
NaN,NaN, 1.0500000E+000, 7.4417087E+002
NaN,NaN, 1.1500000E+000, 6.9979885E+002
NaN,NaN, 1.2500000E+000, 6.6508939E+002
NaN,NaN, 1.3500000E+000, 6.3641232E+002
NaN,NaN, 1.4500000E+000, 6.1231372E+002
NaN,NaN, 1.5500000E+000, 5.9215431E+002
NaN,NaN, 1.6500000E+000, 5.7537732E+002
NaN,NaN, 1.7500000E+000, 5.6199485E+002
NaN,NaN, 1.8500000E+000, 5.5167574E+002
NaN,NaN, 1.9500000E+000, 5.4271394E+002
NaN,NaN, 2.0500000E+000, 5.3567713E+002
NaN,NaN, 2.1500000E+000, 5.2983111E+002
NaN,NaN, 2.2500000E+000, 5.2530788E+002
NaN,NaN, 2.3500000E+000, 5.2260271E+002
NaN,NaN, 2.4500000E+000, 5.2053426E+002
NaN,NaN, 2.5500000E+000, 5.1908765E+002
NaN,NaN, 2.6500000E+000, 5.1850313E+002
NaN,NaN, 2.7500000E+000, 5.1849188E+002
NaN,NaN, 2.8500000E+000, 5.1870640E+002
NaN,NaN, 2.9500000E+000, 5.1893504E+002
NaN,NaN, 3.0500000E+000, 5.1922102E+002
NaN,NaN, 3.1500000E+000, 5.2007061E+002
NaN,NaN, 3.2500000E+000, 5.2069029E+002
NaN,NaN, 3.3500000E+000, 5.2130607E+002
NaN,NaN, 3.4500000E+000, 5.2269978E+002
NaN,NaN, 3.5500000E+000, 5.2429910E+002
NaN,NaN, 3.6500000E+000, 5.2668498E+002
NaN,NaN, 3.7500000E+000, 5.2849532E+002
NaN,NaN, 3.8500000E+000, 5.3043951E+002
NaN,NaN, 3.9500000E+000, 5.3361494E+002
NaN,NaN, 4.0500000E+000, 5.3391783E+002
NaN,NaN, 4.1500000E+000, 5.3315545E+002
NaN,NaN, 4.2500000E+000, 5.3445516E+002
NaN,NaN, 4.3500000E+000, 5.3505835E+002
NaN,NaN, 4.4500000E+000, 5.3543240E+002
NaN,NaN, 4.5500000E+000, 5.3526513E+002
NaN,NaN, 4.6500000E+000, 5.3525155E+002
NaN,NaN, 4.7500000E+000, 5.3625363E+002
NaN,NaN, 4.8500000E+000, 5.3621501E+002
NaN,NaN, 4.9500000E+000, 5.3478992E+002
NaN,NaN, 5.0500000E+000, 5.3347410E+002
NaN,NaN, 5.1500000E+000, 5.3142150E+002
NaN,NaN, 5.2500000E+000, 5.2778108E+002
NaN,NaN, 5.3500000E+000, 5.2313640E+002
NaN,NaN, 5.4500000E+000, 5.1868420E+002
NaN,NaN, 5.5500000E+000, 5.1442647E+002
NaN,NaN, 5.6500000E+000, 5.0957729E+002
NaN,NaN, 5.7500000E+000, 5.0368913E+002
NaN,NaN, 5.8500000E+000, 4.9781494E+002
NaN,NaN, 5.9500000E+000, 4.9072503E+002
NaN,NaN, 6.0500000E+000, 4.8336699E+002
NaN,NaN, 6.1500000E+000, 4.7571040E+002
NaN,NaN, 6.2500000E+000, 4.6817555E+002
NaN,NaN, 6.3500000E+000, 4.6059940E+002
NaN,NaN, 6.4500000E+000, 4.5304365E+002
NaN,NaN, 6.5500000E+000, 4.4562420E+002
NaN,NaN, 6.6500000E+000, 4.3766365E+002
NaN,NaN, 6.7500000E+000, 4.3034070E+002
NaN,NaN, 6.8500000E+000, 4.2306153E+002
NaN,NaN, 6.9500000E+000, 4.1483397E+002
NaN,NaN, 7.0500000E+000, 4.0666143E+002
NaN,NaN, 7.1500000E+000, 3.9921913E+002
NaN,NaN, 7.2500000E+000, 3.9149688E+002
NaN,NaN, 7.3500000E+000, 3.8413580E+002
NaN,NaN, 7.4500000E+000, 3.7626623E+002
NaN,NaN, 7.5500000E+000, 3.6841263E+002
NaN,NaN, 7.6500000E+000, 3.5969665E+002
NaN,NaN, 7.7500000E+000, 3.5165387E+002
NaN,NaN, 7.8500000E+000, 3.4310865E+002
NaN,NaN, 7.9500000E+000, 3.3623205E+002
NaN,NaN, 8.0500000E+000, 3.2757382E+002
NaN,NaN, 8.1500000E+000, 3.1901469E+002
NaN,NaN, 8.2500000E+000, 3.1002949E+002
NaN,NaN, 8.3500000E+000, 3.0217307E+002
NaN,NaN, 8.4500000E+000, 2.9378037E+002
NaN,NaN, 8.5500000E+000, 2.8590858E+002
NaN,NaN, 8.6500000E+000, 2.7729714E+002
NaN,NaN, 8.7500000E+000, 2.7025737E+002
NaN,NaN, 8.8500000E+000, 2.6254484E+002
NaN,NaN, 8.9500000E+000, 2.5547573E+002
NaN,NaN, 9.0500000E+000, 2.4857302E+002
NaN,NaN, 9.1500000E+000, 2.4224796E+002
NaN,NaN, 9.2500000E+000, 2.3559355E+002
NaN,NaN, 9.3500000E+000, 2.2963492E+002
NaN,NaN, 9.4500000E+000, 2.2361118E+002
NaN,NaN, 9.5500000E+000, 2.1786515E+002
NaN,NaN, 9.6500000E+000, 2.1168924E+002
NaN,NaN, 9.7500000E+000, 2.0612056E+002
NaN,NaN, 9.8500000E+000, 2.0059669E+002
NaN,NaN, 9.9500000E+000, 1.9552353E+002
NaN,NaN, 1.0050000E+001, 1.9002525E+002
NaN,NaN, 1.0150000E+001, 1.8449422E+002
NaN,NaN, 1.0250000E+001, 1.7911333E+002
NaN,NaN, 1.0350000E+001, 1.7409247E+002
NaN,NaN, 1.0450000E+001, 1.6878753E+002
NaN,NaN, 1.0550000E+001, 1.6412853E+002
NaN,NaN, 1.0650000E+001, 1.5893609E+002
NaN,NaN, 1.0750000E+001, 1.5527998E+002
NaN,NaN, 1.0850000E+001, 1.5050845E+002
NaN,NaN, 1.0950000E+001, 1.4710219E+002
NaN,NaN, 1.1050000E+001, 1.4308919E+002
NaN,NaN, 1.1150000E+001, 1.4012024E+002
NaN,NaN, 1.1250000E+001, 1.3684716E+002
NaN,NaN, 1.1350000E+001, 1.3474052E+002
NaN,NaN, 1.1450000E+001, 1.3218236E+002
NaN,NaN, 1.1550000E+001, 1.3179621E+002
NaN,NaN, 1.1650000E+001, 1.3016583E+002
NaN,NaN, 1.1750000E+001, 1.3177563E+002
NaN,NaN, 1.1850000E+001, 1.3087004E+002
NaN,NaN, 1.1950000E+001, 1.5869409E+002
