s,C,C,C
Time,"Cable Temp","Shroud Temp","Conduit"
 0.000E+00, 3.100E+01, 3.100E+01, 3.100E+01
 1.503E+01, 3.100E+01, 6.850E+01, 3.106E+01
 3.003E+01, 3.100E+01, 1.423E+02, 3.162E+01
 4.502E+01, 3.103E+01, 2.164E+02, 3.324E+01
 6.003E+01, 3.109E+01, 2.903E+02, 3.648E+01
 7.501E+01, 3.120E+01, 3.642E+02, 4.200E+01
 9.001E+01, 3.144E+01, 4.381E+02, 5.072E+01
 1.050E+02, 3.185E+01, 4.750E+02, 6.294E+01
 1.200E+02, 3.246E+01, 4.750E+02, 7.566E+01
 1.350E+02, 3.320E+01, 4.750E+02, 8.817E+01
 1.500E+02, 3.405E+01, 4.750E+02, 1.004E+02
 1.650E+02, 3.506E+01, 4.750E+02, 1.124E+02
 1.800E+02, 3.631E+01, 4.750E+02, 1.242E+02
 1.950E+02, 3.776E+01, 4.750E+02, 1.357E+02
 2.100E+02, 3.940E+01, 4.750E+02, 1.470E+02
 2.250E+02, 4.130E+01, 4.750E+02, 1.579E+02
 2.400E+02, 4.342E+01, 4.750E+02, 1.686E+02
 2.550E+02, 4.567E+01, 4.750E+02, 1.791E+02
 2.700E+02, 4.802E+01, 4.750E+02, 1.893E+02
 2.850E+02, 5.057E+01, 4.750E+02, 1.991E+02
 3.000E+02, 5.329E+01, 4.750E+02, 2.088E+02
 3.150E+02, 5.625E+01, 4.750E+02, 2.181E+02
 3.300E+02, 5.941E+01, 4.750E+02, 2.273E+02
 3.450E+02, 6.272E+01, 4.750E+02, 2.361E+02
 3.600E+02, 6.625E+01, 4.750E+02, 2.447E+02
 3.750E+02, 7.004E+01, 4.750E+02, 2.530E+02
 3.900E+02, 7.403E+01, 4.750E+02, 2.611E+02
 4.050E+02, 7.820E+01, 4.750E+02, 2.689E+02
 4.200E+02, 8.252E+01, 4.750E+02, 2.764E+02
 4.350E+02, 8.705E+01, 4.750E+02, 2.837E+02
 4.500E+02, 9.180E+01, 4.750E+02, 2.906E+02
 4.650E+02, 9.668E+01, 4.750E+02, 2.974E+02
 4.800E+02, 1.017E+02, 4.750E+02, 3.039E+02
 4.950E+02, 1.068E+02, 4.750E+02, 3.101E+02
 5.100E+02, 1.121E+02, 4.750E+02, 3.161E+02
 5.250E+02, 1.175E+02, 4.750E+02, 3.218E+02
 5.400E+02, 1.231E+02, 4.750E+02, 3.271E+02
 5.550E+02, 1.288E+02, 4.750E+02, 3.323E+02
 5.700E+02, 1.346E+02, 4.750E+02, 3.373E+02
 5.850E+02, 1.404E+02, 4.750E+02, 3.420E+02
 6.000E+02, 1.462E+02, 4.750E+02, 3.466E+02
 6.150E+02, 1.521E+02, 4.750E+02, 3.510E+02
 6.300E+02, 1.580E+02, 4.750E+02, 3.551E+02
 6.450E+02, 1.640E+02, 4.750E+02, 3.589E+02
 6.600E+02, 1.700E+02, 4.750E+02, 3.627E+02
 6.750E+02, 1.760E+02, 4.750E+02, 3.662E+02
 6.900E+02, 1.819E+02, 4.750E+02, 3.697E+02
 7.050E+02, 1.878E+02, 4.750E+02, 3.731E+02
 7.200E+02, 1.937E+02, 4.750E+02, 3.763E+02
 7.350E+02, 1.996E+02, 4.750E+02, 3.792E+02
 7.500E+02, 2.055E+02, 4.750E+02, 3.819E+02
 7.650E+02, 2.113E+02, 4.750E+02, 3.847E+02
 7.800E+02, 2.170E+02, 4.750E+02, 3.872E+02
 7.950E+02, 2.227E+02, 4.750E+02, 3.897E+02
 8.100E+02, 2.283E+02, 4.750E+02, 3.920E+02
 8.250E+02, 2.338E+02, 4.750E+02, 3.943E+02
 8.400E+02, 2.393E+02, 4.750E+02, 3.963E+02
 8.550E+02, 2.446E+02, 4.750E+02, 3.984E+02
 8.700E+02, 2.499E+02, 4.750E+02, 4.003E+02
 8.850E+02, 2.550E+02, 4.750E+02, 4.022E+02
 9.000E+02, 2.601E+02, 4.750E+02, 4.039E+02
 9.150E+02, 2.652E+02, 4.750E+02, 4.056E+02
 9.300E+02, 2.700E+02, 4.750E+02, 4.072E+02
 9.450E+02, 2.748E+02, 4.750E+02, 4.087E+02
 9.600E+02, 2.796E+02, 4.750E+02, 4.102E+02
 9.750E+02, 2.842E+02, 4.750E+02, 4.114E+02
 9.900E+02, 2.886E+02, 4.750E+02, 4.127E+02
 1.005E+03, 2.929E+02, 4.750E+02, 4.137E+02
 1.020E+03, 2.972E+02, 4.750E+02, 4.147E+02
 1.035E+03, 3.013E+02, 4.750E+02, 4.159E+02
 1.050E+03, 3.053E+02, 4.750E+02, 4.172E+02
 1.065E+03, 3.093E+02, 4.750E+02, 4.182E+02
 1.080E+03, 3.132E+02, 4.750E+02, 4.193E+02
 1.095E+03, 3.170E+02, 4.750E+02, 4.203E+02
 1.110E+03, 3.207E+02, 4.750E+02, 4.211E+02
 1.125E+03, 3.243E+02, 4.750E+02, 4.220E+02
 1.140E+03, 3.278E+02, 4.750E+02, 4.230E+02
 1.155E+03, 3.313E+02, 4.750E+02, 4.238E+02
 1.170E+03, 3.346E+02, 4.750E+02, 4.245E+02
 1.185E+03, 3.378E+02, 4.750E+02, 4.252E+02
 1.200E+03, 3.409E+02, 4.750E+02, 4.259E+02
 1.215E+03, 3.439E+02, 4.750E+02, 4.267E+02
 1.230E+03, 3.469E+02, 4.750E+02, 4.275E+02
 1.245E+03, 3.498E+02, 4.750E+02, 4.281E+02
 1.260E+03, 3.526E+02, 4.750E+02, 4.287E+02
 1.275E+03, 3.553E+02, 4.750E+02, 4.293E+02
 1.290E+03, 3.580E+02, 4.750E+02, 4.298E+02
 1.305E+03, 3.605E+02, 4.750E+02, 4.303E+02
 1.320E+03, 3.630E+02, 4.750E+02, 4.309E+02
 1.335E+03, 3.655E+02, 4.750E+02, 4.314E+02
 1.350E+03, 3.678E+02, 4.750E+02, 4.318E+02
 1.365E+03, 3.699E+02, 4.750E+02, 4.322E+02
 1.380E+03, 3.721E+02, 4.750E+02, 4.326E+02
 1.395E+03, 3.742E+02, 4.750E+02, 4.331E+02
 1.410E+03, 3.763E+02, 4.750E+02, 4.334E+02
 1.425E+03, 3.783E+02, 4.750E+02, 4.338E+02
 1.440E+03, 3.802E+02, 4.750E+02, 4.341E+02
 1.455E+03, 3.821E+02, 4.750E+02, 4.345E+02
 1.470E+03, 3.839E+02, 4.750E+02, 4.348E+02
 1.485E+03, 3.857E+02, 4.750E+02, 4.351E+02
 1.500E+03, 3.874E+02, 4.750E+02, 4.354E+02
 1.515E+03, 3.890E+02, 4.750E+02, 4.356E+02
 1.530E+03, 3.906E+02, 4.750E+02, 4.360E+02
 1.545E+03, 3.922E+02, 4.750E+02, 4.365E+02
 1.560E+03, 3.938E+02, 4.750E+02, 4.369E+02
 1.575E+03, 3.953E+02, 4.750E+02, 4.371E+02
 1.590E+03, 3.968E+02, 4.750E+02, 4.375E+02
 1.605E+03, 3.982E+02, 4.750E+02, 4.378E+02
