m,kW/m2,m,kW/m2,m,kW/m2
Tot_Flux-z,Tot_Flux,Con_Flux-z,Con_Flux,Rad_Flux-z,Rad_Flux
 2.750E+00, 2.354E+01, 2.750E+00, 1.089E+00, 2.750E+00, 1.058E+01
 2.850E+00, 1.783E+01, 2.850E+00, 7.326E-02, 2.850E+00, 1.015E+01
 2.950E+00, 1.433E+01, 2.950E+00,-3.532E-01, 2.950E+00, 9.078E+00
 3.050E+00, 1.210E+01, 3.050E+00,-5.360E-01, 3.050E+00, 8.134E+00
 3.150E+00, 1.045E+01, 3.150E+00,-4.990E-01, 3.150E+00, 7.287E+00
 3.250E+00, 9.160E+00, 3.250E+00,-5.038E-01, 3.250E+00, 6.576E+00
 3.350E+00, 8.110E+00, 3.350E+00,-4.349E-01, 3.350E+00, 5.940E+00
 3.450E+00, 7.242E+00, 3.450E+00,-3.792E-01, 3.450E+00, 5.387E+00
 3.550E+00, 6.503E+00, 3.550E+00,-3.220E-01, 3.550E+00, 4.897E+00
 3.650E+00, 5.867E+00, 3.650E+00,-2.759E-01, 3.650E+00, 4.465E+00
 3.750E+00, 5.311E+00, 3.750E+00,-2.466E-01, 3.750E+00, 4.083E+00
 3.850E+00, 4.823E+00, 3.850E+00,-2.197E-01, 3.850E+00, 3.741E+00
 3.950E+00, 4.393E+00, 3.950E+00,-1.915E-01, 3.950E+00, 3.437E+00
 4.050E+00, 4.013E+00, 4.050E+00,-1.637E-01, 4.050E+00, 3.163E+00
 4.150E+00, 3.673E+00, 4.150E+00,-1.386E-01, 4.150E+00, 2.917E+00
 4.250E+00, 3.372E+00, 4.250E+00,-1.178E-01, 4.250E+00, 2.695E+00
 4.350E+00, 3.103E+00, 4.350E+00,-9.939E-02, 4.350E+00, 2.495E+00
 4.450E+00, 2.865E+00, 4.450E+00,-7.812E-02, 4.450E+00, 2.314E+00
 4.550E+00, 2.650E+00, 4.550E+00,-5.857E-02, 4.550E+00, 2.150E+00
 4.650E+00, 2.454E+00, 4.650E+00,-4.151E-02, 4.650E+00, 2.002E+00
 4.750E+00, 2.277E+00, 4.750E+00,-2.571E-02, 4.750E+00, 1.867E+00
 4.850E+00, 2.116E+00, 4.850E+00,-1.126E-02, 4.850E+00, 1.744E+00
 4.950E+00, 1.968E+00, 4.950E+00, 1.028E-03, 4.950E+00, 1.631E+00
 5.050E+00, 1.832E+00, 5.050E+00, 1.090E-02, 5.050E+00, 1.527E+00
 5.150E+00, 1.709E+00, 5.150E+00, 2.169E-02, 5.150E+00, 1.433E+00
 5.250E+00, 1.599E+00, 5.250E+00, 3.339E-02, 5.250E+00, 1.346E+00
 5.350E+00, 1.499E+00, 5.350E+00, 4.632E-02, 5.350E+00, 1.267E+00
 5.450E+00, 1.411E+00, 5.450E+00, 6.094E-02, 5.450E+00, 1.194E+00
 5.550E+00, 1.330E+00, 5.550E+00, 7.509E-02, 5.550E+00, 1.127E+00
 5.650E+00, 1.255E+00, 5.650E+00, 8.740E-02, 5.650E+00, 1.065E+00
 5.750E+00, 1.186E+00, 5.750E+00, 9.937E-02, 5.750E+00, 1.009E+00
 5.850E+00, 1.123E+00, 5.850E+00, 1.110E-01, 5.850E+00, 9.563E-01
 5.950E+00, 1.065E+00, 5.950E+00, 1.220E-01, 5.950E+00, 9.077E-01
 6.050E+00, 1.011E+00, 6.050E+00, 1.319E-01, 6.050E+00, 8.626E-01
 6.150E+00, 9.595E-01, 6.150E+00, 1.405E-01, 6.150E+00, 8.206E-01
 6.250E+00, 9.117E-01, 6.250E+00, 1.486E-01, 6.250E+00, 7.814E-01
 6.350E+00, 8.675E-01, 6.350E+00, 1.564E-01, 6.350E+00, 7.449E-01
 6.450E+00, 8.267E-01, 6.450E+00, 1.639E-01, 6.450E+00, 7.108E-01
 6.550E+00, 7.888E-01, 6.550E+00, 1.710E-01, 6.550E+00, 6.790E-01
 6.650E+00, 7.555E-01, 6.650E+00, 1.796E-01, 6.650E+00, 6.490E-01
 6.750E+00, 7.257E-01, 6.750E+00, 1.890E-01, 6.750E+00, 6.209E-01
 6.850E+00, 6.981E-01, 6.850E+00, 1.983E-01, 6.850E+00, 5.944E-01
 6.950E+00, 6.726E-01, 6.950E+00, 2.075E-01, 6.950E+00, 5.694E-01
 7.050E+00, 6.488E-01, 7.050E+00, 2.166E-01, 7.050E+00, 5.458E-01
 7.150E+00, 6.272E-01, 7.150E+00, 2.260E-01, 7.150E+00, 5.235E-01
 7.250E+00, 6.073E-01, 7.250E+00, 2.354E-01, 7.250E+00, 5.024E-01
 7.350E+00, 5.879E-01, 7.350E+00, 2.440E-01, 7.350E+00, 4.827E-01
 7.450E+00, 5.688E-01, 7.450E+00, 2.516E-01, 7.450E+00, 4.640E-01
 7.550E+00, 5.501E-01, 7.550E+00, 2.582E-01, 7.550E+00, 4.463E-01
 7.650E+00, 5.330E-01, 7.650E+00, 2.651E-01, 7.650E+00, 4.294E-01
 7.750E+00, 5.176E-01, 7.750E+00, 2.724E-01, 7.750E+00, 4.132E-01
 7.850E+00, 5.032E-01, 7.850E+00, 2.799E-01, 7.850E+00, 3.978E-01
 7.950E+00, 4.900E-01, 7.950E+00, 2.875E-01, 7.950E+00, 3.831E-01
 8.050E+00, 4.778E-01, 8.050E+00, 2.954E-01, 8.050E+00, 3.692E-01
 8.150E+00, 4.659E-01, 8.150E+00, 3.029E-01, 8.150E+00, 3.559E-01
 8.250E+00, 4.548E-01, 8.250E+00, 3.104E-01, 8.250E+00, 3.433E-01
 8.350E+00, 4.446E-01, 8.350E+00, 3.179E-01, 8.350E+00, 3.311E-01
 8.450E+00, 4.347E-01, 8.450E+00, 3.252E-01, 8.450E+00, 3.193E-01
 8.550E+00, 4.250E-01, 8.550E+00, 3.322E-01, 8.550E+00, 3.079E-01
 8.650E+00, 4.157E-01, 8.650E+00, 3.392E-01, 8.650E+00, 2.969E-01
 8.750E+00, 4.061E-01, 8.750E+00, 3.455E-01, 8.750E+00, 2.863E-01
 8.850E+00, 3.951E-01, 8.850E+00, 3.500E-01, 8.850E+00, 2.760E-01
 8.950E+00, 3.836E-01, 8.950E+00, 3.540E-01, 8.950E+00, 2.660E-01
 9.050E+00, 3.720E-01, 9.050E+00, 3.573E-01, 9.050E+00, 2.564E-01
 9.150E+00, 3.607E-01, 9.150E+00, 3.607E-01, 9.150E+00, 2.469E-01
 9.250E+00, 3.496E-01, 9.250E+00, 3.639E-01, 9.250E+00, 2.376E-01
 9.350E+00, 3.383E-01, 9.350E+00, 3.665E-01, 9.350E+00, 2.286E-01
 9.450E+00, 3.269E-01, 9.450E+00, 3.686E-01, 9.450E+00, 2.197E-01
 9.550E+00, 3.164E-01, 9.550E+00, 3.717E-01, 9.550E+00, 2.108E-01
 9.650E+00, 3.074E-01, 9.650E+00, 3.761E-01, 9.650E+00, 2.019E-01
 9.750E+00, 2.994E-01, 9.750E+00, 3.812E-01, 9.750E+00, 1.930E-01
 9.850E+00, 2.933E-01, 9.850E+00, 3.878E-01, 9.850E+00, 1.839E-01
 9.950E+00, 2.881E-01, 9.950E+00, 3.960E-01, 9.950E+00, 1.745E-01
 1.005E+01, 2.824E-01, 1.005E+01, 4.041E-01, 1.005E+01, 1.646E-01
 1.015E+01, 2.734E-01, 1.015E+01, 4.108E-01, 1.015E+01, 1.543E-01
 1.025E+01, 2.687E-01, 1.025E+01, 4.219E-01, 1.025E+01, 1.423E-01
