m,kW/m2,m,kW/m2,m,kW/m2
Tot_Flux-z,Tot_Flux,Con_Flux-z,Con_Flux,Rad_Flux-z,Rad_Flux
 2.750E+00, 7.266E+01, 2.750E+00, 1.304E+00, 2.750E+00, 1.914E+01
 2.850E+00, 8.197E+01, 2.850E+00, 1.730E+00, 2.850E+00, 2.067E+01
 2.950E+00, 9.379E+01, 2.950E+00, 2.092E+00, 2.950E+00, 2.142E+01
 3.050E+00, 1.067E+02, 3.050E+00, 2.373E+00, 3.050E+00, 2.239E+01
 3.150E+00, 1.172E+02, 3.150E+00, 2.430E+00, 3.150E+00, 2.344E+01
 3.250E+00, 1.244E+02, 3.250E+00, 2.331E+00, 3.250E+00, 2.442E+01
 3.350E+00, 1.286E+02, 3.350E+00, 2.136E+00, 3.350E+00, 2.530E+01
 3.450E+00, 1.303E+02, 3.450E+00, 1.868E+00, 3.450E+00, 2.603E+01
 3.550E+00, 1.305E+02, 3.550E+00, 1.544E+00, 3.550E+00, 2.669E+01
 3.650E+00, 1.296E+02, 3.650E+00, 1.193E+00, 3.650E+00, 2.724E+01
 3.750E+00, 1.279E+02, 3.750E+00, 8.313E-01, 3.750E+00, 2.765E+01
 3.850E+00, 1.258E+02, 3.850E+00, 4.766E-01, 3.850E+00, 2.797E+01
 3.950E+00, 1.234E+02, 3.950E+00, 1.423E-01, 3.950E+00, 2.823E+01
 4.050E+00, 1.210E+02, 4.050E+00,-1.548E-01, 4.050E+00, 2.842E+01
 4.150E+00, 1.183E+02, 4.150E+00,-4.202E-01, 4.150E+00, 2.854E+01
 4.250E+00, 1.156E+02, 4.250E+00,-6.715E-01, 4.250E+00, 2.860E+01
 4.350E+00, 1.127E+02, 4.350E+00,-9.096E-01, 4.350E+00, 2.865E+01
 4.450E+00, 1.100E+02, 4.450E+00,-1.123E+00, 4.450E+00, 2.866E+01
 4.550E+00, 1.073E+02, 4.550E+00,-1.309E+00, 4.550E+00, 2.866E+01
 4.650E+00, 1.047E+02, 4.650E+00,-1.463E+00, 4.650E+00, 2.862E+01
 4.750E+00, 1.022E+02, 4.750E+00,-1.592E+00, 4.750E+00, 2.857E+01
 4.850E+00, 9.976E+01, 4.850E+00,-1.698E+00, 4.850E+00, 2.850E+01
 4.950E+00, 9.739E+01, 4.950E+00,-1.778E+00, 4.950E+00, 2.841E+01
 5.050E+00, 9.509E+01, 5.050E+00,-1.837E+00, 5.050E+00, 2.830E+01
 5.150E+00, 9.283E+01, 5.150E+00,-1.876E+00, 5.150E+00, 2.818E+01
 5.250E+00, 9.058E+01, 5.250E+00,-1.898E+00, 5.250E+00, 2.802E+01
 5.350E+00, 8.830E+01, 5.350E+00,-1.907E+00, 5.350E+00, 2.783E+01
 5.450E+00, 8.601E+01, 5.450E+00,-1.899E+00, 5.450E+00, 2.762E+01
 5.550E+00, 8.375E+01, 5.550E+00,-1.879E+00, 5.550E+00, 2.738E+01
 5.650E+00, 8.155E+01, 5.650E+00,-1.848E+00, 5.650E+00, 2.713E+01
 5.750E+00, 7.932E+01, 5.750E+00,-1.809E+00, 5.750E+00, 2.685E+01
 5.850E+00, 7.706E+01, 5.850E+00,-1.766E+00, 5.850E+00, 2.655E+01
 5.950E+00, 7.479E+01, 5.950E+00,-1.714E+00, 5.950E+00, 2.623E+01
 6.050E+00, 7.255E+01, 6.050E+00,-1.656E+00, 6.050E+00, 2.589E+01
 6.150E+00, 7.030E+01, 6.150E+00,-1.586E+00, 6.150E+00, 2.553E+01
 6.250E+00, 6.808E+01, 6.250E+00,-1.507E+00, 6.250E+00, 2.515E+01
 6.350E+00, 6.588E+01, 6.350E+00,-1.418E+00, 6.350E+00, 2.476E+01
 6.450E+00, 6.371E+01, 6.450E+00,-1.319E+00, 6.450E+00, 2.434E+01
 6.550E+00, 6.157E+01, 6.550E+00,-1.214E+00, 6.550E+00, 2.391E+01
 6.650E+00, 5.943E+01, 6.650E+00,-1.102E+00, 6.650E+00, 2.344E+01
 6.750E+00, 5.732E+01, 6.750E+00,-9.844E-01, 6.750E+00, 2.296E+01
 6.850E+00, 5.525E+01, 6.850E+00,-8.594E-01, 6.850E+00, 2.245E+01
 6.950E+00, 5.321E+01, 6.950E+00,-7.334E-01, 6.950E+00, 2.194E+01
 7.050E+00, 5.122E+01, 7.050E+00,-6.027E-01, 7.050E+00, 2.140E+01
 7.150E+00, 4.925E+01, 7.150E+00,-4.698E-01, 7.150E+00, 2.085E+01
 7.250E+00, 4.735E+01, 7.250E+00,-3.303E-01, 7.250E+00, 2.028E+01
