m,kW/m2,m,kW/m2,m,kW/m2
Tot_Flux-z,Tot_Flux,Con_Flux-z,Con_Flux,Rad_Flux-z,Rad_Flux
 2.750E+00, 5.026E+01, 2.750E+00, 5.530E-01, 2.750E+00, 1.720E+01
 2.850E+00, 4.047E+01, 2.850E+00,-1.017E+00, 2.850E+00, 1.810E+01
 2.950E+00, 3.456E+01, 2.950E+00,-1.409E+00, 2.950E+00, 1.718E+01
 3.050E+00, 3.065E+01, 3.050E+00,-1.654E+00, 3.050E+00, 1.626E+01
 3.150E+00, 2.744E+01, 3.150E+00,-1.533E+00, 3.150E+00, 1.522E+01
 3.250E+00, 2.488E+01, 3.250E+00,-1.539E+00, 3.250E+00, 1.434E+01
 3.350E+00, 2.277E+01, 3.350E+00,-1.432E+00, 3.350E+00, 1.348E+01
 3.450E+00, 2.092E+01, 3.450E+00,-1.343E+00, 3.450E+00, 1.269E+01
 3.550E+00, 1.929E+01, 3.550E+00,-1.250E+00, 3.550E+00, 1.197E+01
 3.650E+00, 1.786E+01, 3.650E+00,-1.168E+00, 3.650E+00, 1.130E+01
 3.750E+00, 1.661E+01, 3.750E+00,-1.087E+00, 3.750E+00, 1.068E+01
 3.850E+00, 1.550E+01, 3.850E+00,-9.836E-01, 3.850E+00, 1.008E+01
 3.950E+00, 1.449E+01, 3.950E+00,-9.099E-01, 3.950E+00, 9.536E+00
 4.050E+00, 1.358E+01, 4.050E+00,-8.457E-01, 4.050E+00, 9.022E+00
 4.150E+00, 1.275E+01, 4.150E+00,-7.723E-01, 4.150E+00, 8.535E+00
 4.250E+00, 1.201E+01, 4.250E+00,-6.775E-01, 4.250E+00, 8.069E+00
 4.350E+00, 1.134E+01, 4.350E+00,-5.865E-01, 4.350E+00, 7.630E+00
 4.450E+00, 1.073E+01, 4.450E+00,-4.991E-01, 4.450E+00, 7.216E+00
 4.550E+00, 1.017E+01, 4.550E+00,-4.233E-01, 4.550E+00, 6.829E+00
 4.650E+00, 9.641E+00, 4.650E+00,-3.553E-01, 4.650E+00, 6.465E+00
 4.750E+00, 9.162E+00, 4.750E+00,-2.825E-01, 4.750E+00, 6.120E+00
 4.850E+00, 8.729E+00, 4.850E+00,-2.042E-01, 4.850E+00, 5.795E+00
 4.950E+00, 8.336E+00, 4.950E+00,-1.190E-01, 4.950E+00, 5.488E+00
 5.050E+00, 7.974E+00, 5.050E+00,-3.286E-02, 5.050E+00, 5.199E+00
 5.150E+00, 7.633E+00, 5.150E+00, 4.566E-02, 5.150E+00, 4.927E+00
 5.250E+00, 7.305E+00, 5.250E+00, 1.123E-01, 5.250E+00, 4.673E+00
 5.350E+00, 6.995E+00, 5.350E+00, 1.692E-01, 5.350E+00, 4.435E+00
 5.450E+00, 6.705E+00, 5.450E+00, 2.217E-01, 5.450E+00, 4.211E+00
 5.550E+00, 6.440E+00, 5.550E+00, 2.744E-01, 5.550E+00, 4.000E+00
 5.650E+00, 6.201E+00, 5.650E+00, 3.312E-01, 5.650E+00, 3.800E+00
 5.750E+00, 5.982E+00, 5.750E+00, 3.901E-01, 5.750E+00, 3.612E+00
 5.850E+00, 5.779E+00, 5.850E+00, 4.479E-01, 5.850E+00, 3.434E+00
 5.950E+00, 5.587E+00, 5.950E+00, 5.028E-01, 5.950E+00, 3.266E+00
 6.050E+00, 5.405E+00, 6.050E+00, 5.533E-01, 6.050E+00, 3.108E+00
 6.150E+00, 5.238E+00, 6.150E+00, 6.045E-01, 6.150E+00, 2.957E+00
 6.250E+00, 5.083E+00, 6.250E+00, 6.541E-01, 6.250E+00, 2.815E+00
 6.350E+00, 4.936E+00, 6.350E+00, 7.017E-01, 6.350E+00, 2.681E+00
 6.450E+00, 4.796E+00, 6.450E+00, 7.463E-01, 6.450E+00, 2.555E+00
 6.550E+00, 4.662E+00, 6.550E+00, 7.880E-01, 6.550E+00, 2.436E+00
 6.650E+00, 4.535E+00, 6.650E+00, 8.269E-01, 6.650E+00, 2.323E+00
 6.750E+00, 4.416E+00, 6.750E+00, 8.642E-01, 6.750E+00, 2.217E+00
 6.850E+00, 4.305E+00, 6.850E+00, 9.003E-01, 6.850E+00, 2.115E+00
 6.950E+00, 4.203E+00, 6.950E+00, 9.359E-01, 6.950E+00, 2.018E+00
 7.050E+00, 4.106E+00, 7.050E+00, 9.690E-01, 7.050E+00, 1.927E+00
 7.150E+00, 4.014E+00, 7.150E+00, 1.000E+00, 7.150E+00, 1.840E+00
 7.250E+00, 3.925E+00, 7.250E+00, 1.028E+00, 7.250E+00, 1.758E+00
 7.350E+00, 3.841E+00, 7.350E+00, 1.054E+00, 7.350E+00, 1.680E+00
 7.450E+00, 3.760E+00, 7.450E+00, 1.079E+00, 7.450E+00, 1.605E+00
 7.550E+00, 3.684E+00, 7.550E+00, 1.102E+00, 7.550E+00, 1.535E+00
 7.650E+00, 3.610E+00, 7.650E+00, 1.123E+00, 7.650E+00, 1.470E+00
 7.750E+00, 3.541E+00, 7.750E+00, 1.144E+00, 7.750E+00, 1.407E+00
 7.850E+00, 3.475E+00, 7.850E+00, 1.163E+00, 7.850E+00, 1.348E+00
 7.950E+00, 3.414E+00, 7.950E+00, 1.183E+00, 7.950E+00, 1.292E+00
 8.050E+00, 3.356E+00, 8.050E+00, 1.202E+00, 8.050E+00, 1.238E+00
 8.150E+00, 3.303E+00, 8.150E+00, 1.222E+00, 8.150E+00, 1.186E+00
 8.250E+00, 3.252E+00, 8.250E+00, 1.241E+00, 8.250E+00, 1.138E+00
 8.350E+00, 3.202E+00, 8.350E+00, 1.256E+00, 8.350E+00, 1.091E+00
 8.450E+00, 3.151E+00, 8.450E+00, 1.268E+00, 8.450E+00, 1.047E+00
 8.550E+00, 3.099E+00, 8.550E+00, 1.277E+00, 8.550E+00, 1.005E+00
 8.650E+00, 3.045E+00, 8.650E+00, 1.284E+00, 8.650E+00, 9.653E-01
 8.750E+00, 2.992E+00, 8.750E+00, 1.289E+00, 8.750E+00, 9.270E-01
 8.850E+00, 2.938E+00, 8.850E+00, 1.293E+00, 8.850E+00, 8.904E-01
 8.950E+00, 2.886E+00, 8.950E+00, 1.296E+00, 8.950E+00, 8.551E-01
 9.050E+00, 2.834E+00, 9.050E+00, 1.299E+00, 9.050E+00, 8.212E-01
 9.150E+00, 2.785E+00, 9.150E+00, 1.303E+00, 9.150E+00, 7.881E-01
 9.250E+00, 2.736E+00, 9.250E+00, 1.306E+00, 9.250E+00, 7.559E-01
 9.350E+00, 2.689E+00, 9.350E+00, 1.310E+00, 9.350E+00, 7.244E-01
 9.450E+00, 2.643E+00, 9.450E+00, 1.315E+00, 9.450E+00, 6.936E-01
 9.550E+00, 2.597E+00, 9.550E+00, 1.319E+00, 9.550E+00, 6.633E-01
 9.650E+00, 2.553E+00, 9.650E+00, 1.325E+00, 9.650E+00, 6.335E-01
 9.750E+00, 2.510E+00, 9.750E+00, 1.332E+00, 9.750E+00, 6.037E-01
 9.850E+00, 2.468E+00, 9.850E+00, 1.339E+00, 9.850E+00, 5.740E-01
 9.950E+00, 2.423E+00, 9.950E+00, 1.344E+00, 9.950E+00, 5.440E-01
 1.005E+01, 2.377E+00, 1.005E+01, 1.351E+00, 1.005E+01, 5.129E-01
 1.015E+01, 2.316E+00, 1.015E+01, 1.349E+00, 1.015E+01, 4.814E-01
 1.025E+01, 2.276E+00, 1.025E+01, 1.364E+00, 1.025E+01, 4.442E-01
