m,kW/m2,m,kW/m2,m,kW/m2
Tot_Flux-z,Tot_Flux,Con_Flux-z,Con_Flux,Rad_Flux-z,Rad_Flux
 9.250E+00, 1.319E+00, 9.250E+00, 8.029E-01, 9.250E+00, 4.321E-01
 9.350E+00, 1.304E+00, 9.350E+00, 8.121E-01, 9.350E+00, 4.149E-01
 9.450E+00, 1.286E+00, 9.450E+00, 8.202E-01, 9.450E+00, 3.980E-01
 9.550E+00, 1.268E+00, 9.550E+00, 8.268E-01, 9.550E+00, 3.814E-01
 9.650E+00, 1.248E+00, 9.650E+00, 8.327E-01, 9.650E+00, 3.649E-01
 9.750E+00, 1.229E+00, 9.750E+00, 8.385E-01, 9.750E+00, 3.483E-01
 9.850E+00, 1.209E+00, 9.850E+00, 8.442E-01, 9.850E+00, 3.317E-01
 9.950E+00, 1.188E+00, 9.950E+00, 8.493E-01, 9.950E+00, 3.147E-01
 1.005E+01, 1.167E+00, 1.005E+01, 8.555E-01, 1.005E+01, 2.966E-01
 1.015E+01, 1.138E+00, 1.015E+01, 8.573E-01, 1.015E+01, 2.781E-01
 1.025E+01, 1.125E+00, 1.025E+01, 8.726E-01, 1.025E+01, 2.559E-01
