m,kW/m2,m,kW/m2,m,kW/m2
Tot_Flux-z,Tot_Flux,Con_Flux-z,Con_Flux,Rad_Flux-z,Rad_Flux
 2.750E+00, 1.789E+01, 2.750E+00, 5.929E-01, 2.750E+00, 9.032E+00
 2.850E+00, 1.347E+01, 2.850E+00,-3.571E-01, 2.850E+00, 8.545E+00
 2.950E+00, 1.110E+01, 2.950E+00,-6.157E-01, 2.950E+00, 7.624E+00
 3.050E+00, 9.524E+00, 3.050E+00,-6.824E-01, 3.050E+00, 6.826E+00
 3.150E+00, 8.302E+00, 3.150E+00,-6.128E-01, 3.150E+00, 6.121E+00
 3.250E+00, 7.325E+00, 3.250E+00,-5.666E-01, 3.250E+00, 5.521E+00
 3.350E+00, 6.512E+00, 3.350E+00,-4.918E-01, 3.350E+00, 4.997E+00
 3.450E+00, 5.832E+00, 3.450E+00,-4.382E-01, 3.450E+00, 4.541E+00
 3.550E+00, 5.254E+00, 3.550E+00,-3.738E-01, 3.550E+00, 4.133E+00
 3.650E+00, 4.749E+00, 3.650E+00,-3.242E-01, 3.650E+00, 3.775E+00
 3.750E+00, 4.307E+00, 3.750E+00,-2.856E-01, 3.750E+00, 3.457E+00
 3.850E+00, 3.915E+00, 3.850E+00,-2.545E-01, 3.850E+00, 3.175E+00
 3.950E+00, 3.570E+00, 3.950E+00,-2.254E-01, 3.950E+00, 2.922E+00
 4.050E+00, 3.264E+00, 4.050E+00,-1.994E-01, 4.050E+00, 2.695E+00
 4.150E+00, 2.993E+00, 4.150E+00,-1.758E-01, 4.150E+00, 2.491E+00
 4.250E+00, 2.748E+00, 4.250E+00,-1.548E-01, 4.250E+00, 2.307E+00
 4.350E+00, 2.527E+00, 4.350E+00,-1.377E-01, 4.350E+00, 2.141E+00
 4.450E+00, 2.326E+00, 4.450E+00,-1.218E-01, 4.450E+00, 1.990E+00
 4.550E+00, 2.143E+00, 4.550E+00,-1.092E-01, 4.550E+00, 1.854E+00
 4.650E+00, 1.978E+00, 4.650E+00,-9.728E-02, 4.650E+00, 1.729E+00
 4.750E+00, 1.829E+00, 4.750E+00,-8.494E-02, 4.750E+00, 1.616E+00
 4.850E+00, 1.696E+00, 4.850E+00,-7.114E-02, 4.850E+00, 1.512E+00
 4.950E+00, 1.576E+00, 4.950E+00,-5.732E-02, 4.950E+00, 1.417E+00
 5.050E+00, 1.467E+00, 5.050E+00,-4.388E-02, 5.050E+00, 1.330E+00
 5.150E+00, 1.365E+00, 5.150E+00,-3.206E-02, 5.150E+00, 1.250E+00
 5.250E+00, 1.273E+00, 5.250E+00,-2.126E-02, 5.250E+00, 1.177E+00
 5.350E+00, 1.189E+00, 5.350E+00,-1.102E-02, 5.350E+00, 1.109E+00
 5.450E+00, 1.111E+00, 5.450E+00,-1.699E-03, 5.450E+00, 1.048E+00
 5.550E+00, 1.038E+00, 5.550E+00, 5.924E-03, 5.550E+00, 9.903E-01
 5.650E+00, 9.728E-01, 5.650E+00, 1.506E-02, 5.650E+00, 9.370E-01
 5.750E+00, 9.148E-01, 5.750E+00, 2.589E-02, 5.750E+00, 8.877E-01
 5.850E+00, 8.614E-01, 5.850E+00, 3.662E-02, 5.850E+00, 8.420E-01
 5.950E+00, 8.111E-01, 5.950E+00, 4.596E-02, 5.950E+00, 7.998E-01
 6.050E+00, 7.652E-01, 6.050E+00, 5.550E-02, 6.050E+00, 7.606E-01
 6.150E+00, 7.241E-01, 6.150E+00, 6.576E-02, 6.150E+00, 7.240E-01
 6.250E+00, 6.858E-01, 6.250E+00, 7.598E-02, 6.250E+00, 6.899E-01
 6.350E+00, 6.508E-01, 6.350E+00, 8.660E-02, 6.350E+00, 6.579E-01
 6.450E+00, 6.196E-01, 6.450E+00, 9.826E-02, 6.450E+00, 6.277E-01
 6.550E+00, 5.913E-01, 6.550E+00, 1.107E-01, 6.550E+00, 5.994E-01
 6.650E+00, 5.655E-01, 6.650E+00, 1.236E-01, 6.650E+00, 5.726E-01
 6.750E+00, 5.423E-01, 6.750E+00, 1.371E-01, 6.750E+00, 5.475E-01
 6.850E+00, 5.207E-01, 6.850E+00, 1.501E-01, 6.850E+00, 5.238E-01
 6.950E+00, 4.994E-01, 6.950E+00, 1.618E-01, 6.950E+00, 5.015E-01
 7.050E+00, 4.785E-01, 7.050E+00, 1.723E-01, 7.050E+00, 4.803E-01
 7.150E+00, 4.575E-01, 7.150E+00, 1.812E-01, 7.150E+00, 4.603E-01
 7.250E+00, 4.370E-01, 7.250E+00, 1.890E-01, 7.250E+00, 4.413E-01
 7.350E+00, 4.174E-01, 7.350E+00, 1.962E-01, 7.350E+00, 4.233E-01
 7.450E+00, 3.991E-01, 7.450E+00, 2.032E-01, 7.450E+00, 4.062E-01
 7.550E+00, 3.823E-01, 7.550E+00, 2.100E-01, 7.550E+00, 3.900E-01
 7.650E+00, 3.679E-01, 7.650E+00, 2.176E-01, 7.650E+00, 3.745E-01
 7.750E+00, 3.548E-01, 7.750E+00, 2.256E-01, 7.750E+00, 3.596E-01
 7.850E+00, 3.423E-01, 7.850E+00, 2.335E-01, 7.850E+00, 3.455E-01
 7.950E+00, 3.300E-01, 7.950E+00, 2.413E-01, 7.950E+00, 3.321E-01
 8.050E+00, 3.179E-01, 8.050E+00, 2.483E-01, 8.050E+00, 3.192E-01
 8.150E+00, 3.064E-01, 8.150E+00, 2.547E-01, 8.150E+00, 3.068E-01
