m,kW/m2,m,kW/m2,m,kW/m2
Tot_Flux-z,Tot_Flux,Con_Flux-z,Con_Flux,Rad_Flux-z,Rad_Flux
 2.750E+00, 5.907E+01, 2.750E+00, 1.719E+00, 2.750E+00, 1.715E+01
 2.850E+00, 6.290E+01, 2.850E+00, 1.290E+00, 2.850E+00, 1.771E+01
 2.950E+00, 5.986E+01, 2.950E+00, 6.588E-01, 2.950E+00, 1.742E+01
 3.050E+00, 5.473E+01, 3.050E+00,-9.210E-02, 3.050E+00, 1.722E+01
 3.150E+00, 4.991E+01, 3.150E+00,-7.009E-01, 3.150E+00, 1.707E+01
 3.250E+00, 4.619E+01, 3.250E+00,-1.171E+00, 3.250E+00, 1.692E+01
 3.350E+00, 4.344E+01, 3.350E+00,-1.548E+00, 3.350E+00, 1.679E+01
 3.450E+00, 4.132E+01, 3.450E+00,-1.868E+00, 3.450E+00, 1.668E+01
 3.550E+00, 3.964E+01, 3.550E+00,-2.129E+00, 3.550E+00, 1.658E+01
 3.650E+00, 3.824E+01, 3.650E+00,-2.322E+00, 3.650E+00, 1.645E+01
 3.750E+00, 3.704E+01, 3.750E+00,-2.462E+00, 3.750E+00, 1.630E+01
 3.850E+00, 3.596E+01, 3.850E+00,-2.561E+00, 3.850E+00, 1.613E+01
 3.950E+00, 3.495E+01, 3.950E+00,-2.621E+00, 3.950E+00, 1.593E+01
 4.050E+00, 3.399E+01, 4.050E+00,-2.648E+00, 4.050E+00, 1.570E+01
 4.150E+00, 3.304E+01, 4.150E+00,-2.649E+00, 4.150E+00, 1.543E+01
 4.250E+00, 3.208E+01, 4.250E+00,-2.628E+00, 4.250E+00, 1.515E+01
 4.350E+00, 3.112E+01, 4.350E+00,-2.586E+00, 4.350E+00, 1.483E+01
 4.450E+00, 3.016E+01, 4.450E+00,-2.524E+00, 4.450E+00, 1.451E+01
 4.550E+00, 2.920E+01, 4.550E+00,-2.452E+00, 4.550E+00, 1.416E+01
 4.650E+00, 2.824E+01, 4.650E+00,-2.371E+00, 4.650E+00, 1.381E+01
 4.750E+00, 2.728E+01, 4.750E+00,-2.279E+00, 4.750E+00, 1.344E+01
 4.850E+00, 2.630E+01, 4.850E+00,-2.181E+00, 4.850E+00, 1.305E+01
 4.950E+00, 2.530E+01, 4.950E+00,-2.080E+00, 4.950E+00, 1.266E+01
 5.050E+00, 2.429E+01, 5.050E+00,-1.974E+00, 5.050E+00, 1.225E+01
 5.150E+00, 2.329E+01, 5.150E+00,-1.862E+00, 5.150E+00, 1.182E+01
 5.250E+00, 2.231E+01, 5.250E+00,-1.737E+00, 5.250E+00, 1.139E+01
 5.350E+00, 2.134E+01, 5.350E+00,-1.603E+00, 5.350E+00, 1.096E+01
 5.450E+00, 2.041E+01, 5.450E+00,-1.467E+00, 5.450E+00, 1.052E+01
 5.550E+00, 1.950E+01, 5.550E+00,-1.331E+00, 5.550E+00, 1.009E+01
 5.650E+00, 1.862E+01, 5.650E+00,-1.197E+00, 5.650E+00, 9.667E+00
 5.750E+00, 1.777E+01, 5.750E+00,-1.065E+00, 5.750E+00, 9.250E+00
 5.850E+00, 1.696E+01, 5.850E+00,-9.325E-01, 5.850E+00, 8.839E+00
