m,kW/m2
z,HF
 2.500E-02, 9.400E+00
 7.500E-02, 1.174E+01
 1.250E-01, 1.453E+01
 1.750E-01, 1.718E+01
 2.250E-01, 1.881E+01
 2.750E-01, 2.013E+01
 3.250E-01, 2.130E+01
 3.750E-01, 2.258E+01
 4.250E-01, 2.390E+01
 4.750E-01, 2.497E+01
 5.250E-01, 2.640E+01
 5.750E-01, 2.745E+01
 6.250E-01, 2.853E+01
 6.750E-01, 2.936E+01
 7.250E-01, 3.036E+01
 7.750E-01, 3.114E+01
 8.250E-01, 3.213E+01
 8.750E-01, 3.273E+01
 9.250E-01, 3.338E+01
 9.750E-01, 3.418E+01
 1.025E+00, 3.484E+01
 1.075E+00, 3.539E+01
 1.125E+00, 3.606E+01
 1.175E+00, 3.657E+01
 1.225E+00, 3.704E+01
 1.275E+00, 3.736E+01
 1.325E+00, 3.791E+01
 1.375E+00, 3.901E+01
 1.425E+00, 3.874E+01
 1.475E+00, 3.854E+01
 1.525E+00, 3.861E+01
 1.575E+00, 3.840E+01
 1.625E+00, 3.798E+01
 1.675E+00, 3.763E+01
 1.725E+00, 3.718E+01
 1.775E+00, 3.687E+01
 1.825E+00, 3.648E+01
 1.875E+00, 3.559E+01
 1.925E+00, 3.343E+01
 1.975E+00, 2.864E+01
