m,W/m2/K,kW/m2
HTC-x,HTC,QCONV
 2.5000000E-003, 4.7024997E-001,-4.6836750E-003
 5.1612903E-001, 4.6867317E-001,-4.6406335E-003
 1.0322581E+000, 4.6638320E-001,-4.5842173E-003
 1.5483871E+000, 4.6405898E-001,-4.5300649E-003
 2.0645161E+000, 4.6174783E-001,-4.4782374E-003
 2.5806452E+000, 4.5941400E-001,-4.4281003E-003
 3.0967742E+000, 4.5703904E-001,-4.3789871E-003
 3.6129032E+000, 4.5446771E-001,-4.3290812E-003
 4.1290323E+000, 4.5217067E-001,-4.2826969E-003
 4.6451613E+000, 4.5004665E-001,-4.2387233E-003
 5.1612903E+000, 4.4822441E-001,-4.1979286E-003
 5.6774194E+000, 4.4659774E-001,-4.1597388E-003
 6.1935484E+000, 4.4479704E-001,-4.1208281E-003
 6.7096774E+000, 4.4282812E-001,-4.0810895E-003
 7.2258065E+000, 4.4053039E-001,-4.0385722E-003
 7.7419355E+000, 4.3852433E-001,-3.9990626E-003
 8.2580645E+000, 4.3588338E-001,-3.9432034E-003
 8.7741935E+000, 4.3407763E-001,-3.9062220E-003
 9.2903226E+000, 4.3202303E-001,-3.8678865E-003
 9.8064516E+000, 4.2963768E-001,-3.8279232E-003
 1.0322581E+001, 4.2733491E-001,-3.7891492E-003
 1.0838710E+001, 4.2502869E-001,-3.7503648E-003
 1.1354839E+001, 4.2287731E-001,-3.7133684E-003
 1.1870968E+001, 4.2092600E-001,-3.6789510E-003
 1.2387097E+001, 4.1919972E-001,-3.6478391E-003
 1.2903226E+001, 4.1760919E-001,-3.6187864E-003
 1.3419355E+001, 4.1574649E-001,-3.5874179E-003
 1.3935484E+001, 4.1378692E-001,-3.5553569E-003
 1.4451613E+001, 4.1194497E-001,-3.5255079E-003
 1.4967742E+001, 4.1053039E-001,-3.5008137E-003
 1.5483871E+001, 4.0956041E-001,-3.4782675E-003
 1.5997500E+001, 4.0841808E-001,-3.4445017E-003
