m,W/m2/K,kW/m2
HTC-x,HTC,QCONV
 2.5000000E-003, 1.8722223E+001,-1.8692295E-001
 5.1612903E-001, 1.8683227E+001,-1.8610002E-001
 1.0322581E+000, 1.8646886E+001,-1.8519953E-001
 1.5483871E+000, 1.8605051E+001,-1.8427593E-001
 2.0645161E+000, 1.8559942E+001,-1.8334541E-001
 2.5806452E+000, 1.8500258E+001,-1.8230057E-001
 3.0967742E+000, 1.8454272E+001,-1.8141887E-001
 3.6129032E+000, 1.8416589E+001,-1.8063557E-001
 4.1290323E+000, 1.8406552E+001,-1.8014171E-001
 4.6451613E+000, 1.8393449E+001,-1.7963331E-001
 5.1612903E+000, 1.8373583E+001,-1.7907959E-001
 5.6774194E+000, 1.8342280E+001,-1.7844150E-001
 6.1935484E+000, 1.8316235E+001,-1.7788336E-001
 6.7096774E+000, 1.8309511E+001,-1.7754038E-001
 7.2258065E+000, 1.8315787E+001,-1.7733293E-001
 7.7419355E+000, 1.8332578E+001,-1.7723826E-001
 8.2580645E+000, 1.8367369E+001,-1.7720706E-001
 8.7741935E+000, 1.8386284E+001,-1.7714315E-001
 9.2903226E+000, 1.8394192E+001,-1.7696456E-001
 9.8064516E+000, 1.8395425E+001,-1.7671685E-001
 1.0322581E+001, 1.8400506E+001,-1.7650476E-001
 1.0838710E+001, 1.8384687E+001,-1.7610005E-001
 1.1354839E+001, 1.8360724E+001,-1.7562943E-001
 1.1870968E+001, 1.8329757E+001,-1.7508274E-001
 1.2387097E+001, 1.8307230E+001,-1.7460631E-001
 1.2903226E+001, 1.8298161E+001,-1.7427054E-001
 1.3419355E+001, 1.8294548E+001,-1.7400336E-001
 1.3935484E+001, 1.8299027E+001,-1.7382645E-001
 1.4451613E+001, 1.8317279E+001,-1.7377871E-001
 1.4967742E+001, 1.8325906E+001,-1.7362385E-001
 1.5483871E+001, 1.8282562E+001,-1.7293163E-001
 1.5997500E+001, 1.8215904E+001,-1.7182879E-001
