s,kW
Time,"Q"
 0.0000000E+000,-9.9517362E-006
 1.0005292E-001,-1.6262185E-006
 2.0002743E-001,-1.3343563E-006
 3.0000193E-001,-1.2877515E-006
 4.0005485E-001,-1.2654995E-006
 5.0002936E-001,-1.2532754E-006
 6.0000387E-001,-1.2466377E-006
 7.0005679E-001,-1.2436374E-006
 8.0003129E-001,-1.2432205E-006
 9.0000580E-001,-1.2446923E-006
 1.0000000E+000,-1.2475142E-006
