s,kW/m2,kW/m2,Pa,kg/m3
Time,"Q1-0","Q2-0","p0","rho"
 0.0000000E+000,-1.4572800E+000, 1.4572800E+000, 1.0132500E+005, 1.1794096E+000
 1.0033782E-002,-2.6726590E-001, 2.6953536E-001, 1.0132205E+005, 1.1796227E+000
 2.0067565E-002,-1.1168292E-001, 1.1256047E-001, 1.0131934E+005, 1.1802595E+000
 3.0101347E-002,-9.5432787E-002, 9.5985896E-002, 1.0131791E+005, 1.1804652E+000
 4.0018458E-002,-9.1936884E-002, 9.2285610E-002, 1.0131701E+005, 1.1805147E+000
 5.0052240E-002,-9.1203923E-002, 9.1419830E-002, 1.0131644E+005, 1.1805281E+000
 6.0086023E-002,-9.1066622E-002, 9.1198767E-002, 1.0131609E+005, 1.1805326E+000
 7.0003133E-002,-9.1052723E-002, 9.1133497E-002, 1.0131588E+005, 1.1805345E+000
 8.0036916E-002,-9.1059599E-002, 9.1108967E-002, 1.0131575E+005, 1.1805355E+000
 9.0070698E-002,-9.1067267E-002, 9.1097287E-002, 1.0131567E+005, 1.1805361E+000
 1.0010448E-001,-9.1072678E-002, 9.1090964E-002, 1.0131562E+005, 1.1805364E+000
 1.1002159E-001,-9.1076142E-002, 9.1087278E-002, 1.0131559E+005, 1.1805366E+000
 1.2005537E-001,-9.1078276E-002, 9.1085085E-002, 1.0131557E+005, 1.1805367E+000
 1.3008916E-001,-9.1079605E-002, 9.1083736E-002, 1.0131556E+005, 1.1805368E+000
 1.4000627E-001,-9.1080402E-002, 9.1082929E-002, 1.0131556E+005, 1.1805368E+000
 1.5004005E-001,-9.1080895E-002, 9.1082432E-002, 1.0131555E+005, 1.1805369E+000
 1.6007383E-001,-9.1081193E-002, 9.1082131E-002, 1.0131555E+005, 1.1805369E+000
 1.7010761E-001,-9.1081377E-002, 9.1081945E-002, 1.0131555E+005, 1.1805369E+000
 1.8002472E-001,-9.1081487E-002, 9.1081835E-002, 1.0131555E+005, 1.1805369E+000
 1.9005851E-001,-9.1081555E-002, 9.1081766E-002, 1.0131555E+005, 1.1805369E+000
 2.0009229E-001,-9.1081596E-002, 9.1081725E-002, 1.0131555E+005, 1.1805369E+000
 2.1000940E-001,-9.1081621E-002, 9.1081699E-002, 1.0131555E+005, 1.1805369E+000
 2.2004318E-001,-9.1081636E-002, 9.1081684E-002, 1.0131555E+005, 1.1805369E+000
 2.3007697E-001,-9.1081646E-002, 9.1081675E-002, 1.0131555E+005, 1.1805369E+000
 2.4011075E-001,-9.1081651E-002, 9.1081669E-002, 1.0131555E+005, 1.1805369E+000
 2.5002786E-001,-9.1081655E-002, 9.1081665E-002, 1.0131555E+005, 1.1805369E+000
 2.6006164E-001,-9.1081657E-002, 9.1081663E-002, 1.0131555E+005, 1.1805369E+000
 2.7000000E-001,-9.1081658E-002, 9.1081662E-002, 1.0131555E+005, 1.1805369E+000
