m,W/m2/K,kW/m2
HTC-x,HTC,QCONV
 2.5000000E-004, 8.0000000E-001,-7.9459732E-003
 5.1612903E-001, 8.0000000E-001,-6.9936537E-003
 1.0322581E+000, 8.0000000E-001,-6.1684701E-003
 1.5483871E+000, 8.0000000E-001,-5.5173421E-003
 2.0645161E+000, 8.0000000E-001,-4.9357587E-003
 2.5806452E+000, 8.0000000E-001,-4.4459981E-003
 3.0967742E+000, 8.0000000E-001,-4.0733691E-003
 3.6129032E+000, 8.0000000E-001,-3.8325792E-003
 4.1290323E+000, 8.0000000E-001,-3.7198134E-003
 4.6451613E+000, 8.0000000E-001,-3.6658510E-003
 5.1612903E+000, 8.0000000E-001,-3.6213130E-003
 5.6774194E+000, 8.0000000E-001,-3.6406678E-003
 6.1935484E+000, 8.0000000E-001,-3.6650367E-003
 6.7096774E+000, 8.0000000E-001,-3.6742760E-003
 7.2258065E+000, 8.0000000E-001,-3.6436858E-003
 7.7419355E+000, 8.0000000E-001,-3.6093620E-003
 8.2580645E+000, 8.0000000E-001,-3.5491780E-003
 8.7741935E+000, 8.0000000E-001,-3.5009621E-003
 9.2903226E+000, 8.0000000E-001,-3.4368900E-003
 9.8064516E+000, 8.0000000E-001,-3.3882448E-003
 1.0322581E+001, 8.0000000E-001,-3.3435500E-003
 1.0838710E+001, 8.0000000E-001,-3.3055633E-003
 1.1354839E+001, 8.0000000E-001,-3.2546286E-003
 1.1870968E+001, 8.0000000E-001,-3.2210096E-003
 1.2387097E+001, 8.0000000E-001,-3.1766279E-003
 1.2903226E+001, 8.0000000E-001,-3.1626719E-003
 1.3419355E+001, 8.0000000E-001,-3.1613800E-003
 1.3935484E+001, 8.0000000E-001,-3.1577660E-003
 1.4451613E+001, 8.0000000E-001,-3.1331662E-003
 1.4967742E+001, 8.0000000E-001,-3.1647290E-003
 1.5483871E+001, 8.0000000E-001,-3.1831757E-003
 1.5999750E+001, 8.0000000E-001,-3.1910446E-003
