m,W/m2/K,kW/m2
HTC-x,HTC,QCONV
-4.8600000E-001, 6.8230189E+001, 3.4703995E+000
-4.5822857E-001, 6.9470546E+001, 3.6720688E+000
-4.3045714E-001, 7.0087408E+001, 3.8962999E+000
-4.0268571E-001, 7.3297199E+001, 4.1504767E+000
-3.7491429E-001, 7.4495043E+001, 4.4321513E+000
-3.4714286E-001, 7.7749104E+001, 4.7200315E+000
-3.1937143E-001, 7.9293784E+001, 5.0162774E+000
-2.9160000E-001, 8.2182327E+001, 5.3146570E+000
-2.6382857E-001, 8.3850214E+001, 5.6047328E+000
-2.3605714E-001, 8.6422179E+001, 5.9018020E+000
-2.0828571E-001, 8.7927346E+001, 6.1716570E+000
-1.8051429E-001, 9.0152497E+001, 6.4641225E+000
-1.5274286E-001, 9.1500797E+001, 6.7119233E+000
-1.2497143E-001, 9.3416185E+001, 6.9664900E+000
-9.7200000E-002, 9.4445402E+001, 7.1564370E+000
-6.9428571E-002, 9.5782619E+001, 7.3362272E+000
-4.1657143E-002, 9.6421190E+001, 7.4373034E+000
-1.3885714E-002, 9.6185783E+001, 7.4429957E+000
 1.3885714E-002, 9.6726060E+001, 7.4853544E+000
 4.1657143E-002, 9.7228033E+001, 7.5234598E+000
 6.9428571E-002, 9.5705448E+001, 7.3687707E+000
 9.7200000E-002, 9.4643895E+001, 7.2160123E+000
 1.2497143E-001, 9.3843184E+001, 7.0668396E+000
 1.5274286E-001, 9.2357197E+001, 6.8567427E+000
 1.8051429E-001, 9.1282701E+001, 6.6485172E+000
 2.0828571E-001, 8.9399215E+001, 6.3766437E+000
 2.3605714E-001, 8.7981677E+001, 6.0924893E+000
 2.6382857E-001, 8.5363219E+001, 5.7726908E+000
 2.9160000E-001, 8.3748953E+001, 5.4728149E+000
 3.1937143E-001, 8.0549700E+001, 5.1354515E+000
 3.4714286E-001, 7.8913621E+001, 4.8242836E+000
 3.7491429E-001, 7.5577143E+001, 4.5188275E+000
 4.0268571E-001, 7.4119265E+001, 4.2124825E+000
 4.3045714E-001, 7.0831403E+001, 3.9421743E+000
 4.5822857E-001, 6.9996068E+001, 3.7002399E+000
 4.8600000E-001, 6.8505110E+001, 3.4712794E+000
