m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-x,Q1-1,YP1-1,ZP1-1,Q1-2-x,Q1-2,YP1-2,ZP1-2,Q1-3-x,Q1-3,YP1-3,ZP1-3,Q1-4-x,Q1-4,YP1-4,ZP1-4,Q1-5-x,Q1-5,YP1-5,ZP1-5,Q2-1-x,Q2-1,YP2-1,ZP2-1,Q2-2-x,Q2-2,YP2-2,ZP2-2,Q2-3-x,Q2-3,YP2-3,ZP2-3,Q2-4-x,Q2-4,YP2-4,ZP2-4,Q2-5-x,Q2-5,YP2-5,ZP2-5
-4.0012500E+001,-4.6431594E-001, 1.4970487E+003, 5.0495964E+000,-4.0012500E+001,-4.6641284E-001, 1.4521126E+003, 5.2884039E+000,-4.0012500E+001,-4.6561739E-001, 1.4746695E+003, 5.2152277E+000,-4.0012500E+001,-4.6288838E-001, 1.5654968E+003, 5.5236055E+000,-4.0012500E+001,-4.5930772E-001, 1.5118725E+003, 5.2482016E+000,-4.0012500E+001, 4.5499271E-001, 1.4879835E+003, 4.4238279E+000,-4.0012500E+001, 4.5282015E-001, 1.3984691E+003, 4.3713048E+000,-4.0012500E+001, 4.5474849E-001, 1.4962331E+003, 4.5912387E+000,-4.0012500E+001, 4.5591258E-001, 1.5731812E+003, 4.4935678E+000,-4.0012500E+001, 4.5937294E-001, 1.5710061E+003, 4.5018541E+000
-3.7241379E+001,-4.6634664E-001, 1.5082874E+003, 5.1839688E+000,-3.7241379E+001,-4.6734108E-001, 1.4529921E+003, 5.1530475E+000,-3.7241379E+001,-4.6695723E-001, 1.4839643E+003, 5.0383701E+000,-3.7241379E+001,-4.6454215E-001, 1.5338569E+003, 5.3349632E+000,-3.7241379E+001,-4.6154625E-001, 1.5115056E+003, 5.2683294E+000,-3.7241379E+001, 4.5333486E-001, 1.4294856E+003, 4.3483983E+000,-3.7241379E+001, 4.5203915E-001, 1.4013567E+003, 4.3348021E+000,-3.7241379E+001, 4.5361131E-001, 1.4738694E+003, 4.4809639E+000,-3.7241379E+001, 4.5442513E-001, 1.5911134E+003, 4.5003255E+000,-3.7241379E+001, 4.5759601E-001, 1.5534074E+003, 4.4818406E+000
-3.4482759E+001,-4.6722433E-001, 1.4990232E+003, 5.1597421E+000,-3.4482759E+001,-4.6833778E-001, 1.4410237E+003, 5.0272465E+000,-3.4482759E+001,-4.6888162E-001, 1.4727332E+003, 5.0424112E+000,-3.4482759E+001,-4.6649117E-001, 1.5260645E+003, 5.2835656E+000,-3.4482759E+001,-4.6330394E-001, 1.5110872E+003, 5.2832571E+000,-3.4482759E+001, 4.5223531E-001, 1.4157506E+003, 4.3103973E+000,-3.4482759E+001, 4.5155484E-001, 1.4128452E+003, 4.3772099E+000,-3.4482759E+001, 4.5252570E-001, 1.4732877E+003, 4.5078201E+000,-3.4482759E+001, 4.5377554E-001, 1.5968130E+003, 4.5779366E+000,-3.4482759E+001, 4.5660284E-001, 1.5506283E+003, 4.5689719E+000
-3.1724138E+001,-4.6837223E-001, 1.4844111E+003, 5.0596560E+000,-3.1724138E+001,-4.6901398E-001, 1.4207690E+003, 4.9603498E+000,-3.1724138E+001,-4.6978445E-001, 1.4671268E+003, 5.0895643E+000,-3.1724138E+001,-4.6768813E-001, 1.5189977E+003, 5.2002892E+000,-3.1724138E+001,-4.6432269E-001, 1.4873270E+003, 5.2267259E+000,-3.1724138E+001, 4.5072205E-001, 1.4018189E+003, 4.2603594E+000,-3.1724138E+001, 4.5091308E-001, 1.4146142E+003, 4.4381651E+000,-3.1724138E+001, 4.5152249E-001, 1.5010638E+003, 4.4949983E+000,-3.1724138E+001, 4.5260206E-001, 1.5817038E+003, 4.6024444E+000,-3.1724138E+001, 4.5591416E-001, 1.5421733E+003, 4.6602796E+000
-2.8965517E+001,-4.6888110E-001, 1.4644155E+003, 5.0444543E+000,-2.8965517E+001,-4.6964930E-001, 1.4054030E+003, 4.7728586E+000,-2.8965517E+001,-4.7019398E-001, 1.4767012E+003, 5.0684326E+000,-2.8965517E+001,-4.6953412E-001, 1.5126431E+003, 5.2482424E+000,-2.8965517E+001,-4.6514774E-001, 1.4774227E+003, 5.1906443E+000,-2.8965517E+001, 4.5005668E-001, 1.4037259E+003, 4.2879713E+000,-2.8965517E+001, 4.5006165E-001, 1.3865253E+003, 4.4029014E+000,-2.8965517E+001, 4.5092033E-001, 1.5225108E+003, 4.5457986E+000,-2.8965517E+001, 4.5104272E-001, 1.5559091E+003, 4.5377622E+000,-2.8965517E+001, 4.5546169E-001, 1.5362465E+003, 4.6757441E+000
-2.6206897E+001,-4.6921906E-001, 1.4190995E+003, 4.9316965E+000,-2.6206897E+001,-4.6995486E-001, 1.3768478E+003, 4.6162503E+000,-2.6206897E+001,-4.7149407E-001, 1.4663588E+003, 4.9619399E+000,-2.6206897E+001,-4.7109540E-001, 1.4849766E+003, 5.2058526E+000,-2.6206897E+001,-4.6683574E-001, 1.4425408E+003, 5.1283819E+000,-2.6206897E+001, 4.4875711E-001, 1.3958152E+003, 4.2889845E+000,-2.6206897E+001, 4.4838104E-001, 1.3849921E+003, 4.4171367E+000,-2.6206897E+001, 4.4921969E-001, 1.4887373E+003, 4.4992429E+000,-2.6206897E+001, 4.5038202E-001, 1.5489201E+003, 4.6296674E+000,-2.6206897E+001, 4.5393606E-001, 1.5172695E+003, 4.5563841E+000
-2.3448276E+001,-4.6941743E-001, 1.3996547E+003, 4.7530430E+000,-2.3448276E+001,-4.7066612E-001, 1.3227176E+003, 4.5249050E+000,-2.3448276E+001,-4.7209291E-001, 1.4504656E+003, 4.9569203E+000,-2.3448276E+001,-4.7131901E-001, 1.4348037E+003, 5.0855815E+000,-2.3448276E+001,-4.6668087E-001, 1.4224987E+003, 5.0021336E+000,-2.3448276E+001, 4.4756058E-001, 1.3728365E+003, 4.1886611E+000,-2.3448276E+001, 4.4679054E-001, 1.3820220E+003, 4.3891735E+000,-2.3448276E+001, 4.4827106E-001, 1.4920779E+003, 4.4701539E+000,-2.3448276E+001, 4.4896163E-001, 1.5234102E+003, 4.4641463E+000,-2.3448276E+001, 4.5334108E-001, 1.4921736E+003, 4.5716432E+000
-2.0689655E+001,-4.7012663E-001, 1.3710630E+003, 4.6463951E+000,-2.0689655E+001,-4.7180804E-001, 1.2909838E+003, 4.4999825E+000,-2.0689655E+001,-4.7248215E-001, 1.4213020E+003, 4.8521076E+000,-2.0689655E+001,-4.7167804E-001, 1.4089549E+003, 4.9295767E+000,-2.0689655E+001,-4.6610425E-001, 1.3903808E+003, 4.8356299E+000,-2.0689655E+001, 4.4681012E-001, 1.3722923E+003, 4.2209597E+000,-2.0689655E+001, 4.4524577E-001, 1.3765709E+003, 4.3693614E+000,-2.0689655E+001, 4.4686587E-001, 1.4697138E+003, 4.4031630E+000,-2.0689655E+001, 4.4808453E-001, 1.4807062E+003, 4.3994271E+000,-2.0689655E+001, 4.5229597E-001, 1.4667094E+003, 4.5242876E+000
-1.7931034E+001,-4.7072338E-001, 1.3562609E+003, 4.5821553E+000,-1.7931034E+001,-4.7209596E-001, 1.2464048E+003, 4.3711124E+000,-1.7931034E+001,-4.7248679E-001, 1.3798531E+003, 4.7067829E+000,-1.7931034E+001,-4.7173321E-001, 1.3429670E+003, 4.7967861E+000,-1.7931034E+001,-4.6649218E-001, 1.3584387E+003, 4.6696669E+000,-1.7931034E+001, 4.4615323E-001, 1.3645374E+003, 4.2579666E+000,-1.7931034E+001, 4.4430918E-001, 1.3644717E+003, 4.3108715E+000,-1.7931034E+001, 4.4503649E-001, 1.4385483E+003, 4.3732858E+000,-1.7931034E+001, 4.4701117E-001, 1.4257880E+003, 4.3071989E+000,-1.7931034E+001, 4.5110244E-001, 1.4435587E+003, 4.4591152E+000
