m,W/m2/K,kW/m2
HTC-x,HTC,QCONV
-4.9652700E-001, 6.6571178E+001, 3.0315264E+000
-4.8958257E-001, 6.7500870E+001, 3.1118227E+000
-4.8263813E-001, 6.8426511E+001, 3.1800718E+000
-4.7569370E-001, 6.9340075E+001, 3.2586761E+000
-4.6874927E-001, 7.0256203E+001, 3.3300163E+000
-4.6180483E-001, 7.1165248E+001, 3.4093238E+000
-4.5486040E-001, 7.2074257E+001, 3.4835910E+000
-4.4791597E-001, 7.2981757E+001, 3.5643583E+000
-4.4097153E-001, 7.3885617E+001, 3.6392447E+000
-4.3402710E-001, 7.4786885E+001, 3.7220759E+000
-4.2708266E-001, 7.5683616E+001, 3.7982405E+000
-4.2013823E-001, 7.6579886E+001, 3.8834979E+000
-4.1319380E-001, 7.7470435E+001, 3.9619647E+000
-4.0624936E-001, 7.8356122E+001, 4.0504854E+000
-3.9930493E-001, 7.9236994E+001, 4.1343444E+000
-3.9236050E-001, 8.0112931E+001, 4.2252981E+000
-3.8541606E-001, 8.0982862E+001, 4.3134676E+000
-3.7847163E-001, 8.1846553E+001, 4.4069589E+000
-3.7152720E-001, 8.2703288E+001, 4.4975528E+000
-3.6458276E-001, 8.3553050E+001, 4.5927121E+000
-3.5763833E-001, 8.4395377E+001, 4.6853713E+000
-3.5069390E-001, 8.5229753E+001, 4.7825146E+000
-3.4374946E-001, 8.6055776E+001, 4.8777620E+000
-3.3680503E-001, 8.6873045E+001, 4.9755366E+000
-3.2986059E-001, 8.7681161E+001, 5.0724345E+000
-3.2291616E-001, 8.8479724E+001, 5.1715505E+000
-3.1597173E-001, 8.9268339E+001, 5.2693072E+000
-3.0902729E-001, 9.0046611E+001, 5.3688997E+000
-3.0208286E-001, 9.0814148E+001, 5.4675680E+000
-2.9513843E-001, 9.1570562E+001, 5.5682424E+000
-2.8819399E-001, 9.2315466E+001, 5.6669902E+000
-2.8124956E-001, 9.3048480E+001, 5.7673607E+000
-2.7430513E-001, 9.3769223E+001, 5.8657003E+000
-2.6736069E-001, 9.4477323E+001, 5.9650418E+000
-2.6041626E-001, 9.5172410E+001, 6.0635306E+000
-2.5347183E-001, 9.5854118E+001, 6.1633857E+000
-2.4652739E-001, 9.6522089E+001, 6.2627264E+000
-2.3958296E-001, 9.7175966E+001, 6.3631816E+000
-2.3263852E-001, 9.7815403E+001, 6.4616930E+000
-2.2569409E-001, 9.8440057E+001, 6.5604999E+000
-2.1874966E-001, 9.9049591E+001, 6.6570051E+000
-2.1180522E-001, 9.9643676E+001, 6.7534841E+000
-2.0486079E-001, 1.0022199E+002, 6.8485322E+000
-1.9791636E-001, 1.0078422E+002, 6.9431140E+000
-1.9097192E-001, 1.0133005E+002, 7.0358309E+000
-1.8402749E-001, 1.0185919E+002, 7.1267873E+000
-1.7708306E-001, 1.0237134E+002, 7.2152249E+000
-1.7013862E-001, 1.0286622E+002, 7.3021647E+000
-1.6319419E-001, 1.0334355E+002, 7.3853201E+000
-1.5624976E-001, 1.0380308E+002, 7.4654594E+000
-1.4930532E-001, 1.0424454E+002, 7.5409136E+000
-1.4236089E-001, 1.0466768E+002, 7.6136804E+000
-1.3541645E-001, 1.0507227E+002, 7.6811698E+000
-1.2847202E-001, 1.0545808E+002, 7.7456779E+000
-1.2152759E-001, 1.0582489E+002, 7.8045454E+000
-1.1458315E-001, 1.0617250E+002, 7.8597046E+000
-1.0763872E-001, 1.0650069E+002, 7.9080778E+000
-1.0069429E-001, 1.0680930E+002, 7.9553726E+000
-9.3749853E-002, 1.0709814E+002, 7.9986932E+000
-8.6805420E-002, 1.0736705E+002, 8.0417987E+000
-7.9860986E-002, 1.0761588E+002, 8.0803425E+000
-7.2916552E-002, 1.0784447E+002, 8.1166714E+000
-6.5972119E-002, 1.0805270E+002, 8.1458193E+000
-5.9027685E-002, 1.0824046E+002, 8.1709680E+000
-5.2083252E-002, 1.0840762E+002, 8.1910349E+000
-4.5138818E-002, 1.0855411E+002, 8.2124214E+000
-3.8194385E-002, 1.0867982E+002, 8.2276651E+000
-3.1249951E-002, 1.0878469E+002, 8.2411489E+000
-2.4305517E-002, 1.0886867E+002, 8.2348478E+000
-1.7361084E-002, 1.0893169E+002, 8.2270211E+000
-1.0416650E-002, 1.0897372E+002, 8.2422387E+000
-3.4722168E-003, 1.0899474E+002, 8.2547504E+000
 3.4722168E-003, 1.0899474E+002, 8.2774790E+000
 1.0416650E-002, 1.0897372E+002, 8.2726037E+000
 1.7361084E-002, 1.0893169E+002, 8.2531167E+000
 2.4305517E-002, 1.0886867E+002, 8.2546805E+000
 3.1249951E-002, 1.0878469E+002, 8.2416144E+000
 3.8194385E-002, 1.0867982E+002, 8.2333746E+000
 4.5138818E-002, 1.0855411E+002, 8.2103197E+000
 5.2083252E-002, 1.0840762E+002, 8.1919293E+000
 5.9027685E-002, 1.0824046E+002, 8.1656617E+000
 6.5972119E-002, 1.0805270E+002, 8.1360579E+000
 7.2916552E-002, 1.0784447E+002, 8.1030160E+000
 7.9860986E-002, 1.0761588E+002, 8.0666502E+000
 8.6805420E-002, 1.0736705E+002, 8.0280008E+000
 9.3749853E-002, 1.0709814E+002, 7.9844711E+000
 1.0069429E-001, 1.0680930E+002, 7.9377062E+000
 1.0763872E-001, 1.0650069E+002, 7.8847832E+000
 1.1458315E-001, 1.0617250E+002, 7.8282049E+000
 1.2152759E-001, 1.0582489E+002, 7.7660656E+000
 1.2847202E-001, 1.0545808E+002, 7.7004997E+000
 1.3541645E-001, 1.0507227E+002, 7.6309227E+000
 1.4236089E-001, 1.0466768E+002, 7.5614056E+000
 1.4930532E-001, 1.0424454E+002, 7.4884521E+000
 1.5624976E-001, 1.0380308E+002, 7.4128424E+000
 1.6319419E-001, 1.0334355E+002, 7.3329354E+000
 1.7013862E-001, 1.0286622E+002, 7.2509678E+000
