s,Pa,kg/m3,kW,kW
Time,p0,rho,Q1-0,Q2-0
 0.0000000E+000, 1.0132500E+005, 1.1794096E+000,-5.7023773E+002, 0.0000000E+000
 1.0044643E+001, 1.0132720E+005, 1.1793623E+000,-5.7148027E+002, 1.5084429E+000
 2.0089286E+001, 1.0133219E+005, 1.1805011E+000,-7.5515407E+002, 3.1950259E+001
 3.0133929E+001, 1.0133834E+005, 1.1818208E+000,-8.6602311E+002, 9.7944573E+001
 4.0178571E+001, 1.0134386E+005, 1.1839620E+000,-7.2395584E+002, 1.7361589E+002
 5.0223214E+001, 1.0134771E+005, 1.1850869E+000,-5.6950129E+002, 1.9517991E+002
 6.0044643E+001, 1.0135055E+005, 1.1852242E+000,-4.9830925E+002, 1.7016494E+002
 7.0089286E+001, 1.0135306E+005, 1.1860280E+000,-4.4520047E+002, 1.5393899E+002
 8.0133929E+001, 1.0135532E+005, 1.1897747E+000,-4.1996027E+002, 1.4950926E+002
 9.0178571E+001, 1.0135749E+005, 1.1904058E+000,-4.1882867E+002, 1.4417583E+002
 1.0000000E+002, 1.0135965E+005, 1.1904527E+000,-4.1111952E+002, 1.3728772E+002
 1.1004464E+002, 1.0136183E+005, 1.1906584E+000,-4.0501107E+002, 1.2934248E+002
 1.2008929E+002, 1.0136400E+005, 1.1897077E+000,-3.9934158E+002, 1.2297888E+002
 1.3013393E+002, 1.0136619E+005, 1.1905515E+000,-3.9411898E+002, 1.1792318E+002
 1.4017857E+002, 1.0136839E+005, 1.1901422E+000,-3.9093060E+002, 1.1371828E+002
 1.5000000E+002, 1.0137058E+005, 1.1895458E+000,-3.8848350E+002, 1.1002110E+002
 1.6004464E+002, 1.0137278E+005, 1.1895598E+000,-3.8696047E+002, 1.0741034E+002
 1.7008929E+002, 1.0137500E+005, 1.1890112E+000,-3.8519470E+002, 1.0521670E+002
 1.8013393E+002, 1.0137722E+005, 1.1885914E+000,-3.8363919E+002, 1.0359951E+002
 1.9017857E+002, 1.0137944E+005, 1.1882735E+000,-3.8110432E+002, 1.0239986E+002
 2.0022321E+002, 1.0138166E+005, 1.1885061E+000,-3.8029103E+002, 1.0156901E+002
 2.1004464E+002, 1.0138386E+005, 1.1889355E+000,-3.8078219E+002, 1.0070690E+002
 2.2008929E+002, 1.0138607E+005, 1.1894822E+000,-3.7976984E+002, 9.9100283E+001
 2.3013393E+002, 1.0138829E+005, 1.1886268E+000,-3.7740317E+002, 9.8804573E+001
 2.4017857E+002, 1.0139050E+005, 1.1878665E+000,-3.7570221E+002, 9.8156761E+001
 2.5022321E+002, 1.0139271E+005, 1.1867137E+000,-3.7399145E+002, 9.7427489E+001
 2.6004464E+002, 1.0139488E+005, 1.1871166E+000,-3.7291938E+002, 9.7477893E+001
 2.7008929E+002, 1.0139706E+005, 1.1875948E+000,-3.7204652E+002, 9.6975729E+001
 2.8013393E+002, 1.0139924E+005, 1.1875932E+000,-3.7045626E+002, 9.8891586E+001
 2.9017857E+002, 1.0140139E+005, 1.1871910E+000,-3.6838359E+002, 9.9775800E+001
 3.0022321E+002, 1.0140352E+005, 1.1872109E+000,-3.6624364E+002, 1.0011490E+002
 3.1004464E+002, 1.0140561E+005, 1.1879551E+000,-3.6473856E+002, 1.0067609E+002
 3.2008929E+002, 1.0140767E+005, 1.1887092E+000,-3.6392531E+002, 1.0158793E+002
 3.3013393E+002, 1.0140975E+005, 1.1897704E+000,-3.6335685E+002, 1.0138984E+002
 3.4017857E+002, 1.0141183E+005, 1.1893211E+000,-3.6273255E+002, 1.0140942E+002
 3.5022321E+002, 1.0141391E+005, 1.1892819E+000,-3.6226655E+002, 1.0105915E+002
 3.6004464E+002, 1.0141596E+005, 1.1890452E+000,-3.6199938E+002, 1.0190545E+002
 3.7008929E+002, 1.0141800E+005, 1.1884308E+000,-3.6167092E+002, 1.0317401E+002
 3.8013393E+002, 1.0142005E+005, 1.1883755E+000,-3.6094755E+002, 1.0410720E+002
 3.9017857E+002, 1.0142209E+005, 1.1883491E+000,-3.6001716E+002, 1.0381546E+002
 4.0022321E+002, 1.0142412E+005, 1.1883500E+000,-3.5895966E+002, 1.0394871E+002
 4.1004464E+002, 1.0142612E+005, 1.1884803E+000,-3.5834654E+002, 1.0619074E+002
 4.2008929E+002, 1.0142809E+005, 1.1886054E+000,-3.5790709E+002, 1.0760158E+002
 4.3013393E+002, 1.0143008E+005, 1.1884610E+000,-3.5735134E+002, 1.0943602E+002
 4.4017857E+002, 1.0143204E+005, 1.1882195E+000,-3.5704025E+002, 1.1004401E+002
 4.5022321E+002, 1.0143400E+005, 1.1879767E+000,-3.5683528E+002, 1.1039097E+002
 4.6004464E+002, 1.0143594E+005, 1.1878283E+000,-3.5657136E+002, 1.0944122E+002
 4.7008929E+002, 1.0143789E+005, 1.1868706E+000,-3.5641834E+002, 1.0715876E+002
 4.8013393E+002, 1.0143989E+005, 1.1874213E+000,-3.5655266E+002, 1.0526080E+002
 4.9017857E+002, 1.0144188E+005, 1.1877556E+000,-3.5727296E+002, 1.0709548E+002
 5.0022321E+002, 1.0144388E+005, 1.1874735E+000,-3.5849707E+002, 1.0783403E+002
 5.1004464E+002, 1.0144586E+005, 1.1873685E+000,-3.5908002E+002, 1.0729937E+002
 5.2008929E+002, 1.0144783E+005, 1.1873932E+000,-3.5829272E+002, 1.0920507E+002
 5.3013393E+002, 1.0144981E+005, 1.1871958E+000,-3.5828030E+002, 1.1011449E+002
 5.4017857E+002, 1.0145179E+005, 1.1871266E+000,-3.5798317E+002, 1.1111804E+002
 5.5022321E+002, 1.0145375E+005, 1.1880575E+000,-3.5725392E+002, 1.1140357E+002
 5.6004464E+002, 1.0145569E+005, 1.1885545E+000,-3.5643572E+002, 1.1234574E+002
 5.7008929E+002, 1.0145759E+005, 1.1882319E+000,-3.5578328E+002, 1.1542033E+002
 5.8013393E+002, 1.0145949E+005, 1.1881769E+000,-3.5517078E+002, 1.1664139E+002
 5.9017857E+002, 1.0146139E+005, 1.1880881E+000,-3.5455651E+002, 1.1612979E+002
 6.0000000E+002, 1.0146326E+005, 1.1885293E+000,-3.5399068E+002, 1.1595521E+002
 6.1004464E+002, 1.0146514E+005, 1.1885769E+000,-3.5379120E+002, 1.1297481E+002
 6.2008929E+002, 1.0146705E+005, 1.1883273E+000,-3.5309267E+002, 1.1220728E+002
 6.3013393E+002, 1.0146895E+005, 1.1885830E+000,-3.5294239E+002, 1.1427054E+002
 6.4017857E+002, 1.0147084E+005, 1.1887863E+000,-3.5303068E+002, 1.1582741E+002
 6.5000000E+002, 1.0147270E+005, 1.1885134E+000,-3.5311708E+002, 1.1707902E+002
 6.6004464E+002, 1.0147456E+005, 1.1885497E+000,-3.5357645E+002, 1.1617776E+002
 6.7008929E+002, 1.0147645E+005, 1.1884732E+000,-3.5439707E+002, 1.1616000E+002
 6.8013393E+002, 1.0147834E+005, 1.1881863E+000,-3.5366087E+002, 1.1606068E+002
 6.9017857E+002, 1.0148022E+005, 1.1881597E+000,-3.5269487E+002, 1.1556977E+002
 7.0000000E+002, 1.0148208E+005, 1.1889314E+000,-3.5216786E+002, 1.1535149E+002
 7.1004464E+002, 1.0148394E+005, 1.1888884E+000,-3.5205273E+002, 1.1606486E+002
 7.2008929E+002, 1.0148582E+005, 1.1888475E+000,-3.5125381E+002, 1.1656300E+002
 7.3013393E+002, 1.0148768E+005, 1.1890613E+000,-3.5099968E+002, 1.1614740E+002
 7.4017857E+002, 1.0148955E+005, 1.1888560E+000,-3.5070804E+002, 1.1606372E+002
 7.5000000E+002, 1.0149139E+005, 1.1885501E+000,-3.4999951E+002, 1.1780811E+002
 7.6004464E+002, 1.0149321E+005, 1.1882421E+000,-3.4913540E+002, 1.1964739E+002
 7.7008929E+002, 1.0149504E+005, 1.1876066E+000,-3.4829192E+002, 1.1953154E+002
 7.8013393E+002, 1.0149687E+005, 1.1874637E+000,-3.4806892E+002, 1.1795336E+002
 7.9017857E+002, 1.0149871E+005, 1.1878568E+000,-3.4777231E+002, 1.1618392E+002
 8.0000000E+002, 1.0150054E+005, 1.1882678E+000,-3.4769277E+002, 1.1685400E+002
 8.1004464E+002, 1.0150235E+005, 1.1885882E+000,-3.4725483E+002, 1.1714626E+002
 8.2008929E+002, 1.0150418E+005, 1.1886797E+000,-3.4660759E+002, 1.1782433E+002
 8.3013393E+002, 1.0150600E+005, 1.1886276E+000,-3.4623744E+002, 1.1776770E+002
 8.4017857E+002, 1.0150783E+005, 1.1886686E+000,-3.4617903E+002, 1.1597777E+002
 8.5000000E+002, 1.0150965E+005, 1.1891258E+000,-3.4645437E+002, 1.1532561E+002
 8.6004464E+002, 1.0151147E+005, 1.1894128E+000,-3.4695958E+002, 1.1565042E+002
 8.7008929E+002, 1.0151332E+005, 1.1886256E+000,-3.4774906E+002, 1.1673236E+002
 8.8013393E+002, 1.0151515E+005, 1.1874607E+000,-3.4809922E+002, 1.1791584E+002
 8.9017857E+002, 1.0151699E+005, 1.1879522E+000,-3.4860849E+002, 1.1797941E+002
 9.0000000E+002, 1.0151880E+005, 1.1891384E+000,-3.4819388E+002, 1.1909954E+002
 9.1004464E+002, 1.0152059E+005, 1.1884242E+000,-3.4719743E+002, 1.2007331E+002
 9.2008929E+002, 1.0152239E+005, 1.1889749E+000,-3.4589616E+002, 1.2116382E+002
 9.3013393E+002, 1.0152416E+005, 1.1890380E+000,-3.4448685E+002, 1.2436120E+002
 9.4017857E+002, 1.0152590E+005, 1.1893452E+000,-3.4361951E+002, 1.2660518E+002
 9.5000000E+002, 1.0152760E+005, 1.1893936E+000,-3.4293789E+002, 1.2785334E+002
 9.6004464E+002, 1.0152929E+005, 1.1890083E+000,-3.4277731E+002, 1.2729830E+002
 9.7008929E+002, 1.0153102E+005, 1.1886233E+000,-3.4375527E+002, 1.2556141E+002
 9.8013393E+002, 1.0153276E+005, 1.1886539E+000,-3.4367395E+002, 1.2495645E+002
 9.9017857E+002, 1.0153450E+005, 1.1889813E+000,-3.4239054E+002, 1.2357036E+002
 1.0000000E+003, 1.0153622E+005, 1.1890849E+000,-3.4130192E+002, 1.2313462E+002
 1.0100446E+003, 1.0153793E+005, 1.1887202E+000,-3.4030200E+002, 1.2376242E+002
 1.0200893E+003, 1.0153966E+005, 1.1883189E+000,-3.3936538E+002, 1.2350320E+002
 1.0301339E+003, 1.0154137E+005, 1.1883255E+000,-3.3873431E+002, 1.2389628E+002
 1.0401786E+003, 1.0154307E+005, 1.1886990E+000,-3.3793839E+002, 1.2461244E+002
 1.0500000E+003, 1.0154474E+005, 1.1884909E+000,-3.3728422E+002, 1.2575159E+002
 1.0600446E+003, 1.0154640E+005, 1.1884797E+000,-3.3666691E+002, 1.2652631E+002
 1.0700893E+003, 1.0154807E+005, 1.1888317E+000,-3.3545257E+002, 1.2585017E+002
 1.0801339E+003, 1.0154973E+005, 1.1894055E+000,-3.3482351E+002, 1.2574710E+002
 1.0901786E+003, 1.0155139E+005, 1.1894213E+000,-3.3424089E+002, 1.2727030E+002
 1.1000000E+003, 1.0155301E+005, 1.1892290E+000,-3.3395202E+002, 1.2949945E+002
 1.1100446E+003, 1.0155461E+005, 1.1891546E+000,-3.3367151E+002, 1.3019114E+002
 1.1200893E+003, 1.0155623E+005, 1.1893681E+000,-3.3347979E+002, 1.3090007E+002
 1.1301339E+003, 1.0155784E+005, 1.1892848E+000,-3.3344357E+002, 1.3072559E+002
 1.1401786E+003, 1.0155945E+005, 1.1894240E+000,-3.3357237E+002, 1.3089955E+002
 1.1500000E+003, 1.0156104E+005, 1.1893481E+000,-3.3350611E+002, 1.3089897E+002
 1.1600446E+003, 1.0156264E+005, 1.1893048E+000,-3.3266993E+002, 1.2976378E+002
 1.1700893E+003, 1.0156425E+005, 1.1893070E+000,-3.3203423E+002, 1.2889245E+002
 1.1801339E+003, 1.0156586E+005, 1.1891926E+000,-3.3154762E+002, 1.2868880E+002
 1.1901786E+003, 1.0156747E+005, 1.1891612E+000,-3.3113695E+002, 1.2944556E+002
 1.2000000E+003, 1.0156906E+005, 1.1890769E+000,-3.3089607E+002, 1.2943456E+002
 1.2100446E+003, 1.0157064E+005, 1.1891018E+000,-3.3102389E+002, 1.2932504E+002
 1.2200893E+003, 1.0157225E+005, 1.1885310E+000,-3.3123274E+002, 1.2890520E+002
 1.2301339E+003, 1.0157386E+005, 1.1887987E+000,-3.3099624E+002, 1.2886353E+002
 1.2401786E+003, 1.0157547E+005, 1.1883553E+000,-3.3105577E+002, 1.2982253E+002
 1.2500000E+003, 1.0157706E+005, 1.1880512E+000,-3.3075288E+002, 1.3081759E+002
 1.2600446E+003, 1.0157864E+005, 1.1886136E+000,-3.3015176E+002, 1.2964970E+002
 1.2700893E+003, 1.0158024E+005, 1.1890701E+000,-3.2970931E+002, 1.2920128E+002
 1.2801339E+003, 1.0158184E+005, 1.1896420E+000,-3.2953243E+002, 1.2925644E+002
 1.2901786E+003, 1.0158344E+005, 1.1900058E+000,-3.2904824E+002, 1.2834417E+002
 1.3000000E+003, 1.0158503E+005, 1.1899048E+000,-3.2834161E+002, 1.2766625E+002
 1.3100446E+003, 1.0158661E+005, 1.1896974E+000,-3.2782846E+002, 1.2844487E+002
 1.3200893E+003, 1.0158820E+005, 1.1895942E+000,-3.2754739E+002, 1.2969940E+002
 1.3301339E+003, 1.0158977E+005, 1.1894042E+000,-3.2730975E+002, 1.3077721E+002
 1.3401786E+003, 1.0159134E+005, 1.1892176E+000,-3.2723583E+002, 1.3108482E+002
 1.3500000E+003, 1.0159289E+005, 1.1893831E+000,-3.2735644E+002, 1.3040060E+002
 1.3600446E+003, 1.0159443E+005, 1.1892938E+000,-3.2721715E+002, 1.3246406E+002
 1.3700893E+003, 1.0159598E+005, 1.1893232E+000,-3.2711102E+002, 1.3331078E+002
 1.3801339E+003, 1.0159752E+005, 1.1888155E+000,-3.2693379E+002, 1.3196876E+002
 1.3901786E+003, 1.0159907E+005, 1.1884017E+000,-3.2658113E+002, 1.3181101E+002
 1.4002232E+003, 1.0160062E+005, 1.1894357E+000,-3.2720254E+002, 1.3187593E+002
 1.4100446E+003, 1.0160215E+005, 1.1892556E+000,-3.2789083E+002, 1.3293661E+002
 1.4200893E+003, 1.0160368E+005, 1.1885454E+000,-3.2785207E+002, 1.3446731E+002
 1.4301339E+003, 1.0160521E+005, 1.1894415E+000,-3.2764633E+002, 1.3586533E+002
 1.4401786E+003, 1.0160673E+005, 1.1901961E+000,-3.2719344E+002, 1.3735275E+002
 1.4502232E+003, 1.0160823E+005, 1.1905076E+000,-3.2677457E+002, 1.3919635E+002
 1.4600446E+003, 1.0160971E+005, 1.1897054E+000,-3.2644083E+002, 1.3947527E+002
 1.4700893E+003, 1.0161120E+005, 1.1888401E+000,-3.2698875E+002, 1.3701446E+002
 1.4801339E+003, 1.0161272E+005, 1.1879653E+000,-3.2719863E+002, 1.3738786E+002
 1.4901786E+003, 1.0161424E+005, 1.1885494E+000,-3.2667896E+002, 1.3799336E+002
 1.5002232E+003, 1.0161574E+005, 1.1878292E+000,-3.2595608E+002, 1.3959389E+002
 1.5100446E+003, 1.0161720E+005, 1.1869708E+000,-3.2475174E+002, 1.4188155E+002
 1.5200893E+003, 1.0161865E+005, 1.1878908E+000,-3.2408983E+002, 1.4146908E+002
 1.5301339E+003, 1.0162011E+005, 1.1870858E+000,-3.2368727E+002, 1.4031121E+002
 1.5401786E+003, 1.0162157E+005, 1.1870189E+000,-3.2324098E+002, 1.3922007E+002
 1.5502232E+003, 1.0162304E+005, 1.1871537E+000,-3.2274567E+002, 1.3814602E+002
 1.5600446E+003, 1.0162449E+005, 1.1875703E+000,-3.2296704E+002, 1.3739389E+002
 1.5700893E+003, 1.0162596E+005, 1.1884321E+000,-3.2335501E+002, 1.3640822E+002
 1.5801339E+003, 1.0162744E+005, 1.1887105E+000,-3.2325372E+002, 1.3845926E+002
 1.5901786E+003, 1.0162891E+005, 1.1882889E+000,-3.2265800E+002, 1.3943097E+002
 1.6002232E+003, 1.0163038E+005, 1.1887490E+000,-3.2326275E+002, 1.3870656E+002
 1.6100446E+003, 1.0163183E+005, 1.1891818E+000,-3.2348046E+002, 1.3989611E+002
 1.6200893E+003, 1.0163328E+005, 1.1894080E+000,-3.2254938E+002, 1.4076081E+002
 1.6301339E+003, 1.0163472E+005, 1.1902642E+000,-3.2151203E+002, 1.4129206E+002
 1.6401786E+003, 1.0163616E+005, 1.1901018E+000,-3.2046429E+002, 1.4079472E+002
 1.6502232E+003, 1.0163758E+005, 1.1897683E+000,-3.1941687E+002, 1.4114752E+002
 1.6600446E+003, 1.0163897E+005, 1.1887763E+000,-3.1914033E+002, 1.4392411E+002
 1.6700893E+003, 1.0164034E+005, 1.1884213E+000,-3.1984607E+002, 1.4617216E+002
 1.6801339E+003, 1.0164172E+005, 1.1884943E+000,-3.2054362E+002, 1.4786596E+002
 1.6901786E+003, 1.0164309E+005, 1.1884673E+000,-3.2052132E+002, 1.4876466E+002
 1.7002232E+003, 1.0164445E+005, 1.1885464E+000,-3.2016309E+002, 1.4890900E+002
 1.7100446E+003, 1.0164581E+005, 1.1889390E+000,-3.1981915E+002, 1.4727656E+002
 1.7200893E+003, 1.0164717E+005, 1.1887972E+000,-3.1939713E+002, 1.4518853E+002
 1.7301339E+003, 1.0164857E+005, 1.1888061E+000,-3.1902986E+002, 1.4363278E+002
 1.7401786E+003, 1.0164997E+005, 1.1887025E+000,-3.1859302E+002, 1.4298305E+002
 1.7502232E+003, 1.0165137E+005, 1.1890676E+000,-3.1756954E+002, 1.4288131E+002
 1.7600446E+003, 1.0165275E+005, 1.1892603E+000,-3.1655820E+002, 1.4212426E+002
 1.7700893E+003, 1.0165412E+005, 1.1893613E+000,-3.1581149E+002, 1.4144862E+002
 1.7801339E+003, 1.0165551E+005, 1.1889665E+000,-3.1521340E+002, 1.4167486E+002
 1.7901786E+003, 1.0165689E+005, 1.1884176E+000,-3.1464004E+002, 1.4326444E+002
 1.8002232E+003, 1.0165824E+005, 1.1885829E+000,-3.1402216E+002, 1.4638067E+002
 1.8100446E+003, 1.0165955E+005, 1.1887584E+000,-3.1379191E+002, 1.4867566E+002
 1.8200893E+003, 1.0166085E+005, 1.1886866E+000,-3.1347403E+002, 1.4928905E+002
 1.8301339E+003, 1.0166215E+005, 1.1890852E+000,-3.1308453E+002, 1.5029370E+002
 1.8401786E+003, 1.0166345E+005, 1.1891497E+000,-3.1303821E+002, 1.4984028E+002
 1.8502232E+003, 1.0166475E+005, 1.1892043E+000,-3.1309328E+002, 1.4967779E+002
 1.8600446E+003, 1.0166604E+005, 1.1888711E+000,-3.1302925E+002, 1.4993299E+002
 1.8700893E+003, 1.0166732E+005, 1.1887861E+000,-3.1320308E+002, 1.4966201E+002
 1.8801339E+003, 1.0166863E+005, 1.1888426E+000,-3.1315793E+002, 1.4889410E+002
 1.8901786E+003, 1.0166995E+005, 1.1894327E+000,-3.1270214E+002, 1.4705013E+002
 1.9002232E+003, 1.0167127E+005, 1.1892624E+000,-3.1249288E+002, 1.4579395E+002
 1.9100446E+003, 1.0167258E+005, 1.1896222E+000,-3.1237389E+002, 1.4700172E+002
 1.9200893E+003, 1.0167389E+005, 1.1892306E+000,-3.1205668E+002, 1.4663029E+002
 1.9301339E+003, 1.0167522E+005, 1.1888159E+000,-3.1166243E+002, 1.4599648E+002
 1.9401786E+003, 1.0167654E+005, 1.1885473E+000,-3.1162493E+002, 1.4623891E+002
 1.9502232E+003, 1.0167785E+005, 1.1886787E+000,-3.1180979E+002, 1.4669570E+002
 1.9600446E+003, 1.0167916E+005, 1.1889223E+000,-3.1183573E+002, 1.4764252E+002
 1.9700893E+003, 1.0168044E+005, 1.1888491E+000,-3.1163621E+002, 1.4960214E+002
 1.9801339E+003, 1.0168173E+005, 1.1889572E+000,-3.1135047E+002, 1.5023760E+002
 1.9901786E+003, 1.0168301E+005, 1.1890628E+000,-3.1105483E+002, 1.5048687E+002
 2.0002232E+003, 1.0168429E+005, 1.1890068E+000,-3.1062277E+002, 1.5069247E+002
 2.0100446E+003, 1.0168555E+005, 1.1888274E+000,-3.1019863E+002, 1.4999837E+002
 2.0200893E+003, 1.0168681E+005, 1.1892936E+000,-3.0992572E+002, 1.4953568E+002
 2.0301339E+003, 1.0168809E+005, 1.1895930E+000,-3.0962320E+002, 1.4888573E+002
 2.0401786E+003, 1.0168937E+005, 1.1892669E+000,-3.0954690E+002, 1.4782337E+002
 2.0502232E+003, 1.0169066E+005, 1.1888937E+000,-3.0958082E+002, 1.4721311E+002
 2.0600446E+003, 1.0169194E+005, 1.1894939E+000,-3.0967144E+002, 1.4888551E+002
 2.0700893E+003, 1.0169320E+005, 1.1896485E+000,-3.0975518E+002, 1.5181143E+002
 2.0801339E+003, 1.0169445E+005, 1.1885396E+000,-3.0995399E+002, 1.5357563E+002
 2.0901786E+003, 1.0169569E+005, 1.1888471E+000,-3.0998597E+002, 1.5571853E+002
 2.1002232E+003, 1.0169692E+005, 1.1890136E+000,-3.0988702E+002, 1.5642515E+002
 2.1100446E+003, 1.0169813E+005, 1.1893222E+000,-3.1008067E+002, 1.5719013E+002
 2.1200893E+003, 1.0169933E+005, 1.1896643E+000,-3.1029149E+002, 1.5779492E+002
 2.1301339E+003, 1.0170054E+005, 1.1900812E+000,-3.1034083E+002, 1.5860744E+002
 2.1401786E+003, 1.0170174E+005, 1.1902529E+000,-3.1018684E+002, 1.6007427E+002
 2.1502232E+003, 1.0170293E+005, 1.1900596E+000,-3.0972783E+002, 1.6131059E+002
 2.1600446E+003, 1.0170409E+005, 1.1898334E+000,-3.0866758E+002, 1.6175651E+002
 2.1700893E+003, 1.0170524E+005, 1.1898062E+000,-3.0778349E+002, 1.6125342E+002
 2.1801339E+003, 1.0170641E+005, 1.1896319E+000,-3.0712614E+002, 1.5998912E+002
 2.1901786E+003, 1.0170758E+005, 1.1894293E+000,-3.0677448E+002, 1.5864811E+002
 2.2002232E+003, 1.0170878E+005, 1.1891560E+000,-3.0642800E+002, 1.5589111E+002
 2.2100446E+003, 1.0170998E+005, 1.1892973E+000,-3.0599207E+002, 1.5368971E+002
 2.2200893E+003, 1.0171119E+005, 1.1888437E+000,-3.0551878E+002, 1.5217547E+002
 2.2301339E+003, 1.0171242E+005, 1.1876170E+000,-3.0505444E+002, 1.5027987E+002
 2.2401786E+003, 1.0171366E+005, 1.1880924E+000,-3.0463475E+002, 1.4857279E+002
 2.2502232E+003, 1.0171490E+005, 1.1886062E+000,-3.0443556E+002, 1.4821156E+002
 2.2600446E+003, 1.0171613E+005, 1.1885545E+000,-3.0407971E+002, 1.4859718E+002
 2.2700893E+003, 1.0171736E+005, 1.1879459E+000,-3.0387134E+002, 1.4937244E+002
 2.2801339E+003, 1.0171859E+005, 1.1883008E+000,-3.0410883E+002, 1.4979539E+002
 2.2901786E+003, 1.0171981E+005, 1.1889987E+000,-3.0375323E+002, 1.5222979E+002
 2.3002232E+003, 1.0172101E+005, 1.1887438E+000,-3.0295339E+002, 1.5396760E+002
 2.3100446E+003, 1.0172219E+005, 1.1881906E+000,-3.0237061E+002, 1.5380440E+002
 2.3200893E+003, 1.0172336E+005, 1.1885791E+000,-3.0194169E+002, 1.5356162E+002
 2.3301339E+003, 1.0172454E+005, 1.1887313E+000,-3.0152554E+002, 1.5368387E+002
 2.3401786E+003, 1.0172571E+005, 1.1889884E+000,-3.0159330E+002, 1.5518392E+002
 2.3502232E+003, 1.0172687E+005, 1.1891616E+000,-3.0195339E+002, 1.5546971E+002
 2.3600446E+003, 1.0172802E+005, 1.1894342E+000,-3.0228267E+002, 1.5700018E+002
 2.3700893E+003, 1.0172917E+005, 1.1888840E+000,-3.0231944E+002, 1.5673456E+002
 2.3801339E+003, 1.0173034E+005, 1.1889560E+000,-3.0233275E+002, 1.5688044E+002
 2.3901786E+003, 1.0173150E+005, 1.1887114E+000,-3.0240687E+002, 1.5688285E+002
 2.4002232E+003, 1.0173266E+005, 1.1887998E+000,-3.0236265E+002, 1.5697268E+002
 2.4100446E+003, 1.0173380E+005, 1.1893702E+000,-3.0215911E+002, 1.5787377E+002
 2.4200893E+003, 1.0173494E+005, 1.1889516E+000,-3.0215991E+002, 1.5802458E+002
 2.4301339E+003, 1.0173608E+005, 1.1887726E+000,-3.0177346E+002, 1.5780549E+002
 2.4401786E+003, 1.0173723E+005, 1.1891774E+000,-3.0121542E+002, 1.5829198E+002
 2.4502232E+003, 1.0173837E+005, 1.1892360E+000,-3.0101413E+002, 1.5806517E+002
 2.4600446E+003, 1.0173950E+005, 1.1890585E+000,-3.0050456E+002, 1.5789123E+002
 2.4700893E+003, 1.0174062E+005, 1.1894168E+000,-3.0038041E+002, 1.5866172E+002
 2.4801339E+003, 1.0174174E+005, 1.1896638E+000,-3.0028518E+002, 1.6154897E+002
 2.4901786E+003, 1.0174284E+005, 1.1893788E+000,-2.9978309E+002, 1.6268781E+002
 2.5002232E+003, 1.0174394E+005, 1.1898634E+000,-2.9943344E+002, 1.6235507E+002
 2.5100446E+003, 1.0174501E+005, 1.1894241E+000,-2.9925670E+002, 1.6255812E+002
 2.5200893E+003, 1.0174608E+005, 1.1881712E+000,-2.9897974E+002, 1.6451393E+002
 2.5301339E+003, 1.0174714E+005, 1.1881106E+000,-2.9904961E+002, 1.6546861E+002
 2.5401786E+003, 1.0174821E+005, 1.1886087E+000,-2.9993401E+002, 1.6670605E+002
 2.5502232E+003, 1.0174926E+005, 1.1889769E+000,-3.0050621E+002, 1.6785037E+002
 2.5600446E+003, 1.0175030E+005, 1.1892641E+000,-2.9998133E+002, 1.6842377E+002
 2.5700893E+003, 1.0175133E+005, 1.1892724E+000,-2.9913259E+002, 1.6847080E+002
 2.5801339E+003, 1.0175237E+005, 1.1889842E+000,-2.9858134E+002, 1.6732452E+002
 2.5901786E+003, 1.0175343E+005, 1.1887094E+000,-2.9808444E+002, 1.6483948E+002
 2.6002232E+003, 1.0175450E+005, 1.1886176E+000,-2.9754530E+002, 1.6276290E+002
 2.6100446E+003, 1.0175556E+005, 1.1889400E+000,-2.9695682E+002, 1.6172868E+002
 2.6200893E+003, 1.0175663E+005, 1.1886461E+000,-2.9660750E+002, 1.6105751E+002
 2.6301339E+003, 1.0175771E+005, 1.1882290E+000,-2.9635952E+002, 1.6079879E+002
