s,kW,kW
Time,qdot1,qdot2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3388315E+000, 3.1001894E+000, 2.1299789E+001
 2.2313859E+000, 4.6719888E+000, 3.2631012E+001
 3.1239403E+000, 4.8462073E+000, 3.3228149E+001
 4.0164946E+000, 4.8750492E+000, 3.2616267E+001
 5.3553262E+000, 4.8786917E+000, 3.1709490E+001
 6.2478805E+000, 4.8768962E+000, 3.1033537E+001
 7.1404349E+000, 4.8744045E+000, 3.0802584E+001
 8.0329893E+000, 4.8717646E+000, 3.0928324E+001
 9.3718208E+000, 4.8687903E+000, 3.1801305E+001
 1.0264375E+001, 4.8664043E+000, 3.3593717E+001
 1.1105317E+001, 4.8644285E+000, 3.4988698E+001
 1.2289310E+001, 4.8594647E+000, 3.5533611E+001
 1.3078638E+001, 4.8549497E+000, 3.5437408E+001
 1.4381030E+001, 4.8518664E+000, 3.3293783E+001
 1.5273585E+001, 4.8503579E+000, 3.0031009E+001
 1.6166139E+001, 4.8492367E+000, 2.8280025E+001
 1.7173086E+001, 4.8471349E+000, 2.9127955E+001
 1.8032713E+001, 4.8431111E+000, 3.2520608E+001
 1.9055788E+001, 4.8385791E+000, 3.4490973E+001
 2.0078864E+001, 4.8342698E+000, 3.3057081E+001
 2.1232381E+001, 4.8301480E+000, 3.1684789E+001
 2.2222718E+001, 4.8259656E+000, 3.1947964E+001
 2.3244003E+001, 4.8220972E+000, 3.3018367E+001
 2.4265288E+001, 4.8180545E+000, 3.3662846E+001
 2.5286573E+001, 4.8147075E+000, 3.3579758E+001
 2.6341900E+001, 4.8135419E+000, 3.3193141E+001
 2.7128290E+001, 4.8154606E+000, 3.2890451E+001
 2.8432762E+001, 4.8226333E+000, 3.2881617E+001
 2.9325317E+001, 4.8343784E+000, 3.3314336E+001
 3.0217871E+001, 4.8454576E+000, 3.3886451E+001
 3.1110425E+001, 4.8558185E+000, 3.4274573E+001
 3.2002980E+001, 4.8635796E+000, 3.4101532E+001
 3.3341811E+001, 4.8673592E+000, 3.3064429E+001
 3.4234366E+001, 4.8650002E+000, 3.1829360E+001
 3.5126920E+001, 4.8587980E+000, 3.1324837E+001
 3.6019474E+001, 4.8491723E+000, 3.1735833E+001
 3.7142305E+001, 4.8358995E+000, 3.3233682E+001
 3.8105980E+001, 4.8229793E+000, 3.4967102E+001
 3.9069655E+001, 4.8154095E+000, 3.5145016E+001
 4.0033330E+001, 4.8106090E+000, 3.3424194E+001
 4.1164042E+001, 4.8073426E+000, 3.1054111E+001
 4.2037869E+001, 4.8061911E+000, 3.0085459E+001
 4.3234147E+001, 4.8076308E+000, 3.1196003E+001
 4.4171306E+001, 4.8100484E+000, 3.3603205E+001
 4.5002653E+001, 4.8085004E+000, 3.5025913E+001
 4.6111115E+001, 4.8070883E+000, 3.4528931E+001
 4.7056079E+001, 4.8083423E+000, 3.2284671E+001
 4.8236370E+001, 4.8104414E+000, 3.0390798E+001
 4.9050694E+001, 4.8122635E+000, 3.0187975E+001
 5.0237260E+001, 4.8134583E+000, 3.1676423E+001
 5.1245414E+001, 4.8124881E+000, 3.3509045E+001
 5.2001530E+001, 4.8114962E+000, 3.3760084E+001
 5.3060093E+001, 4.8114939E+000, 3.3289976E+001
 5.4310457E+001, 4.8111174E+000, 3.2844680E+001
 5.5316847E+001, 4.8098469E+000, 3.2843510E+001
 5.6054867E+001, 4.8086521E+000, 3.3098267E+001
 5.7161896E+001, 4.8073239E+000, 3.3357613E+001
 5.8268926E+001, 4.8055620E+000, 3.3372655E+001
 5.9006946E+001, 4.8039439E+000, 3.3149165E+001
 6.0113975E+001, 4.8020741E+000, 3.2955117E+001
 6.1331707E+001, 4.7999820E+000, 3.3008574E+001
 6.2143529E+001, 4.7986778E+000, 3.3324588E+001
 6.3361262E+001, 4.7983479E+000, 3.3759985E+001
 6.4173083E+001, 4.7986384E+000, 3.4041183E+001
 6.5390816E+001, 4.7992603E+000, 3.3794668E+001
 6.6202637E+001, 4.7999384E+000, 3.3046340E+001
 6.7054825E+001, 4.8006207E+000, 3.2305734E+001
 6.8393657E+001, 4.8016574E+000, 3.1847161E+001
 6.9286211E+001, 4.8030439E+000, 3.2466679E+001
 7.0004726E+001, 4.8040471E+000, 3.3520433E+001
 7.1082499E+001, 4.8047259E+000, 3.4673373E+001
 7.2160271E+001, 4.8048467E+000, 3.4782433E+001
 7.3238044E+001, 4.8048403E+000, 3.3308522E+001
 7.4067929E+001, 4.8048771E+000, 3.1560149E+001
 7.5395185E+001, 4.8049484E+000, 3.0405243E+001
 7.6219600E+001, 4.8048912E+000, 3.0877677E+001
 7.7207644E+001, 4.8050221E+000, 3.2850465E+001
 7.8060251E+001, 4.8052366E+000, 3.4947161E+001
 7.9155558E+001, 4.8054497E+000, 3.4752533E+001
 8.0031805E+001, 4.8055935E+000, 3.2488947E+001
 8.1058929E+001, 4.8057117E+000, 3.0588898E+001
 8.2261659E+001, 4.8059816E+000, 3.0903258E+001
 8.3238036E+001, 4.8063462E+000, 3.2923670E+001
 8.4139235E+001, 4.8067021E+000, 3.4222079E+001
 8.5002845E+001, 4.8068428E+000, 3.4102244E+001
 8.6211899E+001, 4.8069072E+000, 3.3122391E+001
 8.7291699E+001, 4.8070913E+000, 3.2377197E+001
 8.8134640E+001, 4.8073386E+000, 3.2446768E+001
 8.9399052E+001, 4.8075662E+000, 3.3165129E+001
 9.0241993E+001, 4.8078064E+000, 3.4062294E+001
 9.1084934E+001, 4.8080022E+000, 3.4508621E+001
 9.2349345E+001, 4.8080110E+000, 3.4181232E+001
 9.3192286E+001, 4.8078837E+000, 3.2949473E+001
 9.4060034E+001, 4.8079282E+000, 3.1681648E+001
 9.5398865E+001, 4.8081157E+000, 3.0790617E+001
 9.6236243E+001, 4.8084737E+000, 3.1552005E+001
 9.7275099E+001, 4.8085919E+000, 3.3670868E+001
 9.8207964E+001, 4.8085005E+000, 3.5553756E+001
 9.9140829E+001, 4.8082738E+000, 3.5008046E+001
 1.0010479E+002, 4.8081253E+000, 3.2634040E+001
 1.0130881E+002, 4.8081526E+000, 3.0012232E+001
 1.0220136E+002, 4.8084233E+000, 2.9445597E+001
 1.0321470E+002, 4.8084666E+000, 3.1184571E+001
 1.0411198E+002, 4.8084146E+000, 3.3742631E+001
 1.0521610E+002, 4.8086096E+000, 3.4539214E+001
 1.0604418E+002, 4.8088262E+000, 3.2905972E+001
 1.0729183E+002, 4.8089174E+000, 3.1656325E+001
 1.0802661E+002, 4.8090085E+000, 3.2309719E+001
 1.0912880E+002, 4.8092664E+000, 3.3640076E+001
 1.1023098E+002, 4.8096489E+000, 3.4473408E+001
 1.1133316E+002, 4.8098032E+000, 3.3842735E+001
 1.1206794E+002, 4.8095354E+000, 3.2676644E+001
 1.1332075E+002, 4.8090460E+000, 3.1683971E+001
 1.1421158E+002, 4.8082788E+000, 3.1615342E+001
 1.1510413E+002, 4.8073911E+000, 3.2653922E+001
 1.1622623E+002, 4.8064781E+000, 3.4287555E+001
 1.1734833E+002, 4.8060111E+000, 3.5561701E+001
 1.1809639E+002, 4.8058246E+000, 3.5120133E+001
 1.1921849E+002, 4.8053723E+000, 3.2949937E+001
 1.2007620E+002, 4.8046369E+000, 3.0234193E+001
 1.2141503E+002, 4.8035674E+000, 2.8917174E+001
 1.2217702E+002, 4.8029992E+000, 3.0363082E+001
 1.2307073E+002, 4.8030823E+000, 3.3227019E+001
 1.2411987E+002, 4.8035574E+000, 3.5127685E+001
 1.2516901E+002, 4.8039789E+000, 3.3982674E+001
 1.2600832E+002, 4.8041544E+000, 3.1425154E+001
 1.2702388E+002, 4.8044287E+000, 3.0452780E+001
 1.2811211E+002, 4.8047379E+000, 3.1784324E+001
 1.2907274E+002, 4.8049457E+000, 3.3589251E+001
 1.3003336E+002, 4.8052272E+000, 3.4255771E+001
 1.3131420E+002, 4.8056879E+000, 3.3584411E+001
 1.3227482E+002, 4.8060937E+000, 3.2499754E+001
 1.3301450E+002, 4.8063326E+000, 3.2248458E+001
