s,kW,kW,Pa,kg/m3
Time,Q1-0,Q2-0,p0,rho
 0.0000000E+000,-3.5763303E+000, 0.0000000E+000, 1.0132500E+005, 8.8318715E-001
 1.0039896E+000,-2.5844503E+000, 4.1274331E-001, 1.0231954E+005, 8.9048556E-001
 2.0099335E+000,-1.8161916E+000, 8.0000814E-001, 1.0348305E+005, 9.3080932E-001
 3.0075859E+000,-1.5374570E+000, 9.4485474E-001, 1.0410075E+005, 9.5253868E-001
 4.0014281E+000,-1.4090854E+000, 8.9160191E-001, 1.0452424E+005, 9.5473912E-001
 5.0006958E+000,-1.3372846E+000, 8.6655894E-001, 1.0491147E+005, 9.6709011E-001
 6.0024986E+000,-1.3390541E+000, 8.8901947E-001, 1.0527085E+005, 9.5448480E-001
 7.0029090E+000,-1.3696031E+000, 9.4427137E-001, 1.0561415E+005, 9.4469279E-001
 8.0035648E+000,-1.3747311E+000, 9.6616181E-001, 1.0593878E+005, 9.5011297E-001
 9.0040219E+000,-1.3603283E+000, 9.8006777E-001, 1.0624552E+005, 9.6286862E-001
 1.0007697E+001,-1.3466312E+000, 9.8882330E-001, 1.0652644E+005, 9.5584042E-001
 1.1003251E+001,-1.3471045E+000, 1.0143587E+000, 1.0679320E+005, 9.6061536E-001
 1.2002117E+001,-1.3349066E+000, 1.0310052E+000, 1.0703790E+005, 9.6921650E-001
 1.3000353E+001,-1.3062073E+000, 1.0491328E+000, 1.0725632E+005, 9.8138648E-001
 1.4007364E+001,-1.2788737E+000, 1.0616135E+000, 1.0743929E+005, 9.8111529E-001
 1.5001089E+001,-1.2762202E+000, 1.0699919E+000, 1.0760615E+005, 9.7696538E-001
 1.6007483E+001,-1.2758966E+000, 1.0881349E+000, 1.0776096E+005, 9.7599445E-001
 1.7008722E+001,-1.2589455E+000, 1.0810527E+000, 1.0790565E+005, 9.7053598E-001
 1.8004363E+001,-1.2424096E+000, 1.0808000E+000, 1.0803913E+005, 9.6331888E-001
 1.9004989E+001,-1.2402202E+000, 1.0859990E+000, 1.0816189E+005, 9.4532220E-001
 2.0001671E+001,-1.2248550E+000, 1.0851454E+000, 1.0827397E+005, 9.5757810E-001
 2.1000096E+001,-1.2262130E+000, 1.0781524E+000, 1.0838387E+005, 9.4415534E-001
 2.2004544E+001,-1.2185795E+000, 1.0749253E+000, 1.0849471E+005, 9.5113905E-001
 2.3003399E+001,-1.2138340E+000, 1.0802313E+000, 1.0859915E+005, 9.5615463E-001
 2.4005236E+001,-1.2134633E+000, 1.0828997E+000, 1.0869845E+005, 9.4295081E-001
 2.5005481E+001,-1.2157943E+000, 1.0956691E+000, 1.0879086E+005, 9.4183961E-001
 2.6005168E+001,-1.2188021E+000, 1.0987955E+000, 1.0887847E+005, 9.3486207E-001
 2.7004952E+001,-1.2197557E+000, 1.1059460E+000, 1.0896631E+005, 9.3946521E-001
 2.8008657E+001,-1.2124837E+000, 1.1116824E+000, 1.0904460E+005, 9.6285742E-001
 2.9008378E+001,-1.2042256E+000, 1.1186317E+000, 1.0911481E+005, 9.6708501E-001
 3.0002500E+001,-1.1973818E+000, 1.1145912E+000, 1.0917463E+005, 9.6288983E-001
 3.1009900E+001,-1.1960786E+000, 1.1125983E+000, 1.0923518E+005, 9.4737887E-001
 3.2002015E+001,-1.1984174E+000, 1.1178132E+000, 1.0929376E+005, 9.4342395E-001
 3.3001060E+001,-1.1947020E+000, 1.1206551E+000, 1.0935009E+005, 9.3529189E-001
 3.4000506E+001,-1.1863692E+000, 1.1279254E+000, 1.0939516E+005, 9.4698398E-001
 3.5001963E+001,-1.1954029E+000, 1.1397340E+000, 1.0943500E+005, 9.4543162E-001
 3.6008274E+001,-1.1799719E+000, 1.1388557E+000, 1.0946875E+005, 9.4696376E-001
 3.7007981E+001,-1.1798973E+000, 1.1322164E+000, 1.0949720E+005, 9.4801416E-001
 3.8006070E+001,-1.1873354E+000, 1.1415165E+000, 1.0953062E+005, 9.5250477E-001
 3.9002214E+001,-1.1891930E+000, 1.1390605E+000, 1.0956423E+005, 9.5225952E-001
 4.0002087E+001,-1.1833188E+000, 1.1392351E+000, 1.0959595E+005, 9.4711865E-001
 4.1002809E+001,-1.1737058E+000, 1.1407358E+000, 1.0962381E+005, 9.5676811E-001
 4.2009957E+001,-1.1707015E+000, 1.1561196E+000, 1.0963762E+005, 9.6306205E-001
 4.3001538E+001,-1.1691584E+000, 1.1447945E+000, 1.0964695E+005, 9.5918598E-001
 4.4007840E+001,-1.1651957E+000, 1.1397037E+000, 1.0966461E+005, 9.6147879E-001
 4.5005439E+001,-1.1568464E+000, 1.1436024E+000, 1.0967947E+005, 9.6532154E-001
 4.6002559E+001,-1.1602772E+000, 1.1444479E+000, 1.0968503E+005, 9.6434101E-001
 4.7005625E+001,-1.1593158E+000, 1.1449314E+000, 1.0969717E+005, 9.6936509E-001
 4.8007549E+001,-1.1543693E+000, 1.1480710E+000, 1.0970276E+005, 9.6348486E-001
 4.9002503E+001,-1.1545686E+000, 1.1486199E+000, 1.0970527E+005, 9.5475052E-001
 5.0007683E+001,-1.1474126E+000, 1.1489820E+000, 1.0970638E+005, 9.5025399E-001
 5.1005516E+001,-1.1561107E+000, 1.1566646E+000, 1.0970351E+005, 9.5277320E-001
 5.2003493E+001,-1.1591241E+000, 1.1562451E+000, 1.0970121E+005, 9.6103770E-001
 5.3000496E+001,-1.1593071E+000, 1.1491774E+000, 1.0970502E+005, 9.6451833E-001
 5.4008301E+001,-1.1542133E+000, 1.1538119E+000, 1.0970788E+005, 9.4992285E-001
 5.5005833E+001,-1.1601110E+000, 1.1459796E+000, 1.0970946E+005, 9.5234817E-001
 5.6002427E+001,-1.1511830E+000, 1.1385265E+000, 1.0971751E+005, 9.6414996E-001
 5.7003406E+001,-1.1581617E+000, 1.1401575E+000, 1.0972580E+005, 9.4071114E-001
 5.8006761E+001,-1.1768537E+000, 1.1498635E+000, 1.0974059E+005, 9.4911254E-001
 5.9002343E+001,-1.1684462E+000, 1.1580153E+000, 1.0975407E+005, 9.5051045E-001
 6.0003147E+001,-1.1598379E+000, 1.1570000E+000, 1.0975539E+005, 9.5629101E-001
 6.1004324E+001,-1.1507250E+000, 1.1531798E+000, 1.0975427E+005, 9.6026697E-001
 6.2000179E+001,-1.1501280E+000, 1.1467842E+000, 1.0975037E+005, 9.5300910E-001
 6.3005773E+001,-1.1544007E+000, 1.1441827E+000, 1.0975579E+005, 9.6831832E-001
 6.4008133E+001,-1.1520696E+000, 1.1539586E+000, 1.0975735E+005, 9.7684302E-001
 6.5009676E+001,-1.1543217E+000, 1.1566409E+000, 1.0975173E+005, 9.6087752E-001
 6.6001158E+001,-1.1569216E+000, 1.1472803E+000, 1.0975312E+005, 9.8025154E-001
 6.7000432E+001,-1.1599152E+000, 1.1473200E+000, 1.0976121E+005, 9.7687283E-001
 6.8000934E+001,-1.1680573E+000, 1.1504223E+000, 1.0977076E+005, 9.7333074E-001
 6.9002166E+001,-1.1551011E+000, 1.1506066E+000, 1.0977789E+005, 9.6690830E-001
 7.0000197E+001,-1.1527445E+000, 1.1446814E+000, 1.0978111E+005, 9.6371171E-001
 7.1003065E+001,-1.1548828E+000, 1.1501503E+000, 1.0978457E+005, 9.7494255E-001
 7.2003308E+001,-1.1569014E+000, 1.1519633E+000, 1.0978607E+005, 9.7619458E-001
 7.3003134E+001,-1.1619652E+000, 1.1562402E+000, 1.0978933E+005, 9.8268882E-001
 7.4008412E+001,-1.1610101E+000, 1.1599423E+000, 1.0979329E+005, 9.8406940E-001
 7.5006960E+001,-1.1519302E+000, 1.1641690E+000, 1.0978620E+005, 9.7870639E-001
 7.6002727E+001,-1.1637406E+000, 1.1637236E+000, 1.0978215E+005, 9.7631198E-001
 7.7003161E+001,-1.1632299E+000, 1.1572810E+000, 1.0978369E+005, 9.7323393E-001
 7.8004296E+001,-1.1623277E+000, 1.1559456E+000, 1.0978930E+005, 9.6800317E-001
 7.9006440E+001,-1.1507999E+000, 1.1550279E+000, 1.0978709E+005, 9.5207343E-001
 8.0000054E+001,-1.1525917E+000, 1.1415836E+000, 1.0978632E+005, 9.7526545E-001
 8.1003666E+001,-1.1540165E+000, 1.1417075E+000, 1.0979495E+005, 9.6808417E-001
 8.2006592E+001,-1.1648291E+000, 1.1518914E+000, 1.0980205E+005, 9.6120532E-001
 8.3005469E+001,-1.1713873E+000, 1.1582910E+000, 1.0981042E+005, 9.5928708E-001
 8.4002939E+001,-1.1639786E+000, 1.1539606E+000, 1.0981746E+005, 9.6386539E-001
 8.5009204E+001,-1.1654578E+000, 1.1516801E+000, 1.0982454E+005, 9.7489988E-001
 8.6002900E+001,-1.1656848E+000, 1.1500950E+000, 1.0983424E+005, 9.8386923E-001
 8.7003630E+001,-1.1604244E+000, 1.1644694E+000, 1.0983523E+005, 9.8582444E-001
 8.8000827E+001,-1.1723701E+000, 1.1576210E+000, 1.0983643E+005, 9.7612956E-001
 8.9006831E+001,-1.1675643E+000, 1.1481251E+000, 1.0984940E+005, 9.7042199E-001
 9.0010868E+001,-1.1628412E+000, 1.1572339E+000, 1.0985740E+005, 9.6385922E-001
 9.1006989E+001,-1.1688455E+000, 1.1604887E+000, 1.0986188E+005, 9.6659918E-001
 9.2004834E+001,-1.1693171E+000, 1.1632441E+000, 1.0986574E+005, 9.8212865E-001
 9.3000552E+001,-1.1670592E+000, 1.1657073E+000, 1.0986726E+005, 9.5880821E-001
 9.4003217E+001,-1.1737918E+000, 1.1615433E+000, 1.0986753E+005, 9.6098280E-001
 9.5001603E+001,-1.1831860E+000, 1.1610081E+000, 1.0987945E+005, 9.6118432E-001
 9.6005032E+001,-1.1766858E+000, 1.1680147E+000, 1.0988862E+005, 9.6403002E-001
 9.7004466E+001,-1.1743718E+000, 1.1654161E+000, 1.0989200E+005, 9.6035058E-001
 9.8005326E+001,-1.1674403E+000, 1.1589100E+000, 1.0989640E+005, 9.6260048E-001
 9.9002649E+001,-1.1617383E+000, 1.1594705E+000, 1.0989680E+005, 9.5670467E-001
 1.0000350E+002,-1.1744221E+000, 1.1598076E+000, 1.0989946E+005, 9.6717609E-001
 1.0100331E+002,-1.1702217E+000, 1.1512820E+000, 1.0991040E+005, 9.5630277E-001
 1.0200613E+002,-1.1560154E+000, 1.1479264E+000, 1.0991767E+005, 9.6603111E-001
 1.0300135E+002,-1.1577386E+000, 1.1528343E+000, 1.0991705E+005, 9.5414385E-001
 1.0400189E+002,-1.1760647E+000, 1.1511087E+000, 1.0992317E+005, 9.5251259E-001
 1.0500704E+002,-1.1808060E+000, 1.1538176E+000, 1.0993857E+005, 9.5062894E-001
 1.0600314E+002,-1.1782601E+000, 1.1588920E+000, 1.0995226E+005, 9.6528973E-001
 1.0700295E+002,-1.1606064E+000, 1.1556677E+000, 1.0995475E+005, 9.6773154E-001
 1.0800145E+002,-1.1585397E+000, 1.1516774E+000, 1.0995441E+005, 9.5808135E-001
 1.0900012E+002,-1.1599520E+000, 1.1577801E+000, 1.0995744E+005, 9.6676911E-001
