s,Pa,kg/m3,kW,kW
Time,p0,rho,Q1-0,Q2-0
 0.0000000E+000, 1.0132500E+005, 8.8318715E-001,-2.8001853E+000, 0.0000000E+000
 1.0001450E+001, 1.0441050E+005, 9.4805314E-001,-1.2375024E+000, 6.3044272E-001
 2.0002754E+001, 1.0719058E+005, 9.6555836E-001,-1.0485422E+000, 8.0260453E-001
 3.0003258E+001, 1.0862624E+005, 9.6507641E-001,-9.9313947E-001, 8.6527860E-001
 4.0005481E+001, 1.0937908E+005, 9.6434713E-001,-9.6630711E-001, 8.9946054E-001
 5.0003982E+001, 1.0977806E+005, 9.6337201E-001,-9.4997081E-001, 9.1413042E-001
 6.0000829E+001, 1.0999277E+005, 9.6431636E-001,-9.4052315E-001, 9.2136721E-001
 7.0001318E+001, 1.1010329E+005, 9.6302671E-001,-9.3493306E-001, 9.2793646E-001
 8.0003528E+001, 1.1013658E+005, 9.6297220E-001,-9.3074492E-001, 9.2949444E-001
 8.7000000E+001, 1.1016662E+005, 9.6406693E-001,-9.3698668E-001, 9.3101856E-001
