s,kW,kW
Time,qdot1,qdot2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1156930E+000, 2.4842318E+000, 1.6753845E+001
 2.0082473E+000, 4.4610032E+000, 3.0765978E+001
 3.1239403E+000, 4.8006629E+000, 3.2357452E+001
 4.0164946E+000, 4.8393627E+000, 3.1746195E+001
 5.1321876E+000, 4.8304354E+000, 3.1035756E+001
 6.0247420E+000, 4.8164511E+000, 3.0590032E+001
 7.1404349E+000, 4.8024912E+000, 3.0516838E+001
 8.0329893E+000, 4.7894271E+000, 3.0810424E+001
 9.1486822E+000, 4.7775142E+000, 3.1374970E+001
 1.0041237E+001, 4.7666564E+000, 3.1853126E+001
 1.1156930E+001, 4.7569110E+000, 3.2134029E+001
 1.2010128E+001, 4.7485664E+000, 3.2437850E+001
 1.3112821E+001, 4.7414499E+000, 3.2613894E+001
 1.4031733E+001, 4.7350484E+000, 3.2583668E+001
 1.5075574E+001, 4.7296642E+000, 3.2521598E+001
 1.6060563E+001, 4.7248664E+000, 3.2274272E+001
 1.7094801E+001, 4.7207203E+000, 3.2069477E+001
 1.8196347E+001, 4.7169649E+000, 3.2068107E+001
 1.9189544E+001, 4.7132140E+000, 3.2009669E+001
 2.0093643E+001, 4.7095917E+000, 3.2028109E+001
 2.1062589E+001, 4.7060450E+000, 3.1982996E+001
 2.2077094E+001, 4.7029435E+000, 3.1838348E+001
 2.3123302E+001, 4.7009583E+000, 3.1938634E+001
 2.4169510E+001, 4.7008251E+000, 3.2165593E+001
 2.5041350E+001, 4.7041264E+000, 3.2353294E+001
 2.6087558E+001, 4.7107746E+000, 3.2372199E+001
 2.7133766E+001, 4.7068185E+000, 3.2301936E+001
 2.8005606E+001, 4.7030720E+000, 3.2373194E+001
 2.9051813E+001, 4.7007868E+000, 3.2360986E+001
 3.0098021E+001, 4.6974552E+000, 3.2185878E+001
 3.1144229E+001, 4.6941368E+000, 3.2116797E+001
 3.2016069E+001, 4.6919386E+000, 3.2128266E+001
 3.3062277E+001, 4.6904889E+000, 3.2164052E+001
 3.4108485E+001, 4.6890252E+000, 3.2161753E+001
 3.5154693E+001, 4.6872794E+000, 3.2108805E+001
 3.6026533E+001, 4.6854375E+000, 3.2145822E+001
 3.7159925E+001, 4.6833374E+000, 3.2198246E+001
 3.8118949E+001, 4.6812086E+000, 3.2219088E+001
 3.9013168E+001, 4.6797805E+000, 3.2233916E+001
 4.0034388E+001, 4.6789724E+000, 3.2195503E+001
 4.1055608E+001, 4.6785414E+000, 3.2036614E+001
 4.2076828E+001, 4.6783229E+000, 3.1946533E+001
 4.3098048E+001, 4.6781154E+000, 3.1924186E+001
 4.4017146E+001, 4.6777336E+000, 3.1947332E+001
 4.5140488E+001, 4.6769873E+000, 3.2050897E+001
 4.6076606E+001, 4.6760786E+000, 3.2143293E+001
 4.7012724E+001, 4.6754135E+000, 3.2223724E+001
 4.8136066E+001, 4.6749964E+000, 3.2232855E+001
 4.9072184E+001, 4.6748920E+000, 3.2176769E+001
 5.0008302E+001, 4.6750413E+000, 3.2182478E+001
 5.1131644E+001, 4.6754768E+000, 3.2111231E+001
 5.2067762E+001, 4.6761526E+000, 3.2045373E+001
 5.3003881E+001, 4.6770305E+000, 3.2090796E+001
 5.4127222E+001, 4.6784126E+000, 3.2115132E+001
 5.5063341E+001, 4.6808838E+000, 3.2081793E+001
 5.6186682E+001, 4.6836482E+000, 3.2081141E+001
 5.7122801E+001, 4.6858495E+000, 3.2118600E+001
 5.8058919E+001, 4.6864282E+000, 3.2128071E+001
 5.9083022E+001, 4.6858086E+000, 3.2116828E+001
 6.0087277E+001, 4.6852858E+000, 3.2094602E+001
 6.1175219E+001, 4.6857362E+000, 3.2047347E+001
 6.2095786E+001, 4.6864447E+000, 3.2047941E+001
 6.3016353E+001, 4.6870605E+000, 3.2043842E+001
 6.4121034E+001, 4.6877065E+000, 3.2061296E+001
 6.5115246E+001, 4.6883382E+000, 3.2121660E+001
 6.6026784E+001, 4.6890461E+000, 3.2235944E+001
 6.7090303E+001, 4.6899318E+000, 3.2281927E+001
 6.8153822E+001, 4.6910150E+000, 3.2233534E+001
 6.9040088E+001, 4.6916793E+000, 3.2191643E+001
 7.0103607E+001, 4.6920753E+000, 3.2175871E+001
 7.1167127E+001, 4.6924345E+000, 3.2171914E+001
 7.2053393E+001, 4.6929493E+000, 3.2101693E+001
 7.3116912E+001, 4.6933772E+000, 3.2088118E+001
 7.4003178E+001, 4.6938918E+000, 3.2136765E+001
 7.5066697E+001, 4.6945507E+000, 3.2165143E+001
 7.6130216E+001, 4.6953143E+000, 3.2148072E+001
 7.7016482E+001, 4.6960607E+000, 3.2117505E+001
 7.8080001E+001, 4.6969213E+000, 3.2133302E+001
 7.9143521E+001, 4.6980092E+000, 3.2217061E+001
 8.0029787E+001, 4.6989217E+000, 3.2227727E+001
 8.1093306E+001, 4.6997044E+000, 3.2196533E+001
 8.2156825E+001, 4.7006671E+000, 3.2178625E+001
 8.3131718E+001, 4.7016626E+000, 3.2216990E+001
 8.4106610E+001, 4.7026029E+000, 3.2300968E+001
 8.5013028E+001, 4.7034323E+000, 3.2293831E+001
 8.6045949E+001, 4.7041853E+000, 3.2230388E+001
 8.7078870E+001, 4.7050290E+000, 3.2231302E+001
 8.8111791E+001, 4.7058842E+000, 3.2244443E+001
 8.9058635E+001, 4.7065102E+000, 3.2197368E+001
 9.0005479E+001, 4.7067611E+000, 3.2197901E+001
 9.1141692E+001, 4.7069361E+000, 3.2176849E+001
 9.2088536E+001, 4.7068599E+000, 3.2129051E+001
 9.3035381E+001, 4.7065479E+000, 3.2137819E+001
 9.4171594E+001, 4.7060335E+000, 3.2204714E+001
 9.5118438E+001, 4.7055720E+000, 3.2207161E+001
 9.6065282E+001, 4.7050112E+000, 3.2147156E+001
 9.7012126E+001, 4.7043410E+000, 3.2186995E+001
 9.8148339E+001, 4.7036037E+000, 3.2311250E+001
 9.9095184E+001, 4.7031308E+000, 3.2315463E+001
 1.0004203E+002, 4.7028564E+000, 3.2259342E+001
 1.0117824E+002, 4.7025531E+000, 3.2214718E+001
 1.0212508E+002, 4.7023447E+000, 3.2203730E+001
 1.0307193E+002, 4.7022385E+000, 3.2206591E+001
 1.0401877E+002, 4.7022150E+000, 3.2193762E+001
 1.0515499E+002, 4.7022097E+000, 3.2175390E+001
 1.0610183E+002, 4.7022474E+000, 3.2137138E+001
 1.0704867E+002, 4.7023041E+000, 3.2094055E+001
 1.0818489E+002, 4.7023811E+000, 3.2096874E+001
 1.0911259E+002, 4.7025802E+000, 3.2209349E+001
 1.1013397E+002, 4.7027097E+000, 3.2215107E+001
 1.1115535E+002, 4.7024648E+000, 3.2187522E+001
 1.1200649E+002, 4.7020157E+000, 3.2270920E+001
 1.1302787E+002, 4.7017506E+000, 3.2308636E+001
 1.1404925E+002, 4.7018061E+000, 3.2268543E+001
 1.1507062E+002, 4.7021759E+000, 3.2234026E+001
 1.1609200E+002, 4.7026393E+000, 3.2221148E+001
 1.1718147E+002, 4.7029082E+000, 3.2160353E+001
 1.1813645E+002, 4.7029560E+000, 3.2110786E+001
 1.1916634E+002, 4.7029534E+000, 3.2168141E+001
 1.2007579E+002, 4.7024301E+000, 3.2219960E+001
 1.2102162E+002, 4.7014722E+000, 3.2212212E+001
 1.2202201E+002, 4.7003115E+000, 3.2197361E+001
 1.2316113E+002, 4.6990274E+000, 3.2217508E+001
 1.2405928E+002, 4.6979967E+000, 3.2180468E+001
 1.2513706E+002, 4.6971538E+000, 3.2085887E+001
 1.2603521E+002, 4.6966285E+000, 3.2100164E+001
 1.2711298E+002, 4.6962200E+000, 3.2184244E+001
 1.2801113E+002, 4.6957213E+000, 3.2247999E+001
 1.2908891E+002, 4.6950268E+000, 3.2248131E+001
 1.3016668E+002, 4.6943050E+000, 3.2208125E+001
 1.3106483E+002, 4.6940392E+000, 3.2279446E+001
 1.3214261E+002, 4.6936413E+000, 3.2237654E+001
 1.3304076E+002, 4.6928664E+000, 3.2119714E+001
