m,kW/m2,W/m2/K,C,C,kg/m/s,m2/s,kg/m3,m,C,m/s
x,q_wall,h_wall,T_wall,T_gas,mu_wall,nu_wall,rho_wall,z,Tz,Uz
 2.8500000E+000,-8.7612262E-003, 1.6006639E+002, 2.1000000E+001, 2.0945265E+001, 1.0000000E-003, 8.3635098E-004, 1.1956703E+000, 5.7142857E-001, 2.0000000E+001, 1.0184766E+000
 2.9500000E+000,-8.6096956E-003, 1.6006281E+002, 2.1000000E+001, 2.0946211E+001, 1.0000000E-003, 8.3635367E-004, 1.1956664E+000, 5.9183673E-001, 2.0000000E+001, 1.0170763E+000
 3.0500000E+000,-8.4658269E-003, 1.6005955E+002, 2.1000000E+001, 2.0947108E+001, 1.0000000E-003, 8.3635622E-004, 1.1956628E+000, 6.1224490E-001, 2.0000000E+001, 1.0157613E+000
 3.1500000E+000,-8.3289981E-003, 1.6005655E+002, 2.1000000E+001, 2.0947962E+001, 1.0000000E-003, 8.3635865E-004, 1.1956593E+000, 6.3265306E-001, 2.0000000E+001, 1.0145152E+000
 3.2500000E+000,-8.1986542E-003, 1.6005380E+002, 2.1000000E+001, 2.0948776E+001, 1.0000000E-003, 8.3636096E-004, 1.1956560E+000, 6.5306122E-001, 2.0000000E+001, 1.0133356E+000
 3.3500000E+000,-8.0742984E-003, 1.6005126E+002, 2.1000000E+001, 2.0949552E+001, 1.0000000E-003, 8.3636317E-004, 1.1956528E+000, 6.7346939E-001, 2.0000000E+001, 1.0122115E+000
 3.4500000E+000,-7.9554841E-003, 1.6004892E+002, 2.1000000E+001, 2.0950293E+001, 1.0000000E-003, 8.3636528E-004, 1.1956498E+000, 6.9387755E-001, 2.0000000E+001, 1.0111347E+000
 3.5500000E+000,-7.8418095E-003, 1.6004675E+002, 2.1000000E+001, 2.0951003E+001, 1.0000000E-003, 8.3636730E-004, 1.1956469E+000, 7.1428571E-001, 2.0000000E+001, 1.0101060E+000
 3.6500000E+000,-7.7329115E-003, 1.6004474E+002, 2.1000000E+001, 2.0951683E+001, 1.0000000E-003, 8.3636923E-004, 1.1956442E+000, 7.3469388E-001, 2.0000000E+001, 1.0091149E+000
 3.7500000E+000,-7.6284614E-003, 1.6004286E+002, 2.1000000E+001, 2.0952335E+001, 1.0000000E-003, 8.3637109E-004, 1.1956415E+000, 7.5510204E-001, 2.0000000E+001, 1.0081590E+000
 3.8500000E+000,-7.5281611E-003, 1.6004112E+002, 2.1000000E+001, 2.0952961E+001, 1.0000000E-003, 8.3637287E-004, 1.1956390E+000, 7.7551020E-001, 2.0000000E+001, 1.0072367E+000
 3.9500000E+000,-7.4317391E-003, 1.6003949E+002, 2.1000000E+001, 2.0953563E+001, 1.0000000E-003, 8.3637458E-004, 1.1956365E+000, 7.9591837E-001, 2.0000000E+001, 1.0063420E+000
 4.0500000E+000,-7.3389484E-003, 1.6003797E+002, 2.1000000E+001, 2.0954142E+001, 1.0000000E-003, 8.3637623E-004, 1.1956342E+000, 8.1632653E-001, 2.0000000E+001, 1.0054748E+000
 4.1500000E+000,-7.2495629E-003, 1.6003654E+002, 2.1000000E+001, 2.0954701E+001, 1.0000000E-003, 8.3637781E-004, 1.1956319E+000, 8.3673469E-001, 2.0000000E+001, 1.0046334E+000
 4.2500000E+000,-7.1633759E-003, 1.6003521E+002, 2.1000000E+001, 2.0955239E+001, 1.0000000E-003, 8.3637934E-004, 1.1956297E+000, 8.5714286E-001, 2.0000000E+001, 1.0038165E+000
 4.3500000E+000,-7.0801977E-003, 1.6003395E+002, 2.1000000E+001, 2.0955758E+001, 1.0000000E-003, 8.3638082E-004, 1.1956276E+000, 8.7755102E-001, 2.0000000E+001, 1.0030302E+000
