s,Pa,kg/m3,kW,kW
Time,p0,rho,Q1-0,Q2-0
 0.0000000E+000, 1.0132500E+005, 1.1794096E+000,-5.7026111E+002, 0.0000000E+000
 1.0044643E+001, 1.0132732E+005, 1.2118366E+000,-5.8902949E+002, 2.0494944E-001
 2.0021419E+001, 1.0133271E+005, 1.2425867E+000,-7.0368587E+002,-6.9672025E+001
 3.0010653E+001, 1.0133883E+005, 1.2424377E+000,-5.7066708E+002,-5.7927085E+001
 4.0028467E+001, 1.0134279E+005, 1.1818363E+000,-5.0561170E+002, 1.3261324E+002
 5.0052264E+001, 1.0134527E+005, 1.1809392E+000,-4.3972090E+002, 2.3189794E+002
 6.0072808E+001, 1.0134671E+005, 1.1939592E+000,-4.6178085E+002, 3.1165241E+002
 7.0053769E+001, 1.0134815E+005, 1.2088518E+000,-4.8193304E+002, 2.9175272E+002
 8.0070411E+001, 1.0134956E+005, 1.2003879E+000,-4.5924948E+002, 2.8423260E+002
 9.0099372E+001, 1.0135101E+005, 1.1927299E+000,-4.4936623E+002, 2.5563029E+002
 1.0007898E+002, 1.0135239E+005, 1.1606102E+000,-4.3951909E+002, 2.6190616E+002
 1.1002475E+002, 1.0135384E+005, 1.1907566E+000,-4.4844562E+002, 2.5571706E+002
 1.2009626E+002, 1.0135524E+005, 1.1669299E+000,-4.2686277E+002, 2.4970865E+002
 1.3001411E+002, 1.0135653E+005, 1.1768824E+000,-4.2845707E+002, 2.5391646E+002
 1.4005596E+002, 1.0135791E+005, 1.1727164E+000,-4.3852064E+002, 2.6105436E+002
 1.5001279E+002, 1.0135941E+005, 1.1671683E+000,-4.5092413E+002, 2.6577662E+002
 1.6004655E+002, 1.0136085E+005, 1.1713280E+000,-4.6032142E+002, 2.7355439E+002
 1.7003652E+002, 1.0136236E+005, 1.1784051E+000,-4.8621097E+002, 2.8397376E+002
 1.8006117E+002, 1.0136408E+005, 1.1824939E+000,-5.1194868E+002, 2.9381655E+002
 1.9002884E+002, 1.0136575E+005, 1.1809814E+000,-5.4384971E+002, 3.3593139E+002
 2.0001518E+002, 1.0136746E+005, 1.1830776E+000,-5.7415033E+002, 3.4590430E+002
 2.1004388E+002, 1.0136930E+005, 1.1811430E+000,-5.9015545E+002, 3.6450867E+002
 2.2002239E+002, 1.0137105E+005, 1.1826967E+000,-5.9858816E+002, 3.7238533E+002
 2.3006835E+002, 1.0137289E+005, 1.1858611E+000,-6.2138246E+002, 3.7441624E+002
 2.4002753E+002, 1.0137492E+005, 1.1880735E+000,-6.4972301E+002, 3.8275674E+002
 2.5002203E+002, 1.0137693E+005, 1.1855545E+000,-6.5911714E+002, 4.1101411E+002
