m,W/m2/K,kW/m2
HTC-x,HTC,QCONV
-4.8600000E-001, 2.5548491E+001, 1.1028636E+000
-4.5822857E-001, 2.6924789E+001, 1.1979014E+000
-4.3045714E-001, 2.8287785E+001, 1.3542472E+000
-4.0268571E-001, 2.9628193E+001, 1.4577966E+000
-3.7491429E-001, 3.0936486E+001, 1.6346427E+000
-3.4714286E-001, 3.2203003E+001, 1.7640355E+000
-3.1937143E-001, 3.3418070E+001, 1.9443309E+000
-2.9160000E-001, 3.4572113E+001, 2.0921075E+000
-2.6382857E-001, 3.5655791E+001, 2.2709959E+000
-2.3605714E-001, 3.6660114E+001, 2.4239681E+000
-2.0828571E-001, 3.7576570E+001, 2.5870799E+000
-1.8051429E-001, 3.8397242E+001, 2.7269693E+000
-1.5274286E-001, 3.9114927E+001, 2.8574158E+000
-1.2497143E-001, 3.9723234E+001, 2.9664904E+000
-9.7200000E-002, 4.0216684E+001, 3.0547150E+000
-6.9428571E-002, 4.0590790E+001, 3.1239938E+000
-4.1657143E-002, 4.0842126E+001, 3.1685530E+000
-1.3885714E-002, 4.0968376E+001, 3.1739460E+000
 1.3885714E-002, 4.0968376E+001, 3.1760732E+000
 4.1657143E-002, 4.0842126E+001, 3.1708286E+000
 6.9428571E-002, 4.0590790E+001, 3.1371845E+000
 9.7200000E-002, 4.0216684E+001, 3.0799396E+000
 1.2497143E-001, 3.9723234E+001, 2.9973494E+000
 1.5274286E-001, 3.9114927E+001, 2.8891547E+000
 1.8051429E-001, 3.8397242E+001, 2.7580281E+000
 2.0828571E-001, 3.7576570E+001, 2.6123002E+000
 2.3605714E-001, 3.6660114E+001, 2.4428034E+000
 2.6382857E-001, 3.5655791E+001, 2.2849628E+000
 2.9160000E-001, 3.4572113E+001, 2.0999108E+000
 3.1937143E-001, 3.3418070E+001, 1.9542486E+000
 3.4714286E-001, 3.2203003E+001, 1.7753835E+000
 3.7491429E-001, 3.0936486E+001, 1.6486221E+000
 4.0268571E-001, 2.9628193E+001, 1.4765406E+000
 4.3045714E-001, 2.8287785E+001, 1.3673358E+000
 4.5822857E-001, 2.6924789E+001, 1.2043859E+000
 4.8600000E-001, 2.5548491E+001, 1.1120747E+000
