s,kW/m2,kW/m2,Pa,kg/m3
Time,Q1-0,Q2-0,p0,rho
 0.0000000E+000,-6.3889995E-002, 6.5730652E-002, 1.0132500E+005, 1.1229154E+000
 1.0161017E+001,-5.9283553E-002, 6.1246870E-002, 1.0132312E+005, 1.1229007E+000
 2.0039784E+001,-5.1823503E-002, 5.5622080E-002, 1.0131913E+005, 1.1234449E+000
 3.0200801E+001,-5.4285140E-002, 5.6817979E-002, 1.0131506E+005, 1.1270536E+000
 4.0038026E+001,-6.3606203E-002, 6.2004047E-002, 1.0131129E+005, 1.1254262E+000
 5.0178413E+001,-6.4244500E-002, 6.2753313E-002, 1.0130797E+005, 1.1232242E+000
 6.0205180E+001,-6.2759633E-002, 5.9949363E-002, 1.0130487E+005, 1.1251949E+000
 7.0162946E+001,-6.5533750E-002, 6.0278914E-002, 1.0130213E+005, 1.1258064E+000
 8.0005958E+001,-6.4163628E-002, 6.0120606E-002, 1.0129965E+005, 1.1253333E+000
 9.0130198E+001,-6.3213763E-002, 6.2993099E-002, 1.0129715E+005, 1.1251513E+000
 1.0017748E+002,-6.1188394E-002, 6.2962845E-002, 1.0129485E+005, 1.1230165E+000
 1.1006527E+002,-6.2697360E-002, 6.1839498E-002, 1.0129237E+005, 1.1227313E+000
 1.2008124E+002,-6.3278695E-002, 6.6679813E-002, 1.0129007E+005, 1.1233780E+000
 1.3006541E+002,-6.5909186E-002, 6.7543528E-002, 1.0128783E+005, 1.1226085E+000
 1.4015558E+002,-6.3519884E-002, 6.5768292E-002, 1.0128604E+005, 1.1230931E+000
 1.5017448E+002,-6.1408918E-002, 6.1570600E-002, 1.0128442E+005, 1.1236398E+000
 1.6001987E+002,-6.1889221E-002, 5.9730586E-002, 1.0128268E+005, 1.1248320E+000
 1.7005330E+002,-6.5724967E-002, 5.8647025E-002, 1.0128152E+005, 1.1267239E+000
 1.8009730E+002,-6.7116498E-002, 5.9864855E-002, 1.0127976E+005, 1.1250515E+000
 1.9006151E+002,-6.2627198E-002, 6.3291965E-002, 1.0127860E+005, 1.1254724E+000
 2.0001079E+002,-6.1325480E-002, 6.2805528E-002, 1.0127782E+005, 1.1241690E+000
 2.1003403E+002,-6.2860168E-002, 6.3183586E-002, 1.0127636E+005, 1.1248207E+000
 2.2001933E+002,-6.0022774E-002, 6.1271027E-002, 1.0127493E+005, 1.1242775E+000
 2.3003281E+002,-6.1272516E-002, 6.2916930E-002, 1.0127364E+005, 1.1233152E+000
 2.4003131E+002,-6.3343492E-002, 6.4252541E-002, 1.0127218E+005, 1.1226428E+000
 2.5016692E+002,-6.3734586E-002, 6.4419107E-002, 1.0127069E+005, 1.1228603E+000
 2.6009035E+002,-5.9651422E-002, 6.2023197E-002, 1.0126991E+005, 1.1230707E+000
 2.7006790E+002,-5.9576589E-002, 6.2210314E-002, 1.0126909E+005, 1.1205415E+000
 2.8002634E+002,-5.5191544E-002, 6.2068267E-002, 1.0126859E+005, 1.1209503E+000
 2.9016214E+002,-5.5289686E-002, 6.7940269E-002, 1.0126790E+005, 1.1198565E+000
 3.0008961E+002,-5.7050517E-002, 6.8757235E-002, 1.0126728E+005, 1.1184924E+000
 3.1016916E+002,-5.5838774E-002, 6.8767635E-002, 1.0126618E+005, 1.1175420E+000
 3.2004078E+002,-5.4846960E-002, 6.8480218E-002, 1.0126519E+005, 1.1173204E+000
 3.3000553E+002,-5.4269780E-002, 6.3531885E-002, 1.0126449E+005, 1.1176416E+000
 3.4005155E+002,-5.4841069E-002, 6.5438372E-002, 1.0126296E+005, 1.1205902E+000
 3.5011157E+002,-5.6174489E-002, 6.3415670E-002, 1.0126155E+005, 1.1215028E+000
 3.6018452E+002,-5.5784201E-002, 6.3938160E-002, 1.0126100E+005, 1.1197539E+000
 3.7012099E+002,-5.6310945E-002, 6.5500596E-002, 1.0126079E+005, 1.1203588E+000
 3.8007601E+002,-5.7140531E-002, 6.5196577E-002, 1.0126042E+005, 1.1206547E+000
 3.9001085E+002,-6.0701606E-002, 6.3501298E-002, 1.0125966E+005, 1.1210002E+000
 4.0005915E+002,-6.4165472E-002, 6.1294305E-002, 1.0125896E+005, 1.1227553E+000
 4.1014068E+002,-6.0997639E-002, 5.9006091E-002, 1.0125773E+005, 1.1236241E+000
 4.2013928E+002,-6.2190852E-002, 6.0764363E-002, 1.0125741E+005, 1.1234743E+000
 4.3013022E+002,-6.1509294E-002, 6.3853156E-002, 1.0125752E+005, 1.1220467E+000
 4.4014119E+002,-5.9889004E-002, 6.3499566E-002, 1.0125669E+005, 1.1224637E+000
 4.5013844E+002,-6.3334403E-002, 6.4372589E-002, 1.0125618E+005, 1.1221671E+000
 4.6009463E+002,-5.8196580E-002, 6.2541995E-002, 1.0125602E+005, 1.1217766E+000
 4.7006301E+002,-5.9331264E-002, 6.0761735E-002, 1.0125506E+005, 1.1224206E+000
 4.8015547E+002,-6.2845932E-002, 6.2711366E-002, 1.0125421E+005, 1.1221582E+000
 4.9001978E+002,-6.4251946E-002, 6.1022383E-002, 1.0125399E+005, 1.1243574E+000
 5.0012353E+002,-6.1647048E-002, 5.9027990E-002, 1.0125360E+005, 1.1240699E+000
 5.1010384E+002,-6.1383233E-002, 5.6647713E-002, 1.0125335E+005, 1.1252515E+000
 5.2012414E+002,-6.3132151E-002, 5.5032318E-002, 1.0125348E+005, 1.1275253E+000
 5.3008807E+002,-6.3437615E-002, 5.5863654E-002, 1.0125340E+005, 1.1264242E+000
 5.4009291E+002,-6.3764490E-002, 5.6416140E-002, 1.0125332E+005, 1.1272671E+000
 5.5012347E+002,-6.4946896E-002, 6.2417230E-002, 1.0125236E+005, 1.1248344E+000
 5.6016283E+002,-6.4022837E-002, 6.2436498E-002, 1.0125183E+005, 1.1246540E+000
 5.7005700E+002,-6.1541401E-002, 6.1889020E-002, 1.0125153E+005, 1.1251096E+000
 5.8000244E+002,-6.3294233E-002, 6.2516800E-002, 1.0125113E+005, 1.1240479E+000
 5.9016612E+002,-6.2603346E-002, 6.1330695E-002, 1.0125133E+005, 1.1236992E+000
 6.0018094E+002,-6.5161325E-002, 6.0911091E-002, 1.0125153E+005, 1.1246763E+000
 6.1003041E+002,-6.8547861E-002, 5.8092068E-002, 1.0125124E+005, 1.1255317E+000
 6.2009456E+002,-6.8222370E-002, 5.6876020E-002, 1.0125082E+005, 1.1276789E+000
 6.3005966E+002,-6.6652781E-002, 5.8478808E-002, 1.0125049E+005, 1.1268226E+000
 6.4010741E+002,-6.9431276E-002, 5.5287376E-002, 1.0125036E+005, 1.1278525E+000
 6.5003348E+002,-6.7821232E-002, 5.7009065E-002, 1.0125058E+005, 1.1283443E+000
 6.6018987E+002,-6.6327832E-002, 5.5936279E-002, 1.0125029E+005, 1.1278883E+000
 6.7011775E+002,-6.6201723E-002, 5.6640766E-002, 1.0124988E+005, 1.1260722E+000
 6.8002725E+002,-6.7290734E-002, 5.5435252E-002, 1.0124986E+005, 1.1289288E+000
 6.9001378E+002,-6.8884273E-002, 5.7535443E-002, 1.0124993E+005, 1.1278353E+000
 7.0016214E+002,-6.5922513E-002, 5.6673410E-002, 1.0124945E+005, 1.1275820E+000
 7.1015952E+002,-6.7245960E-002, 5.8681764E-002, 1.0124865E+005, 1.1263402E+000
 7.2015692E+002,-6.6656544E-002, 6.0746348E-002, 1.0124869E+005, 1.1260630E+000
 7.3008969E+002,-6.6341183E-002, 5.9133294E-002, 1.0124947E+005, 1.1265249E+000
 7.4018440E+002,-6.3375894E-002, 5.8519571E-002, 1.0124984E+005, 1.1272663E+000
 7.5002746E+002,-6.7060458E-002, 6.0164237E-002, 1.0124911E+005, 1.1249871E+000
 7.6008194E+002,-6.6651783E-002, 5.8214341E-002, 1.0124903E+005, 1.1267345E+000
 7.7002041E+002,-6.7809628E-002, 5.8115407E-002, 1.0124942E+005, 1.1272534E+000
 7.8011858E+002,-6.8384290E-002, 5.6405129E-002, 1.0124999E+005, 1.1271413E+000
 7.9006167E+002,-6.4899564E-002, 5.5613534E-002, 1.0125064E+005, 1.1266628E+000
 8.0002780E+002,-6.5501144E-002, 5.5911041E-002, 1.0125095E+005, 1.1276600E+000
 8.1015434E+002,-6.7867778E-002, 5.8342738E-002, 1.0125060E+005, 1.1270807E+000
 8.2003383E+002,-6.6490416E-002, 6.0536644E-002, 1.0125060E+005, 1.1249731E+000
 8.3000139E+002,-6.2261048E-002, 5.8802670E-002, 1.0125057E+005, 1.1255659E+000
 8.4003614E+002,-6.3407833E-002, 5.8123239E-002, 1.0125075E+005, 1.1241657E+000
 8.5016163E+002,-6.2518099E-002, 5.9937067E-002, 1.0125053E+005, 1.1229289E+000
 8.6006050E+002,-6.3581191E-002, 6.1777837E-002, 1.0125061E+005, 1.1250534E+000
 8.7013252E+002,-6.3260543E-002, 5.9306945E-002, 1.0125088E+005, 1.1237663E+000
 8.8009913E+002,-6.2107147E-002, 6.1291005E-002, 1.0125036E+005, 1.1231830E+000
 8.9007856E+002,-6.1530741E-002, 6.2835854E-002, 1.0124981E+005, 1.1230367E+000
 9.0012674E+002,-6.0050463E-002, 6.3517558E-002, 1.0125017E+005, 1.1220279E+000
 9.1008343E+002,-6.3183918E-002, 6.3258686E-002, 1.0125047E+005, 1.1232003E+000
 9.2005061E+002,-6.6071079E-002, 5.9797691E-002, 1.0125032E+005, 1.1249850E+000
 9.3008209E+002,-6.4045591E-002, 5.9042827E-002, 1.0124975E+005, 1.1235639E+000
 9.4007854E+002,-6.1162771E-002, 6.3044314E-002, 1.0124915E+005, 1.1224942E+000
 9.5003615E+002,-5.8792079E-002, 6.6457586E-002, 1.0124986E+005, 1.1201214E+000
 9.6014098E+002,-5.9598083E-002, 6.6440293E-002, 1.0124952E+005, 1.1195090E+000
 9.7011013E+002,-6.3530209E-002, 6.3700494E-002, 1.0124945E+005, 1.1203461E+000
 9.8003099E+002,-6.6393547E-002, 6.2670233E-002, 1.0124946E+005, 1.1218543E+000
 9.9007877E+002,-6.6213146E-002, 6.0416169E-002, 1.0124968E+005, 1.1240127E+000
 1.0001484E+003,-6.2736015E-002, 6.0384628E-002, 1.0125007E+005, 1.1227878E+000
 1.0100384E+003,-6.1175139E-002, 5.7531245E-002, 1.0125002E+005, 1.1245682E+000
 1.0200441E+003,-6.2327306E-002, 6.2742893E-002, 1.0125043E+005, 1.1239910E+000
 1.0300514E+003,-6.5469948E-002, 6.3534123E-002, 1.0125100E+005, 1.1218347E+000
 1.0400757E+003,-6.1845366E-002, 6.1608370E-002, 1.0125122E+005, 1.1233017E+000
 1.0501316E+003,-5.8959040E-002, 6.1013177E-002, 1.0125106E+005, 1.1228295E+000
 1.0600054E+003,-6.0490456E-002, 6.5610343E-002, 1.0125083E+005, 1.1207958E+000
 1.0700808E+003,-6.0292359E-002, 6.4622980E-002, 1.0125072E+005, 1.1211337E+000
 1.0801473E+003,-6.0721012E-002, 6.3788813E-002, 1.0125097E+005, 1.1206202E+000
 1.0900363E+003,-6.6425607E-002, 6.5153272E-002, 1.0125123E+005, 1.1222602E+000
 1.1000970E+003,-6.7130707E-002, 6.2853961E-002, 1.0125100E+005, 1.1245037E+000
 1.1101070E+003,-6.3647551E-002, 6.2393093E-002, 1.0125111E+005, 1.1227622E+000
 1.1201326E+003,-6.1187352E-002, 6.2625529E-002, 1.0125149E+005, 1.1215031E+000
 1.1301647E+003,-6.1197671E-002, 6.1896372E-002, 1.0125184E+005, 1.1219120E+000
 1.1400101E+003,-6.2043214E-002, 6.4039642E-002, 1.0125191E+005, 1.1224736E+000
 1.1500693E+003,-6.4162818E-002, 6.1392484E-002, 1.0125187E+005, 1.1228011E+000
 1.1601289E+003,-6.2661627E-002, 6.0256615E-002, 1.0125164E+005, 1.1230876E+000
 1.1701879E+003,-6.1690948E-002, 6.0924523E-002, 1.0125177E+005, 1.1246412E+000
 1.1801286E+003,-6.4792874E-002, 6.0545178E-002, 1.0125206E+005, 1.1231980E+000
 1.1900523E+003,-6.3115773E-002, 6.0644320E-002, 1.0125228E+005, 1.1241031E+000
 1.2000175E+003,-6.4083784E-002, 5.7583448E-002, 1.0125288E+005, 1.1242577E+000
