m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-z,Q1-1,YP1-1,ZP1-1,Q1-2-z,Q1-2,YP1-2,ZP1-2,Q1-3-z,Q1-3,YP1-3,ZP1-3,Q1-4-z,Q1-4,YP1-4,ZP1-4,Q1-5-z,Q1-5,YP1-5,ZP1-5,Q2-1-z,Q2-1,YP2-1,ZP2-1,Q2-2-z,Q2-2,YP2-2,ZP2-2,Q2-3-z,Q2-3,YP2-3,ZP2-3,Q2-4-z,Q2-4,YP2-4,ZP2-4,Q2-5-z,Q2-5,YP2-5,ZP2-5
 1.9993750E+001,-6.5632155E-002, 6.3099144E+002, 6.3535818E+000, 1.9993750E+001,-6.5318733E-002, 6.3232215E+002, 6.2179782E+000, 1.9993750E+001,-6.5545043E-002, 6.4102695E+002, 6.4665193E+000, 1.9993750E+001,-6.5488804E-002, 6.3257284E+002, 6.2833334E+000, 1.9993750E+001,-6.5466834E-002, 6.3965040E+002, 6.4388898E+000, 1.9993750E+001, 4.2603148E-002, 6.3876582E+002, 8.0972131E+000, 1.9993750E+001, 4.2934054E-002, 6.4587692E+002, 8.2697283E+000, 1.9993750E+001, 4.2690925E-002, 6.3496337E+002, 7.9788162E+000, 1.9993750E+001, 4.2725032E-002, 6.3503670E+002, 8.0071936E+000, 1.9993750E+001, 4.2534236E-002, 6.2869320E+002, 7.8190406E+000
 2.9655172E+001,-6.7973434E-002, 7.3371037E+002, 9.2433057E+000, 2.9655172E+001,-6.7888753E-002, 7.3791942E+002, 9.3453254E+000, 2.9655172E+001,-6.8309431E-002, 7.4616527E+002, 9.5830994E+000, 2.9655172E+001,-6.8109327E-002, 7.4016064E+002, 9.3296550E+000, 2.9655172E+001,-6.8144201E-002, 7.4167349E+002, 9.4472716E+000, 2.9655172E+001, 4.5522673E-002, 6.9068380E+002, 9.0937578E+000, 2.9655172E+001, 4.6556813E-002, 7.1325716E+002, 9.6061484E+000, 2.9655172E+001, 4.5919172E-002, 6.9189130E+002, 9.0565259E+000, 2.9655172E+001, 4.6068469E-002, 6.9372543E+002, 9.0607005E+000, 2.9655172E+001, 4.5925969E-002, 6.9279842E+002, 9.1399959E+000
 3.9310345E+001,-7.0867359E-002, 8.1010612E+002, 1.0944866E+001, 3.9310345E+001,-7.0139448E-002, 7.9918241E+002, 1.0802358E+001, 3.9310345E+001,-7.0729490E-002, 8.1125902E+002, 1.0977245E+001, 3.9310345E+001,-7.1037741E-002, 8.1542545E+002, 1.1095053E+001, 3.9310345E+001,-7.0728962E-002, 8.0949115E+002, 1.0973024E+001, 3.9310345E+001, 4.8344897E-002, 7.3310041E+002, 9.8521815E+000, 3.9310345E+001, 4.9495891E-002, 7.6442223E+002, 1.0338521E+001, 3.9310345E+001, 4.8861054E-002, 7.3823001E+002, 9.9388119E+000, 3.9310345E+001, 4.8998465E-002, 7.4917823E+002, 1.0143225E+001, 3.9310345E+001, 4.9140129E-002, 7.5106843E+002, 1.0040109E+001
 4.8965517E+001,-7.2881554E-002, 8.6347025E+002, 1.1918477E+001, 4.8965517E+001,-7.2599810E-002, 8.6070259E+002, 1.1942370E+001, 4.8965517E+001,-7.2981195E-002, 8.6375511E+002, 1.1918497E+001, 4.8965517E+001,-7.3271070E-002, 8.7080529E+002, 1.1983585E+001, 4.8965517E+001,-7.2936398E-002, 8.6813210E+002, 1.2038963E+001, 4.8965517E+001, 5.1240255E-002, 7.7925801E+002, 1.0476839E+001, 4.8965517E+001, 5.2307857E-002, 8.0556232E+002, 1.0968815E+001, 4.8965517E+001, 5.2065571E-002, 8.0008139E+002, 1.0864441E+001, 4.8965517E+001, 5.1775756E-002, 7.9532333E+002, 1.0735643E+001, 4.8965517E+001, 5.1949218E-002, 7.9599173E+002, 1.0824848E+001
 5.8620690E+001,-7.4624326E-002, 9.0991374E+002, 1.2637305E+001, 5.8620690E+001,-7.4263385E-002, 9.0481009E+002, 1.2543703E+001, 5.8620690E+001,-7.4423568E-002, 9.0290487E+002, 1.2386476E+001, 5.8620690E+001,-7.5097842E-002, 9.1723382E+002, 1.2754774E+001, 5.8620690E+001,-7.4492013E-002, 9.0865608E+002, 1.2636933E+001, 5.8620690E+001, 5.4008584E-002, 8.2213403E+002, 1.1172023E+001, 5.8620690E+001, 5.4594942E-002, 8.3928066E+002, 1.1478395E+001, 5.8620690E+001, 5.4346281E-002, 8.3266110E+002, 1.1288869E+001, 5.8620690E+001, 5.4297502E-002, 8.2979812E+002, 1.1351476E+001, 5.8620690E+001, 5.4181380E-002, 8.2679298E+002, 1.1227219E+001
 6.8275862E+001,-7.5672184E-002, 9.4203136E+002, 1.2981379E+001, 6.8275862E+001,-7.5264951E-002, 9.3413822E+002, 1.2834407E+001, 6.8275862E+001,-7.5568641E-002, 9.3963808E+002, 1.2950569E+001, 6.8275862E+001,-7.6050473E-002, 9.4672431E+002, 1.3009457E+001, 6.8275862E+001,-7.5479526E-002, 9.3854380E+002, 1.2887335E+001, 6.8275862E+001, 5.6442701E-002, 8.5654498E+002, 1.1637668E+001, 6.8275862E+001, 5.7053360E-002, 8.7278274E+002, 1.1896360E+001, 6.8275862E+001, 5.6938260E-002, 8.6898584E+002, 1.1762415E+001, 6.8275862E+001, 5.7191773E-002, 8.7560282E+002, 1.1957172E+001, 6.8275862E+001, 5.7274446E-002, 8.7323746E+002, 1.1812431E+001
 7.7931034E+001,-7.6523578E-002, 9.6930605E+002, 1.3251157E+001, 7.7931034E+001,-7.6253753E-002, 9.6649124E+002, 1.3231983E+001, 7.7931034E+001,-7.5733040E-002, 9.5690494E+002, 1.3083344E+001, 7.7931034E+001,-7.7020233E-002, 9.7730253E+002, 1.3318432E+001, 7.7931034E+001,-7.6162886E-002, 9.6338289E+002, 1.3163767E+001, 7.7931034E+001, 5.8979447E-002, 8.9214625E+002, 1.2112136E+001, 7.7931034E+001, 5.9375861E-002, 9.0222871E+002, 1.2248268E+001, 7.7931034E+001, 5.9893457E-002, 9.1491267E+002, 1.2447243E+001, 7.7931034E+001, 5.9945469E-002, 9.1882920E+002, 1.2570258E+001, 7.7931034E+001, 5.9794839E-002, 9.1210845E+002, 1.2343758E+001
 8.7586207E+001,-7.6828495E-002, 9.8968876E+002, 1.3459108E+001, 8.7586207E+001,-7.7002943E-002, 9.9483380E+002, 1.3528078E+001, 8.7586207E+001,-7.6557213E-002, 9.8443284E+002, 1.3314698E+001, 8.7586207E+001,-7.7346520E-002, 9.9853922E+002, 1.3576732E+001, 8.7586207E+001,-7.6737091E-002, 9.8761634E+002, 1.3457691E+001, 8.7586207E+001, 6.1872003E-002, 9.3443914E+002, 1.2567009E+001, 8.7586207E+001, 6.1676400E-002, 9.3085872E+002, 1.2541206E+001, 8.7586207E+001, 6.2182102E-002, 9.4382635E+002, 1.2715720E+001, 8.7586207E+001, 6.1972010E-002, 9.3883911E+002, 1.2663883E+001, 8.7586207E+001, 6.2551310E-002, 9.5057317E+002, 1.2869855E+001
 9.7241379E+001,-7.6865729E-002, 1.0014485E+003, 1.3519690E+001, 9.7241379E+001,-7.7523126E-002, 1.0144714E+003, 1.3702869E+001, 9.7241379E+001,-7.6796005E-002, 1.0050833E+003, 1.3575998E+001, 9.7241379E+001,-7.7835580E-002, 1.0204720E+003, 1.3750228E+001, 9.7241379E+001,-7.7055902E-002, 1.0067896E+003, 1.3555570E+001, 9.7241379E+001, 6.4432688E-002, 9.6839402E+002, 1.2917780E+001, 9.7241379E+001, 6.4180843E-002, 9.6705920E+002, 1.3012158E+001, 9.7241379E+001, 6.3990230E-002, 9.6439423E+002, 1.2992386E+001, 9.7241379E+001, 6.3679023E-002, 9.5662499E+002, 1.2875875E+001, 9.7241379E+001, 6.4354819E-002, 9.7064815E+002, 1.3053017E+001
 1.0689655E+002,-7.6755183E-002, 1.0159035E+003, 1.3689108E+001, 1.0689655E+002,-7.7685897E-002, 1.0319569E+003, 1.3815666E+001, 1.0689655E+002,-7.6999079E-002, 1.0222501E+003, 1.3744312E+001, 1.0689655E+002,-7.7964025E-002, 1.0374314E+003, 1.3878559E+001, 1.0689655E+002,-7.7098891E-002, 1.0236285E+003, 1.3754679E+001, 1.0689655E+002, 6.6515858E-002, 9.9377853E+002, 1.3177136E+001, 1.0689655E+002, 6.6355839E-002, 9.9157226E+002, 1.3225544E+001, 1.0689655E+002, 6.5677307E-002, 9.7870363E+002, 1.3061617E+001, 1.0689655E+002, 6.5988754E-002, 9.8740783E+002, 1.3306362E+001, 1.0689655E+002, 6.6202136E-002, 9.8832172E+002, 1.3195000E+001
