s,kW,kW
Time,qdot1,qdot2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0041237E+000, 2.1233743E+000, 1.4081814E+001
 2.0082473E+000, 4.3317653E+000, 2.9135347E+001
 3.0123710E+000, 4.7566658E+000, 3.0693368E+001
 4.0164946E+000, 4.7894969E+000, 2.9689987E+001
 5.0206183E+000, 4.7668773E+000, 2.9083300E+001
 6.0247420E+000, 4.7381951E+000, 2.9490673E+001
 7.0288656E+000, 4.7107142E+000, 3.0360343E+001
 8.0329893E+000, 4.6858940E+000, 3.0870358E+001
 9.0371129E+000, 4.6634603E+000, 3.1082881E+001
 1.0041237E+001, 4.6426554E+000, 3.1202446E+001
 1.1045031E+001, 4.6233283E+000, 3.1273660E+001
 1.2030109E+001, 4.6053180E+000, 3.1276040E+001
 1.3018015E+001, 4.5883984E+000, 3.1164895E+001
 1.4014778E+001, 4.5725201E+000, 3.0952858E+001
 1.5043835E+001, 4.5589121E+000, 3.0720224E+001
 1.6077418E+001, 4.5483046E+000, 3.0560786E+001
 1.7072242E+001, 4.5395499E+000, 3.0636183E+001
 1.8027588E+001, 4.5307072E+000, 3.0867533E+001
 1.9026139E+001, 4.5211067E+000, 3.1121005E+001
 2.0013336E+001, 4.5121672E+000, 3.1324534E+001
 2.1053690E+001, 4.5048790E+000, 3.1386629E+001
 2.2063947E+001, 4.4984450E+000, 3.1328179E+001
 2.3038166E+001, 4.4921545E+000, 3.1240464E+001
 2.4066654E+001, 4.4865550E+000, 3.1212558E+001
 2.5094120E+001, 4.4826038E+000, 3.1225163E+001
 2.6029742E+001, 4.4795958E+000, 3.1226970E+001
 2.7006343E+001, 4.4761569E+000, 3.1232288E+001
 2.8006150E+001, 4.4724166E+000, 3.1261939E+001
 2.9005956E+001, 4.4694269E+000, 3.1314019E+001
 3.0013010E+001, 4.4672612E+000, 3.1314675E+001
 3.1031568E+001, 4.4650694E+000, 3.1256416E+001
 3.2079723E+001, 4.4626788E+000, 3.1209481E+001
 3.3062114E+001, 4.4608037E+000, 3.1215369E+001
 3.4029744E+001, 4.4597861E+000, 3.1255436E+001
 3.5016591E+001, 4.4589329E+000, 3.1261106E+001
 3.6032258E+001, 4.4578785E+000, 3.1292891E+001
 3.7050685E+001, 4.4575285E+000, 3.1321371E+001
 3.8013417E+001, 4.4593321E+000, 3.1291125E+001
 3.9063669E+001, 4.4590205E+000, 3.1219816E+001
 4.0026401E+001, 4.4573990E+000, 3.1156244E+001
 4.1041645E+001, 4.4581330E+000, 3.1164430E+001
 4.2020042E+001, 4.4605634E+000, 3.1266861E+001
 4.3054408E+001, 4.4621507E+000, 3.1361567E+001
 4.4002577E+001, 4.4621292E+000, 3.1392890E+001
 4.5036943E+001, 4.4633951E+000, 3.1412626E+001
 4.6071310E+001, 4.4657361E+000, 3.1401002E+001
 4.7019478E+001, 4.4677779E+000, 3.1346152E+001
 4.8053845E+001, 4.4706453E+000, 3.1310020E+001
 4.9053732E+001, 4.4744838E+000, 3.1335056E+001
 5.0001901E+001, 4.4774014E+000, 3.1379508E+001
 5.1050635E+001, 4.4790130E+000, 3.1402756E+001
 5.2035748E+001, 4.4818120E+000, 3.1377811E+001
 5.3020862E+001, 4.4854485E+000, 3.1303786E+001
 5.4071650E+001, 4.4878580E+000, 3.1241845E+001
 5.5026717E+001, 4.4894405E+000, 3.1241455E+001
 5.6018397E+001, 4.4926023E+000, 3.1291728E+001
 5.7052349E+001, 4.4957276E+000, 3.1333093E+001
 5.8027437E+001, 4.4959557E+000, 3.1355417E+001
 5.9070031E+001, 4.4949053E+000, 3.1358484E+001
 6.0018866E+001, 4.4945953E+000, 3.1378534E+001
 6.1017206E+001, 4.4945066E+000, 3.1389105E+001
 6.2015546E+001, 4.4944895E+000, 3.1375946E+001
 6.3065897E+001, 4.4960401E+000, 3.1329172E+001
 6.4062282E+001, 4.4988040E+000, 3.1293857E+001
 6.5046990E+001, 4.5000191E+000, 3.1270859E+001
 6.6035869E+001, 4.4995249E+000, 3.1311291E+001
 6.7069688E+001, 4.4995505E+000, 3.1346544E+001
 6.8025252E+001, 4.5010603E+000, 3.1334689E+001
 6.9067686E+001, 4.5024126E+000, 3.1334172E+001
 7.0023251E+001, 4.5029954E+000, 3.1318971E+001
 7.1065685E+001, 4.5039389E+000, 3.1349633E+001
 7.2064684E+001, 4.5056254E+000, 3.1383562E+001
 7.3020248E+001, 4.5066188E+000, 3.1408728E+001
 7.4080891E+001, 4.5065596E+000, 3.1369678E+001
 7.5026858E+001, 4.5065111E+000, 3.1293481E+001
 7.6058823E+001, 4.5061599E+000, 3.1263373E+001
 7.7004790E+001, 4.5051500E+000, 3.1274000E+001
 7.8036754E+001, 4.5045318E+000, 3.1322387E+001
 7.9034320E+001, 4.5052124E+000, 3.1359363E+001
 8.0074884E+001, 4.5063277E+000, 3.1367376E+001
 8.1007864E+001, 4.5066443E+000, 3.1373172E+001
 8.2079028E+001, 4.5059062E+000, 3.1376322E+001
 8.3051855E+001, 4.5050344E+000, 3.1342550E+001
 8.4062258E+001, 4.5052973E+000, 3.1299680E+001
 8.5032565E+001, 4.5064578E+000, 3.1289544E+001
 8.6002872E+001, 4.5067267E+000, 3.1311047E+001
 8.7061389E+001, 4.5061509E+000, 3.1331150E+001
 8.8031696E+001, 4.5059642E+000, 3.1331015E+001
 8.9036215E+001, 4.5057986E+000, 3.1325655E+001
 9.0034264E+001, 4.5049754E+000, 3.1320133E+001
 9.1079838E+001, 4.5034825E+000, 3.1313066E+001
 9.2016903E+001, 4.5024055E+000, 3.1305097E+001
 9.3025941E+001, 4.5020697E+000, 3.1286818E+001
 9.4034979E+001, 4.5015806E+000, 3.1290629E+001
 9.5039669E+001, 4.5009368E+000, 3.1276520E+001
 9.6037941E+001, 4.5005440E+000, 3.1283981E+001
 9.7004268E+001, 4.5006900E+000, 3.1303466E+001
 9.8069617E+001, 4.4998325E+000, 3.1303904E+001
 9.9064374E+001, 4.4986636E+000, 3.1256674E+001
 1.0003333E+002, 4.4989803E+000, 3.1272883E+001
 1.0105886E+002, 4.4999960E+000, 3.1313967E+001
 1.0201339E+002, 4.5008122E+000, 3.1332137E+001
 1.0305469E+002, 4.5014401E+000, 3.1347853E+001
 1.0400922E+002, 4.5011751E+000, 3.1317589E+001
 1.0505715E+002, 4.5005537E+000, 3.1322351E+001
 1.0600179E+002, 4.4994829E+000, 3.1311591E+001
 1.0703231E+002, 4.4987522E+000, 3.1314811E+001
 1.0803471E+002, 4.4984641E+000, 3.1276903E+001
 1.0905111E+002, 4.4983885E+000, 3.1235243E+001
 1.1005904E+002, 4.4978413E+000, 3.1254910E+001
 1.1102911E+002, 4.4968925E+000, 3.1322009E+001
 1.1206224E+002, 4.4965861E+000, 3.1366562E+001
 1.1305563E+002, 4.4975006E+000, 3.1344079E+001
 1.1401723E+002, 4.4979503E+000, 3.1282486E+001
 1.1506625E+002, 4.4978006E+000, 3.1248614E+001
 1.1605511E+002, 4.4979366E+000, 3.1261092E+001
 1.1706466E+002, 4.4982849E+000, 3.1310331E+001
 1.1807420E+002, 4.4985366E+000, 3.1311798E+001
 1.1905010E+002, 4.4983691E+000, 3.1290938E+001
 1.2001215E+002, 4.4978319E+000, 3.1304759E+001
 1.2106984E+002, 4.4980968E+000, 3.1346600E+001
 1.2204616E+002, 4.4986308E+000, 3.1338930E+001
 1.2302249E+002, 4.4995897E+000, 3.1271792E+001
 1.2408018E+002, 4.5004231E+000, 3.1259254E+001
 1.2504837E+002, 4.5006232E+000, 3.1309095E+001
 1.2603284E+002, 4.5004550E+000, 3.1370234E+001
 1.2702470E+002, 4.4995797E+000, 3.1382085E+001
 1.2806955E+002, 4.4994729E+000, 3.1387546E+001
 1.2902733E+002, 4.5000015E+000, 3.1421024E+001
 1.3007218E+002, 4.5009074E+000, 3.1429843E+001
 1.3102996E+002, 4.5015434E+000, 3.1386221E+001
 1.3207481E+002, 4.5018520E+000, 3.1303247E+001
 1.3303366E+002, 4.5018305E+000, 3.1291150E+001
