s,kW/m2,kW/m2,Pa,kg/m3
Time,Q1-0,Q2-0,p0,rho
 0.0000000E+000,-3.4964380E-001, 3.9085034E-001, 1.0132500E+005, 8.8318715E-001
 1.0041237E+000,-3.1642467E-001, 3.5813009E-001, 1.0128273E+005, 8.8292592E-001
 2.0082473E+000,-2.6309830E-001, 3.0980838E-001, 1.0119264E+005, 8.8240437E-001
 3.0189160E+000,-2.3621145E-001, 2.8100545E-001, 1.0110222E+005, 8.8207934E-001
 4.0050917E+000,-2.3924867E-001, 2.8755179E-001, 1.0102074E+005, 8.8190025E-001
 5.0124585E+000,-2.5799790E-001, 3.0172197E-001, 1.0095196E+005, 8.8148226E-001
 6.0031462E+000,-2.7651832E-001, 3.2609765E-001, 1.0089243E+005, 8.8079046E-001
 7.0123826E+000,-3.0537783E-001, 3.4361376E-001, 1.0083738E+005, 8.8042578E-001
 8.0093229E+000,-3.2611131E-001, 3.4829813E-001, 1.0078591E+005, 8.8007667E-001
 9.0004162E+000,-3.2145692E-001, 3.5149379E-001, 1.0073698E+005, 8.7969493E-001
 1.0013400E+001,-3.1329157E-001, 3.4925396E-001, 1.0068802E+005, 8.7988425E-001
 1.1009688E+001,-3.0954665E-001, 3.3853034E-001, 1.0063907E+005, 8.7854263E-001
 1.2012132E+001,-3.2210235E-001, 3.4251023E-001, 1.0059119E+005, 8.8526998E-001
 1.3014212E+001,-3.0575250E-001, 3.3597039E-001, 1.0054520E+005, 8.8373991E-001
 1.4012894E+001,-3.1105839E-001, 3.3568788E-001, 1.0050316E+005, 8.8264199E-001
 1.5014817E+001,-3.0943667E-001, 3.4113138E-001, 1.0046654E+005, 8.8253632E-001
 1.6000823E+001,-3.1668205E-001, 3.4648838E-001, 1.0043584E+005, 8.7921139E-001
 1.7000161E+001,-3.1340582E-001, 3.4189521E-001, 1.0040616E+005, 8.8127486E-001
 1.8012608E+001,-3.1234532E-001, 3.3741754E-001, 1.0037801E+005, 8.7899581E-001
 1.9002906E+001,-3.2002269E-001, 3.2712132E-001, 1.0035262E+005, 8.8581061E-001
 2.0012560E+001,-3.2065647E-001, 3.3913635E-001, 1.0032781E+005, 8.8439718E-001
 2.1007894E+001,-3.2361652E-001, 3.3217804E-001, 1.0030342E+005, 8.7995507E-001
 2.2000591E+001,-3.1530499E-001, 3.3589666E-001, 1.0028174E+005, 8.7954529E-001
 2.3009623E+001,-3.1708362E-001, 3.3643070E-001, 1.0026114E+005, 8.7906834E-001
 2.4016284E+001,-3.1873338E-001, 3.4358973E-001, 1.0024187E+005, 8.7795974E-001
 2.5000346E+001,-3.1140582E-001, 3.2818102E-001, 1.0022369E+005, 8.8105271E-001
 2.6004956E+001,-3.1676734E-001, 3.3805024E-001, 1.0020382E+005, 8.7898689E-001
 2.7004703E+001,-3.1621139E-001, 3.3472625E-001, 1.0018483E+005, 8.8483150E-001
 2.8015135E+001,-3.3133125E-001, 3.2846659E-001, 1.0016792E+005, 8.8905745E-001
 2.9018717E+001,-3.2058081E-001, 3.4054719E-001, 1.0015094E+005, 8.8877347E-001
 3.0006947E+001,-3.2422038E-001, 3.3585362E-001, 1.0013575E+005, 8.8446858E-001
 3.1014775E+001,-3.2293957E-001, 3.3523541E-001, 1.0012184E+005, 8.8642833E-001
 3.2011359E+001,-3.2400516E-001, 3.3577775E-001, 1.0010894E+005, 8.8019947E-001
 3.3009725E+001,-3.3003501E-001, 3.3450984E-001, 1.0009584E+005, 8.7879215E-001
 3.4003191E+001,-3.3074234E-001, 3.3876588E-001, 1.0008368E+005, 8.7893962E-001
 3.5001992E+001,-3.3531325E-001, 3.3008138E-001, 1.0007227E+005, 8.8720223E-001
 3.6009546E+001,-3.3224387E-001, 3.3331977E-001, 1.0006091E+005, 8.8626210E-001
 3.7003021E+001,-3.3349360E-001, 3.3442946E-001, 1.0005301E+005, 8.8500396E-001
 3.8007903E+001,-3.2425921E-001, 3.4218932E-001, 1.0004648E+005, 8.8221380E-001
 3.9016159E+001,-3.2526342E-001, 3.5299859E-001, 1.0003753E+005, 8.8006913E-001
 4.0003553E+001,-3.3364903E-001, 3.3798194E-001, 1.0002814E+005, 8.8151618E-001
 4.1003584E+001,-3.2738934E-001, 3.3053745E-001, 1.0001951E+005, 8.8318050E-001
 4.2000102E+001,-3.4082199E-001, 3.4294448E-001, 1.0001057E+005, 8.8716429E-001
 4.3003812E+001,-3.2396731E-001, 3.3654991E-001, 1.0000097E+005, 8.8337057E-001
 4.4016275E+001,-3.3025865E-001, 3.3917022E-001, 9.9994355E+004, 8.8596203E-001
 4.5016855E+001,-3.3378195E-001, 3.3790936E-001, 9.9988328E+004, 8.8596468E-001
 4.6013612E+001,-3.3798118E-001, 3.3818681E-001, 9.9981146E+004, 8.8579167E-001
 4.7009995E+001,-3.3404228E-001, 3.3197386E-001, 9.9974591E+004, 8.8528682E-001
