m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-x,Q1-1,YP1-1,ZP1-1,Q1-2-x,Q1-2,YP1-2,ZP1-2,Q1-3-x,Q1-3,YP1-3,ZP1-3,Q1-4-x,Q1-4,YP1-4,ZP1-4,Q1-5-x,Q1-5,YP1-5,ZP1-5,Q2-1-x,Q2-1,YP2-1,ZP2-1,Q2-2-x,Q2-2,YP2-2,ZP2-2,Q2-3-x,Q2-3,YP2-3,ZP2-3,Q2-4-x,Q2-4,YP2-4,ZP2-4,Q2-5-x,Q2-5,YP2-5,ZP2-5
-4.0012500E+000,-5.8044098E-002, 6.1371612E+001, 3.6142753E+000,-4.0012500E+000,-5.7814000E-002, 6.2166253E+001, 3.6133462E+000,-4.0012500E+000,-5.8958336E-002, 6.2859059E+001, 3.6181925E+000,-4.0012500E+000,-6.0136532E-002, 6.6842642E+001, 3.6230739E+000,-4.0012500E+000,-6.1471396E-002, 6.6871076E+001, 3.6286386E+000,-4.0012500E+000, 6.3234201E-002, 6.4157096E+001, 3.6564949E+000,-4.0012500E+000, 6.3082870E-002, 6.4085666E+001, 3.6559879E+000,-4.0012500E+000, 6.3069422E-002, 6.4975524E+001, 3.6559571E+000,-4.0012500E+000, 6.1594427E-002, 6.6419779E+001, 3.6510997E+000,-4.0012500E+000, 6.0418241E-002, 6.5925379E+001, 3.6471883E+000
-3.7241379E+000,-5.8669506E-002, 6.1053912E+001, 3.6169624E+000,-3.7241379E+000,-5.8193896E-002, 6.3375070E+001, 3.6149487E+000,-3.7241379E+000,-5.9360039E-002, 6.4139700E+001, 3.6199011E+000,-3.7241379E+000,-6.0532091E-002, 6.7979371E+001, 3.6247047E+000,-3.7241379E+000,-6.1969343E-002, 6.6594427E+001, 3.6306749E+000,-3.7241379E+000, 6.2672510E-002, 6.3344296E+001, 3.6546796E+000,-3.7241379E+000, 6.2628401E-002, 6.4700474E+001, 3.6545262E+000,-3.7241379E+000, 6.2641516E-002, 6.5756384E+001, 3.6545511E+000,-3.7241379E+000, 6.1221967E-002, 6.6016676E+001, 3.6498819E+000,-3.7241379E+000, 5.9862824E-002, 6.6359508E+001, 3.6453268E+000
-3.4482759E+000,-5.9128130E-002, 6.2713595E+001, 3.6189083E+000,-3.4482759E+000,-5.8622301E-002, 6.1978810E+001, 3.6167862E+000,-3.4482759E+000,-5.9675824E-002, 6.4525437E+001, 3.6212254E+000,-3.4482759E+000,-6.0827520E-002, 6.7692880E+001, 3.6259237E+000,-3.4482759E+000,-6.2355347E-002, 6.6528055E+001, 3.6322412E+000,-3.4482759E+000, 6.2211955E-002, 6.4228474E+001, 3.6531845E+000,-3.4482759E+000, 6.2365679E-002, 6.4000427E+001, 3.6536622E+000,-3.4482759E+000, 6.2327874E-002, 6.5611963E+001, 3.6535382E+000,-3.4482759E+000, 6.0972026E-002, 6.6343117E+001, 3.6490568E+000,-3.4482759E+000, 5.9377087E-002, 6.6865793E+001, 3.6436725E+000
-3.1724138E+000,-5.9626106E-002, 6.3118661E+001, 3.6209913E+000,-3.1724138E+000,-5.9044573E-002, 6.2463987E+001, 3.6185817E+000,-3.1724138E+000,-5.9982751E-002, 6.4526548E+001, 3.6225071E+000,-3.1724138E+000,-6.1290375E-002, 6.8087790E+001, 3.6278552E+000,-3.1724138E+000,-6.2805254E-002, 6.5555026E+001, 3.6340558E+000,-3.1724138E+000, 6.1826383E-002, 6.3396568E+001, 3.6519253E+000,-3.1724138E+000, 6.2184622E-002, 6.4138002E+001, 3.6530756E+000,-3.1724138E+000, 6.1990026E-002, 6.5284438E+001, 3.6524385E+000,-3.1724138E+000, 6.0682188E-002, 6.6599779E+001, 3.6480947E+000,-3.1724138E+000, 5.8986478E-002, 6.6061476E+001, 3.6423047E+000
-2.8965517E+000,-6.0117342E-002, 6.3329001E+001, 3.6230592E+000,-2.8965517E+000,-5.9464053E-002, 6.2384763E+001, 3.6203389E+000,-2.8965517E+000,-6.0311467E-002, 6.4201655E+001, 3.6238922E+000,-2.8965517E+000,-6.1717148E-002, 6.8620753E+001, 3.6296305E+000,-2.8965517E+000,-6.3130875E-002, 6.5191348E+001, 3.6353557E+000,-2.8965517E+000, 6.1518188E-002, 6.2731461E+001, 3.6509071E+000,-2.8965517E+000, 6.1796706E-002, 6.2921025E+001, 3.6518068E+000,-2.8965517E+000, 6.1677294E-002, 6.5174745E+001, 3.6514143E+000,-2.8965517E+000, 6.0446354E-002, 6.5989718E+001, 3.6473126E+000,-2.8965517E+000, 5.8592036E-002, 6.5267619E+001, 3.6409270E+000
-2.6206897E+000,-6.0643120E-002, 6.3245550E+001, 3.6252751E+000,-2.6206897E+000,-5.9965696E-002, 6.1851170E+001, 3.6224414E+000,-2.6206897E+000,-6.0845243E-002, 6.4489693E+001, 3.6261513E+000,-2.6206897E+000,-6.2215996E-002, 6.9279698E+001, 3.6316735E+000,-2.6206897E+000,-6.3573080E-002, 6.5915422E+001, 3.6371076E+000,-2.6206897E+000, 6.0896198E-002, 6.2130879E+001, 3.6488337E+000,-2.6206897E+000, 6.1259500E-002, 6.1945579E+001, 3.6500518E+000,-2.6206897E+000, 6.1231012E-002, 6.4341899E+001, 3.6499538E+000,-2.6206897E+000, 6.0085045E-002, 6.6350894E+001, 3.6461047E+000,-2.6206897E+000, 5.8027427E-002, 6.3591684E+001, 3.6389362E+000
-2.3448276E+000,-6.1025461E-002, 6.3924139E+001, 3.6268695E+000,-2.3448276E+000,-6.0410207E-002, 6.0548062E+001, 3.6242853E+000,-2.3448276E+000,-6.1195273E-002, 6.4013328E+001, 3.6275778E+000,-2.3448276E+000,-6.2520506E-002, 6.9618440E+001, 3.6329010E+000,-2.3448276E+000,-6.3855578E-002, 6.6552499E+001, 3.6382489E+000,-2.3448276E+000, 6.0483123E-002, 6.1577932E+001, 3.6474470E+000,-2.3448276E+000, 6.0847764E-002, 6.2017998E+001, 3.6486675E+000,-2.3448276E+000, 6.0886211E-002, 6.4965069E+001, 3.6488287E+000,-2.3448276E+000, 5.9679535E-002, 6.6479670E+001, 3.6447205E+000,-2.3448276E+000, 5.7742695E-002, 6.3272056E+001, 3.6379550E+000
-2.0689655E+000,-6.1418863E-002, 6.3265634E+001, 3.6284853E+000,-2.0689655E+000,-6.0912344E-002, 6.0908000E+001, 3.6263688E+000,-2.0689655E+000,-6.1564290E-002, 6.4532348E+001, 3.6290849E+000,-2.0689655E+000,-6.2833972E-002, 6.8918988E+001, 3.6341875E+000,-2.0689655E+000,-6.4368827E-002, 6.6634137E+001, 3.6402771E+000,-2.0689655E+000, 6.0160095E-002, 6.0507959E+001, 3.6463483E+000,-2.0689655E+000, 6.0387381E-002, 6.0953533E+001, 3.6471191E+000,-2.0689655E+000, 6.0556598E-002, 6.4470623E+001, 3.6477326E+000,-2.0689655E+000, 5.9199124E-002, 6.6769886E+001, 3.6430720E+000,-2.0689655E+000, 5.7419898E-002, 6.3850014E+001, 3.6368123E+000
-1.7931034E+000,-6.1785174E-002, 6.2154016E+001, 3.6299789E+000,-1.7931034E+000,-6.1328747E-002, 6.0286681E+001, 3.6280788E+000,-1.7931034E+000,-6.1808166E-002, 6.3753477E+001, 3.6300504E+000,-1.7931034E+000,-6.3236506E-002, 6.8987376E+001, 3.6358164E+000,-1.7931034E+000,-6.4911859E-002, 6.5667084E+001, 3.6424246E+000,-1.7931034E+000, 5.9911181E-002, 6.0122606E+001, 3.6454949E+000,-1.7931034E+000, 6.0113819E-002, 6.1136230E+001, 3.6461994E+000,-1.7931034E+000, 6.0155654E-002, 6.4159139E+001, 3.6463812E+000,-1.7931034E+000, 5.8837742E-002, 6.6428885E+001, 3.6418143E+000,-1.7931034E+000, 5.7048876E-002, 6.1705894E+001, 3.6354751E+000
