s,Pa,kg/m3,kW,kW
Time,p0,rho,Q1-0,Q2-0
 0.0000000E+000, 1.0132500E+005, 1.1229154E+000,-3.4398999E-001, 0.0000000E+000
 1.0010074E+001, 1.0205906E+005, 1.1483515E+000,-2.0760742E-001, 5.1160047E-002
 2.0019668E+001, 1.0295972E+005, 1.1596465E+000,-1.6470723E-001, 6.9187028E-002
 3.0014236E+001, 1.0357848E+005, 1.1596149E+000,-1.4935774E-001, 8.5367984E-002
 4.0004575E+001, 1.0399667E+005, 1.1589662E+000,-1.3969009E-001, 9.5603950E-002
 5.0000776E+001, 1.0428228E+005, 1.1604833E+000,-1.3234469E-001, 1.0229573E-001
 6.0010289E+001, 1.0447575E+005, 1.1606010E+000,-1.2749934E-001, 1.0702530E-001
 7.0000838E+001, 1.0460610E+005, 1.1599868E+000,-1.2478307E-001, 1.1071250E-001
 8.0013599E+001, 1.0469143E+005, 1.1618544E+000,-1.2284841E-001, 1.1389036E-001
 9.0017115E+001, 1.0474956E+005, 1.1598419E+000,-1.2165470E-001, 1.1480355E-001
 1.0001743E+002, 1.0479153E+005, 1.1602497E+000,-1.2064702E-001, 1.1581118E-001
 1.1001821E+002, 1.0482058E+005, 1.1606434E+000,-1.1987585E-001, 1.1690612E-001
 1.2000720E+002, 1.0483301E+005, 1.1596427E+000,-1.1987086E-001, 1.1840709E-001
 1.3000467E+002, 1.0484686E+005, 1.1609561E+000,-1.1917032E-001, 1.1602442E-001
 1.4000000E+002, 1.0486367E+005, 1.1601694E+000,-1.1908638E-001, 1.1689064E-001
