m,W/m2/K,kW/m2
HTC-x,HTC,QCONV
-4.9305560E-001, 2.5210689E+001, 1.0240143E+000
-4.7916671E-001, 2.5900810E+001, 1.0726078E+000
-4.6527782E-001, 2.6589298E+001, 1.1302180E+000
-4.5138893E-001, 2.7275033E+001, 1.1819863E+000
-4.3750004E-001, 2.7956874E+001, 1.2427881E+000
-4.2361115E-001, 2.8633658E+001, 1.2982445E+000
-4.0972226E-001, 2.9304205E+001, 1.3591441E+000
-3.9583337E-001, 2.9967323E+001, 1.4167876E+000
-3.8194448E-001, 3.0621810E+001, 1.4804887E+000
-3.6805559E-001, 3.1266456E+001, 1.5393929E+000
-3.5416670E-001, 3.1900049E+001, 1.6063802E+000
-3.4027781E-001, 3.2521379E+001, 1.6684748E+000
-3.2638892E-001, 3.3129238E+001, 1.7400919E+000
-3.1250003E-001, 3.3722427E+001, 1.8085726E+000
-2.9861114E-001, 3.4299762E+001, 1.8860412E+000
-2.8472225E-001, 3.4860073E+001, 1.9592794E+000
-2.7083336E-001, 3.5402209E+001, 2.0382931E+000
-2.5694447E-001, 3.5925046E+001, 2.1118485E+000
-2.4305558E-001, 3.6427486E+001, 2.1895625E+000
-2.2916669E-001, 3.6908464E+001, 2.2615792E+000
-2.1527780E-001, 3.7366948E+001, 2.3376736E+000
-2.0138891E-001, 3.7801948E+001, 2.4116668E+000
-1.8750002E-001, 3.8212516E+001, 2.4897474E+000
-1.7361113E-001, 3.8597750E+001, 2.5629274E+000
-1.5972224E-001, 3.8956796E+001, 2.6353468E+000
-1.4583335E-001, 3.9288855E+001, 2.7011847E+000
-1.3194446E-001, 3.9593182E+001, 2.7631598E+000
-1.1805557E-001, 3.9869092E+001, 2.8184985E+000
-1.0416668E-001, 4.0115959E+001, 2.8679117E+000
-9.0277786E-002, 4.0333221E+001, 2.9110652E+000
-7.6388896E-002, 4.0520381E+001, 2.9490368E+000
-6.2500006E-002, 4.0677012E+001, 2.9807895E+000
-4.8611115E-002, 4.0802752E+001, 3.0081000E+000
-3.4722225E-002, 4.0897312E+001, 3.0343752E+000
-2.0833335E-002, 4.0960474E+001, 3.0450757E+000
-6.9444451E-003, 4.0992092E+001, 3.0608369E+000
 6.9444451E-003, 4.0992092E+001, 3.0441304E+000
 2.0833335E-002, 4.0960474E+001, 3.0357182E+000
 3.4722225E-002, 4.0897312E+001, 3.0280621E+000
 4.8611115E-002, 4.0802752E+001, 3.0040937E+000
 6.2500006E-002, 4.0677012E+001, 2.9733376E+000
 7.6388896E-002, 4.0520381E+001, 2.9391943E+000
 9.0277786E-002, 4.0333221E+001, 2.8969649E+000
 1.0416668E-001, 4.0115959E+001, 2.8483253E+000
 1.1805557E-001, 3.9869092E+001, 2.7949065E+000
 1.3194446E-001, 3.9593182E+001, 2.7383175E+000
 1.4583335E-001, 3.9288855E+001, 2.6765724E+000
 1.5972224E-001, 3.8956796E+001, 2.6138360E+000
 1.7361113E-001, 3.8597750E+001, 2.5476744E+000
 1.8750002E-001, 3.8212516E+001, 2.4828614E+000
 2.0138891E-001, 3.7801948E+001, 2.4143912E+000
 2.1527780E-001, 3.7366948E+001, 2.3451218E+000
 2.2916669E-001, 3.6908464E+001, 2.2710706E+000
 2.4305558E-001, 3.6427486E+001, 2.1985988E+000
 2.5694447E-001, 3.5925046E+001, 2.1235754E+000
 2.7083336E-001, 3.5402209E+001, 2.0509724E+000
 2.8472225E-001, 3.4860073E+001, 1.9761906E+000
 2.9861114E-001, 3.4299762E+001, 1.9047588E+000
 3.1250003E-001, 3.3722427E+001, 1.8291888E+000
 3.2638892E-001, 3.3129238E+001, 1.7607197E+000
 3.4027781E-001, 3.2521379E+001, 1.6889193E+000
 3.5416670E-001, 3.1900049E+001, 1.6245626E+000
 3.6805559E-001, 3.1266456E+001, 1.5566414E+000
 3.8194448E-001, 3.0621810E+001, 1.4954574E+000
 3.9583337E-001, 2.9967323E+001, 1.4268645E+000
 4.0972226E-001, 2.9304205E+001, 1.3683262E+000
 4.2361115E-001, 2.8633658E+001, 1.3001282E+000
 4.3750004E-001, 2.7956874E+001, 1.2441637E+000
 4.5138893E-001, 2.7275033E+001, 1.1782608E+000
 4.6527782E-001, 2.6589298E+001, 1.1257823E+000
 4.7916671E-001, 2.5900810E+001, 1.0669125E+000
 4.9305560E-001, 2.5210689E+001, 1.0192864E+000
