s,Pa,kg/m3,kW,kW
Time,p0,rho,Q1-0,Q2-0
 0.0000000E+000, 1.0132500E+005, 1.1229154E+000,-1.7268727E-002, 0.0000000E+000
 1.0023291E+000, 1.0334528E+005, 1.1493546E+000,-4.9104994E-003, 1.3737568E-003
 2.0058139E+000, 1.0428024E+005, 1.1600761E+000,-3.0663356E-003, 2.5199418E-003
 3.0010843E+000, 1.0453863E+005, 1.1573389E+000,-3.1731861E-003, 2.9579563E-003
 4.0034134E+000, 1.0461286E+005, 1.1446815E+000,-3.0937067E-003, 3.0568751E-003
 5.0027256E+000, 1.0460704E+005, 1.1654761E+000,-2.9067315E-003, 2.8965464E-003
 6.0047249E+000, 1.0458956E+005, 1.1770733E+000,-2.8685548E-003, 2.8604714E-003
 7.0055362E+000, 1.0458586E+005, 1.1761722E+000,-2.9703361E-003, 2.9349552E-003
 8.0040828E+000, 1.0458605E+005, 1.1491343E+000,-2.9478718E-003, 2.9479315E-003
 9.0059825E+000, 1.0460042E+005, 1.1340090E+000,-2.9939469E-003, 2.9178819E-003
 1.0004406E+001, 1.0462098E+005, 1.1509542E+000,-2.9574426E-003, 2.9587346E-003
 1.1000453E+001, 1.0458046E+005, 1.1739517E+000,-2.9581204E-003, 2.9721953E-003
 1.2003202E+001, 1.0456768E+005, 1.1808125E+000,-3.0448991E-003, 3.0048466E-003
 1.3000000E+001, 1.0460937E+005, 1.1404745E+000,-2.9966392E-003, 2.9503480E-003
