s,kW
Time,"HF"
 0.0000000E+000, 0.0000000E+000
 2.5055357E-001, 3.0401970E-003
 5.0009560E-001, 3.4630437E+000
 7.5002835E-001, 4.5715995E+000
 1.0004940E+000, 4.9114307E+000
 1.2504268E+000, 4.7622288E+000
 1.5000922E+000, 4.8867164E+000
 1.7504214E+000, 4.8768920E+000
 2.0002407E+000, 4.9258255E+000
 2.2500600E+000, 4.9450317E+000
 2.5000000E+000, 4.7022077E+000
