m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-x,Q1-1,YP1-1,ZP1-1,Q1-2-x,Q1-2,YP1-2,ZP1-2,Q1-3-x,Q1-3,YP1-3,ZP1-3,Q1-4-x,Q1-4,YP1-4,ZP1-4,Q1-5-x,Q1-5,YP1-5,ZP1-5,Q2-1-x,Q2-1,YP2-1,ZP2-1,Q2-2-x,Q2-2,YP2-2,ZP2-2,Q2-3-x,Q2-3,YP2-3,ZP2-3,Q2-4-x,Q2-4,YP2-4,ZP2-4,Q2-5-x,Q2-5,YP2-5,ZP2-5
-4.0000000E+001,-6.4843931E-002, 1.4735052E+003, 3.7664334E+000,-4.0000000E+001,-6.4409467E-002, 1.7565269E+003, 3.9458927E+000,-4.0000000E+001,-6.2925743E-002, 1.9128446E+003, 4.0551512E+000,-4.0000000E+001,-6.1272372E-002, 1.7254243E+003, 3.9845747E+000,-4.0000000E+001,-6.0472331E-002, 1.5876755E+003, 3.8230591E+000,-4.0000000E+001, 6.2331313E-002, 1.6349729E+003, 3.8123757E+000,-4.0000000E+001, 6.3405391E-002, 1.7516353E+003, 3.9189263E+000,-4.0000000E+001, 6.5022150E-002, 1.9089511E+003, 3.9197062E+000,-4.0000000E+001, 6.6090558E-002, 1.6014634E+003, 3.7639950E+000,-4.0000000E+001, 6.6367337E-002, 1.4158954E+003, 3.7127743E+000
-3.7241379E+001,-6.4703445E-002, 1.4383825E+003, 3.7578974E+000,-3.7241379E+001,-6.4344458E-002, 1.7104222E+003, 3.9710329E+000,-3.7241379E+001,-6.2862411E-002, 1.9143554E+003, 3.9637557E+000,-3.7241379E+001,-6.1171487E-002, 1.7589608E+003, 3.9701548E+000,-3.7241379E+001,-6.0300851E-002, 1.6360232E+003, 3.7516403E+000,-3.7241379E+001, 6.2438879E-002, 1.6368010E+003, 3.8140615E+000,-3.7241379E+001, 6.3369903E-002, 1.7173528E+003, 3.7710608E+000,-3.7241379E+001, 6.5026276E-002, 1.9043410E+003, 3.8503122E+000,-3.7241379E+001, 6.6193601E-002, 1.5914026E+003, 3.7373153E+000,-3.7241379E+001, 6.6449580E-002, 1.3931872E+003, 3.6909499E+000
-3.4482759E+001,-6.4637610E-002, 1.4331944E+003, 3.7350512E+000,-3.4482759E+001,-6.4234208E-002, 1.7104901E+003, 3.9800489E+000,-3.4482759E+001,-6.2911896E-002, 1.8914604E+003, 4.1176000E+000,-3.4482759E+001,-6.1049833E-002, 1.7383906E+003, 3.8638358E+000,-3.4482759E+001,-6.0198667E-002, 1.6372129E+003, 3.8345906E+000,-3.4482759E+001, 6.2478988E-002, 1.6298265E+003, 3.7526804E+000,-3.4482759E+001, 6.3451081E-002, 1.7282409E+003, 3.8485490E+000,-3.4482759E+001, 6.5086423E-002, 1.9132005E+003, 3.8831502E+000,-3.4482759E+001, 6.6286001E-002, 1.5497805E+003, 3.7074976E+000,-3.4482759E+001, 6.6524148E-002, 1.3392707E+003, 3.7170869E+000
-3.1724138E+001,-6.4525130E-002, 1.4350918E+003, 3.7384581E+000,-3.1724138E+001,-6.4112980E-002, 1.6926401E+003, 3.8982264E+000,-3.1724138E+001,-6.2919237E-002, 1.8853581E+003, 4.1538209E+000,-3.1724138E+001,-6.0975782E-002, 1.6978601E+003, 3.9075197E+000,-3.1724138E+001,-6.0077935E-002, 1.6501499E+003, 3.8404864E+000,-3.1724138E+001, 6.2488666E-002, 1.5858605E+003, 3.7330605E+000,-3.1724138E+001, 6.3512371E-002, 1.7247764E+003, 3.8829670E+000,-3.1724138E+001, 6.5114383E-002, 1.9292696E+003, 3.8974322E+000,-3.1724138E+001, 6.6361921E-002, 1.5405648E+003, 3.6905669E+000,-3.1724138E+001, 6.6566581E-002, 1.2688981E+003, 3.7074544E+000
-2.8965517E+001,-6.4427238E-002, 1.4028360E+003, 3.7224092E+000,-2.8965517E+001,-6.3974650E-002, 1.6897674E+003, 3.9152723E+000,-2.8965517E+001,-6.2944125E-002, 1.9125968E+003, 4.1737390E+000,-2.8965517E+001,-6.0884198E-002, 1.7246582E+003, 3.7864154E+000,-2.8965517E+001,-5.9942601E-002, 1.6475905E+003, 3.9065121E+000,-2.8965517E+001, 6.2541573E-002, 1.5590951E+003, 3.7321687E+000,-2.8965517E+001, 6.3496953E-002, 1.6855515E+003, 3.7421005E+000,-2.8965517E+001, 6.5117522E-002, 1.9006026E+003, 3.9368837E+000,-2.8965517E+001, 6.6395677E-002, 1.4966301E+003, 3.7031888E+000,-2.8965517E+001, 6.6687761E-002, 1.2536703E+003, 3.7198375E+000
-2.6206897E+001,-6.4316168E-002, 1.3827062E+003, 3.6739762E+000,-2.6206897E+001,-6.3855073E-002, 1.6782133E+003, 3.8984134E+000,-2.6206897E+001,-6.2883832E-002, 1.8786065E+003, 4.1400908E+000,-2.6206897E+001,-6.0873701E-002, 1.7222394E+003, 3.8171920E+000,-2.6206897E+001,-5.9864114E-002, 1.6469880E+003, 3.9060929E+000,-2.6206897E+001, 6.2622815E-002, 1.5870210E+003, 3.7373061E+000,-2.6206897E+001, 6.3586393E-002, 1.6780632E+003, 3.7978739E+000,-2.6206897E+001, 6.5120525E-002, 1.8892695E+003, 3.9139529E+000,-2.6206897E+001, 6.6375614E-002, 1.4607457E+003, 3.6665962E+000,-2.6206897E+001, 6.6754779E-002, 1.1941158E+003, 3.6996612E+000
-2.3448276E+001,-6.4235083E-002, 1.3571779E+003, 3.6682999E+000,-2.3448276E+001,-6.3743475E-002, 1.6657756E+003, 3.7953003E+000,-2.3448276E+001,-6.2894312E-002, 1.8735498E+003, 4.1323113E+000,-2.3448276E+001,-6.0914189E-002, 1.7102940E+003, 3.8536953E+000,-2.3448276E+001,-5.9777229E-002, 1.5508972E+003, 3.8706127E+000,-2.3448276E+001, 6.2732124E-002, 1.5489374E+003, 3.8176712E+000,-2.3448276E+001, 6.3645365E-002, 1.7162647E+003, 3.8627735E+000,-2.3448276E+001, 6.5074335E-002, 1.9031391E+003, 3.9148948E+000,-2.3448276E+001, 6.6374401E-002, 1.4743587E+003, 3.6920244E+000,-2.3448276E+001, 6.6778725E-002, 1.2098814E+003, 3.6947050E+000
-2.0689655E+001,-6.4172294E-002, 1.3567473E+003, 3.6847681E+000,-2.0689655E+001,-6.3741008E-002, 1.6887767E+003, 3.8174085E+000,-2.0689655E+001,-6.2812366E-002, 1.8523509E+003, 3.9750202E+000,-2.0689655E+001,-6.0988749E-002, 1.6951799E+003, 3.8800149E+000,-2.0689655E+001,-5.9646935E-002, 1.5527789E+003, 3.7905779E+000,-2.0689655E+001, 6.2797436E-002, 1.5098425E+003, 3.7888097E+000,-2.0689655E+001, 6.3684213E-002, 1.7281488E+003, 3.8586416E+000,-2.0689655E+001, 6.5107658E-002, 1.9095237E+003, 3.9116765E+000,-2.0689655E+001, 6.6328897E-002, 1.4936938E+003, 3.6837677E+000,-2.0689655E+001, 6.6753297E-002, 1.1719599E+003, 3.6968201E+000
-1.7931034E+001,-6.4096044E-002, 1.3263656E+003, 3.6479176E+000,-1.7931034E+001,-6.3739895E-002, 1.6962904E+003, 3.8726249E+000,-1.7931034E+001,-6.2767605E-002, 1.8377627E+003, 4.0342143E+000,-1.7931034E+001,-6.0926132E-002, 1.6709788E+003, 3.8385294E+000,-1.7931034E+001,-5.9581934E-002, 1.5807380E+003, 3.7782397E+000,-1.7931034E+001, 6.2874100E-002, 1.4928190E+003, 3.7589345E+000,-1.7931034E+001, 6.3695079E-002, 1.7194788E+003, 3.8674905E+000,-1.7931034E+001, 6.5098136E-002, 1.8542551E+003, 3.9254765E+000,-1.7931034E+001, 6.6258625E-002, 1.4994263E+003, 3.6691895E+000,-1.7931034E+001, 6.6747617E-002, 1.1401917E+003, 3.6903952E+000
