m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-x,Q1-1,YP1-1,ZP1-1,Q1-2-x,Q1-2,YP1-2,ZP1-2,Q1-3-x,Q1-3,YP1-3,ZP1-3,Q1-4-x,Q1-4,YP1-4,ZP1-4,Q1-5-x,Q1-5,YP1-5,ZP1-5,Q2-1-x,Q2-1,YP2-1,ZP2-1,Q2-2-x,Q2-2,YP2-2,ZP2-2,Q2-3-x,Q2-3,YP2-3,ZP2-3,Q2-4-x,Q2-4,YP2-4,ZP2-4,Q2-5-x,Q2-5,YP2-5,ZP2-5
-4.0006250E+000,-4.5410616E-001, 5.0996384E+001, 3.8997258E+000,-4.0006250E+000,-4.6267265E-001, 4.9918873E+001, 3.9061801E+000,-4.0006250E+000,-4.5646406E-001, 5.1432805E+001, 3.9014283E+000,-4.0006250E+000,-4.3676346E-001, 5.3541057E+001, 3.8864261E+000,-4.0006250E+000,-4.2111491E-001, 5.1260145E+001, 3.8741016E+000,-4.0006250E+000, 4.1089227E-001, 5.0491150E+001, 3.9820398E+000,-4.0006250E+000, 4.0261829E-001, 4.8105736E+001, 3.9793916E+000,-4.0006250E+000, 4.0863727E-001, 5.0422936E+001, 3.9813200E+000,-4.0006250E+000, 4.2024066E-001, 5.1582927E+001, 3.9848528E+000,-4.0006250E+000, 4.3421781E-001, 5.0176508E+001, 3.9889631E+000
-3.7241379E+000,-4.5131870E-001, 5.1201703E+001, 3.8975998E+000,-3.7241379E+000,-4.5785266E-001, 5.1025648E+001, 3.9025565E+000,-3.7241379E+000,-4.5483556E-001, 5.2124833E+001, 3.9002168E+000,-3.7241379E+000,-4.3488783E-001, 5.3466890E+001, 3.8849029E+000,-3.7241379E+000,-4.1763634E-001, 5.1248826E+001, 3.8713065E+000,-3.7241379E+000, 4.1305432E-001, 5.0958778E+001, 3.9826888E+000,-3.7241379E+000, 4.0482408E-001, 4.9133126E+001, 3.9800760E+000,-3.7241379E+000, 4.1137064E-001, 5.0783879E+001, 3.9821880E+000,-3.7241379E+000, 4.2172737E-001, 5.2152773E+001, 3.9852788E+000,-3.7241379E+000, 4.3670331E-001, 4.9689784E+001, 3.9896690E+000
-3.4482759E+000,-4.4962952E-001, 5.2126418E+001, 3.8963674E+000,-3.4482759E+000,-4.5426586E-001, 5.0553268E+001, 3.8998390E+000,-3.4482759E+000,-4.5273282E-001, 5.1865633E+001, 3.8986429E+000,-3.4482759E+000,-4.3035893E-001, 5.3299094E+001, 3.8813339E+000,-3.4482759E+000,-4.1407054E-001, 4.9937569E+001, 3.8684084E+000,-3.4482759E+000, 4.1497238E-001, 5.0957761E+001, 3.9832846E+000,-3.4482759E+000, 4.0596601E-001, 4.8899163E+001, 3.9804383E+000,-3.4482759E+000, 4.1244233E-001, 5.1556041E+001, 3.9825045E+000,-3.4482759E+000, 4.2385908E-001, 5.2847839E+001, 3.9859302E+000,-3.4482759E+000, 4.3805024E-001, 4.9685311E+001, 3.9900246E+000
-3.1724138E+000,-4.4593176E-001, 5.2155741E+001, 3.8935138E+000,-3.1724138E+000,-4.5113568E-001, 5.0019799E+001, 3.8974650E+000,-3.1724138E+000,-4.4886058E-001, 5.2128062E+001, 3.8956724E+000,-3.1724138E+000,-4.2833757E-001, 5.2317812E+001, 3.8797958E+000,-3.1724138E+000,-4.1151932E-001, 4.9250273E+001, 3.8663434E+000,-3.1724138E+000, 4.1671848E-001, 5.0826596E+001, 3.9838069E+000,-3.1724138E+000, 4.0737773E-001, 4.9401190E+001, 3.9808839E+000,-3.1724138E+000, 4.1461511E-001, 5.1850745E+001, 3.9831591E+000,-3.1724138E+000, 4.2509614E-001, 5.3406286E+001, 3.9862746E+000,-3.1724138E+000, 4.3998798E-001, 4.9992538E+001, 3.9905679E+000
-2.8965517E+000,-4.4420451E-001, 5.1944099E+001, 3.8922131E+000,-2.8965517E+000,-4.4826696E-001, 4.9435490E+001, 3.8952750E+000,-2.8965517E+000,-4.4543767E-001, 5.2268962E+001, 3.8930382E+000,-2.8965517E+000,-4.2502066E-001, 5.1584080E+001, 3.8771488E+000,-2.8965517E+000,-4.1039059E-001, 4.8873758E+001, 3.8654776E+000,-2.8965517E+000, 4.1785314E-001, 5.0724652E+001, 3.9841441E+000,-2.8965517E+000, 4.0948049E-001, 4.9931198E+001, 3.9815563E+000,-2.8965517E+000, 4.1583334E-001, 5.0802802E+001, 3.9835282E+000,-2.8965517E+000, 4.2670599E-001, 5.4428734E+001, 3.9867486E+000,-2.8965517E+000, 4.4262924E-001, 4.9820039E+001, 3.9913057E+000
-2.6206897E+000,-4.4051091E-001, 5.1319982E+001, 3.8893007E+000,-2.6206897E+000,-4.4498528E-001, 4.9233828E+001, 3.8927575E+000,-2.6206897E+000,-4.4368971E-001, 5.1856703E+001, 3.8917134E+000,-2.6206897E+000,-4.2335516E-001, 5.2365824E+001, 3.8758508E+000,-2.6206897E+000,-4.0899285E-001, 4.8846390E+001, 3.8643133E+000,-2.6206897E+000, 4.1864210E-001, 5.0276455E+001, 3.9843746E+000,-2.6206897E+000, 4.1135161E-001, 4.9460251E+001, 3.9821277E+000,-2.6206897E+000, 4.1695776E-001, 5.1354697E+001, 3.9838490E+000,-2.6206897E+000, 4.3031318E-001, 5.4260498E+001, 3.9878093E+000,-2.6206897E+000, 4.4405787E-001, 5.0047652E+001, 3.9916715E+000
-2.3448276E+000,-4.3742777E-001, 5.0753225E+001, 3.8868896E+000,-2.3448276E+000,-4.4256951E-001, 4.9248178E+001, 3.8908605E+000,-2.3448276E+000,-4.4235169E-001, 5.1798815E+001, 3.8907254E+000,-2.3448276E+000,-4.2128009E-001, 5.2026316E+001, 3.8742059E+000,-2.3448276E+000,-4.0712913E-001, 4.8877895E+001, 3.8628156E+000,-2.3448276E+000, 4.2140950E-001, 5.0895112E+001, 3.9852257E+000,-2.3448276E+000, 4.1399522E-001, 4.9747014E+001, 3.9829537E+000,-2.3448276E+000, 4.1876536E-001, 5.2245361E+001, 3.9844123E+000,-2.3448276E+000, 4.3269303E-001, 5.4675927E+001, 3.9885184E+000,-2.3448276E+000, 4.4392545E-001, 4.9662285E+001, 3.9916138E+000
-2.0689655E+000,-4.3415731E-001, 4.9242246E+001, 3.8843601E+000,-2.0689655E+000,-4.4230757E-001, 4.9061895E+001, 3.8906399E+000,-2.0689655E+000,-4.4103330E-001, 5.0903685E+001, 3.8896711E+000,-2.0689655E+000,-4.1991060E-001, 5.1110684E+001, 3.8731131E+000,-2.0689655E+000,-4.0632638E-001, 4.8460190E+001, 3.8621602E+000,-2.0689655E+000, 4.2329249E-001, 5.1253446E+001, 3.9857692E+000,-2.0689655E+000, 4.1473088E-001, 4.9583037E+001, 3.9831326E+000,-2.0689655E+000, 4.2184736E-001, 5.2624776E+001, 3.9853557E+000,-2.0689655E+000, 4.3405904E-001, 5.4964723E+001, 3.9889291E+000,-2.0689655E+000, 4.4605846E-001, 4.9354186E+001, 3.9922044E+000
-1.7931034E+000,-4.3145502E-001, 4.9117154E+001, 3.8822764E+000,-1.7931034E+000,-4.4002762E-001, 4.9110453E+001, 3.8889104E+000,-1.7931034E+000,-4.3958043E-001, 5.0314805E+001, 3.8885747E+000,-1.7931034E+000,-4.1783639E-001, 5.0390221E+001, 3.8714346E+000,-1.7931034E+000,-4.0602822E-001, 4.7449723E+001, 3.8619189E+000,-1.7931034E+000, 4.2445098E-001, 5.1033926E+001, 3.9861071E+000,-1.7931034E+000, 4.1772871E-001, 4.8251760E+001, 3.9840295E+000,-1.7931034E+000, 4.2404523E-001, 5.3369228E+001, 3.9859818E+000,-1.7931034E+000, 4.3468606E-001, 5.4178671E+001, 3.9891055E+000,-1.7931034E+000, 4.4676058E-001, 5.0295566E+001, 3.9923858E+000
