m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-z,Q1-1,YP1-1,ZP1-1,Q1-2-z,Q1-2,YP1-2,ZP1-2,Q1-3-z,Q1-3,YP1-3,ZP1-3,Q1-4-z,Q1-4,YP1-4,ZP1-4,Q1-5-z,Q1-5,YP1-5,ZP1-5,Q2-1-z,Q2-1,YP2-1,ZP2-1,Q2-2-z,Q2-2,YP2-2,ZP2-2,Q2-3-z,Q2-3,YP2-3,ZP2-3,Q2-4-z,Q2-4,YP2-4,ZP2-4,Q2-5-z,Q2-5,YP2-5,ZP2-5
 1.9993750E-003,-9.1318090E-002, 1.4802883E-002, 1.0000000E+000, 1.9993750E-003,-9.1318093E-002, 1.4802885E-002, 1.0000000E+000, 1.9993750E-003,-9.1318090E-002, 1.4802878E-002, 1.0000000E+000, 1.9993750E-003,-9.1318093E-002, 1.4802884E-002, 1.0000000E+000, 1.9993750E-003,-9.1318090E-002, 1.4802882E-002, 1.0000000E+000, 1.9993750E-003, 9.0844738E-002, 1.5083095E-002, 1.0000000E+000, 1.9993750E-003, 9.0844741E-002, 1.5083094E-002, 1.0000000E+000, 1.9993750E-003, 9.0844738E-002, 1.5083100E-002, 1.0000000E+000, 1.9993750E-003, 9.0844741E-002, 1.5083094E-002, 1.0000000E+000, 1.9993750E-003, 9.0844738E-002, 1.5083096E-002, 1.0000000E+000
 2.9655172E-003,-9.1132516E-002, 1.4846541E-002, 1.0000000E+000, 2.9655172E-003,-9.1132519E-002, 1.4846542E-002, 1.0000000E+000, 2.9655172E-003,-9.1132516E-002, 1.4846527E-002, 1.0000000E+000, 2.9655172E-003,-9.1132519E-002, 1.4846542E-002, 1.0000000E+000, 2.9655172E-003,-9.1132516E-002, 1.4846538E-002, 1.0000000E+000, 2.9655172E-003, 9.1028814E-002, 1.5144852E-002, 1.0000000E+000, 2.9655172E-003, 9.1028816E-002, 1.5144850E-002, 1.0000000E+000, 2.9655172E-003, 9.1028814E-002, 1.5144865E-002, 1.0000000E+000, 2.9655172E-003, 9.1028816E-002, 1.5144850E-002, 1.0000000E+000, 2.9655172E-003, 9.1028814E-002, 1.5144854E-002, 1.0000000E+000
 3.9310345E-003,-9.1090836E-002, 1.4826722E-002, 1.0000000E+000, 3.9310345E-003,-9.1090839E-002, 1.4826724E-002, 1.0000000E+000, 3.9310345E-003,-9.1090836E-002, 1.4826705E-002, 1.0000000E+000, 3.9310345E-003,-9.1090839E-002, 1.4826723E-002, 1.0000000E+000, 3.9310345E-003,-9.1090836E-002, 1.4826719E-002, 1.0000000E+000, 3.9310345E-003, 9.1069851E-002, 1.5129125E-002, 1.0000000E+000, 3.9310345E-003, 9.1069854E-002, 1.5129124E-002, 1.0000000E+000, 3.9310345E-003, 9.1069851E-002, 1.5129142E-002, 1.0000000E+000, 3.9310345E-003, 9.1069854E-002, 1.5129125E-002, 1.0000000E+000, 3.9310345E-003, 9.1069851E-002, 1.5129129E-002, 1.0000000E+000
 4.8965517E-003,-9.1082033E-002, 1.4820808E-002, 1.0000000E+000, 4.8965517E-003,-9.1082036E-002, 1.4820810E-002, 1.0000000E+000, 4.8965517E-003,-9.1082033E-002, 1.4820782E-002, 1.0000000E+000, 4.8965517E-003,-9.1082036E-002, 1.4820809E-002, 1.0000000E+000, 4.8965517E-003,-9.1082033E-002, 1.4820804E-002, 1.0000000E+000, 4.8965517E-003, 9.1078480E-002, 1.5128590E-002, 1.0000000E+000, 4.8965517E-003, 9.1078483E-002, 1.5128588E-002, 1.0000000E+000, 4.8965517E-003, 9.1078480E-002, 1.5128615E-002, 1.0000000E+000, 4.8965517E-003, 9.1078483E-002, 1.5128589E-002, 1.0000000E+000, 4.8965517E-003, 9.1078480E-002, 1.5128594E-002, 1.0000000E+000
 5.8620690E-003,-9.1080474E-002, 1.4820000E-002, 1.0000000E+000, 5.8620690E-003,-9.1080476E-002, 1.4820002E-002, 1.0000000E+000, 5.8620690E-003,-9.1080474E-002, 1.4819972E-002, 1.0000000E+000, 5.8620690E-003,-9.1080477E-002, 1.4820001E-002, 1.0000000E+000, 5.8620690E-003,-9.1080474E-002, 1.4819996E-002, 1.0000000E+000, 5.8620690E-003, 9.1080002E-002, 1.5129274E-002, 1.0000000E+000, 5.8620690E-003, 9.1080004E-002, 1.5129272E-002, 1.0000000E+000, 5.8620690E-003, 9.1080002E-002, 1.5129301E-002, 1.0000000E+000, 5.8620690E-003, 9.1080004E-002, 1.5129273E-002, 1.0000000E+000, 5.8620690E-003, 9.1080002E-002, 1.5129278E-002, 1.0000000E+000
 6.8275862E-003,-9.1080135E-002, 1.4817716E-002, 1.0000000E+000, 6.8275862E-003,-9.1080138E-002, 1.4817719E-002, 1.0000000E+000, 6.8275862E-003,-9.1080136E-002, 1.4817681E-002, 1.0000000E+000, 6.8275862E-003,-9.1080138E-002, 1.4817718E-002, 1.0000000E+000, 6.8275862E-003,-9.1080136E-002, 1.4817712E-002, 1.0000000E+000, 6.8275862E-003, 9.1080337E-002, 1.5131590E-002, 1.0000000E+000, 6.8275862E-003, 9.1080339E-002, 1.5131587E-002, 1.0000000E+000, 6.8275862E-003, 9.1080337E-002, 1.5131624E-002, 1.0000000E+000, 6.8275862E-003, 9.1080339E-002, 1.5131588E-002, 1.0000000E+000, 6.8275862E-003, 9.1080337E-002, 1.5131594E-002, 1.0000000E+000
 7.7931034E-003,-9.1080070E-002, 1.4817119E-002, 1.0000000E+000, 7.7931034E-003,-9.1080072E-002, 1.4817122E-002, 1.0000000E+000, 7.7931034E-003,-9.1080070E-002, 1.4817083E-002, 1.0000000E+000, 7.7931034E-003,-9.1080072E-002, 1.4817122E-002, 1.0000000E+000, 7.7931034E-003,-9.1080070E-002, 1.4817115E-002, 1.0000000E+000, 7.7931034E-003, 9.1080400E-002, 1.5132182E-002, 1.0000000E+000, 7.7931034E-003, 9.1080401E-002, 1.5132180E-002, 1.0000000E+000, 7.7931034E-003, 9.1080399E-002, 1.5132218E-002, 1.0000000E+000, 7.7931034E-003, 9.1080401E-002, 1.5132180E-002, 1.0000000E+000, 7.7931034E-003, 9.1080399E-002, 1.5132186E-002, 1.0000000E+000
 8.7586207E-003,-9.1080057E-002, 1.4815127E-002, 1.0000000E+000, 8.7586207E-003,-9.1080059E-002, 1.4815130E-002, 1.0000000E+000, 8.7586207E-003,-9.1080058E-002, 1.4815085E-002, 1.0000000E+000, 8.7586207E-003,-9.1080060E-002, 1.4815131E-002, 1.0000000E+000, 8.7586207E-003,-9.1080058E-002, 1.4815123E-002, 1.0000000E+000, 8.7586207E-003, 9.1080415E-002, 1.5134122E-002, 1.0000000E+000, 8.7586207E-003, 9.1080416E-002, 1.5134119E-002, 1.0000000E+000, 8.7586207E-003, 9.1080414E-002, 1.5134162E-002, 1.0000000E+000, 8.7586207E-003, 9.1080416E-002, 1.5134118E-002, 1.0000000E+000, 8.7586207E-003, 9.1080414E-002, 1.5134125E-002, 1.0000000E+000
 9.7241379E-003,-9.1080055E-002, 1.4814649E-002, 1.0000000E+000, 9.7241379E-003,-9.1080056E-002, 1.4814652E-002, 1.0000000E+000, 9.7241379E-003,-9.1080055E-002, 1.4814606E-002, 1.0000000E+000, 9.7241379E-003,-9.1080057E-002, 1.4814653E-002, 1.0000000E+000, 9.7241379E-003,-9.1080055E-002, 1.4814646E-002, 1.0000000E+000, 9.7241379E-003, 9.1080417E-002, 1.5134586E-002, 1.0000000E+000, 9.7241379E-003, 9.1080418E-002, 1.5134583E-002, 1.0000000E+000, 9.7241379E-003, 9.1080416E-002, 1.5134628E-002, 1.0000000E+000, 9.7241379E-003, 9.1080417E-002, 1.5134582E-002, 1.0000000E+000, 9.7241379E-003, 9.1080416E-002, 1.5134589E-002, 1.0000000E+000
