s,kW,kW
Time,qdot1,qdot2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0098100E+000, 3.6700390E-003, 5.8253058E-003
 2.0000810E+000, 7.0773244E-003, 1.3121790E-002
 3.0067498E+000, 7.7028471E-003, 1.4523785E-002
 4.0134187E+000, 7.7283322E-003, 1.4793029E-002
 5.0200876E+000, 7.8315025E-003, 1.4811160E-002
 6.0267564E+000, 7.8408678E-003, 1.4842618E-002
 7.0019669E+000, 7.8316384E-003, 1.4843225E-002
 8.0086357E+000, 7.8533984E-003, 1.4832048E-002
 9.0153046E+000, 7.8318198E-003, 1.4841900E-002
 1.0000000E+001, 7.8345037E-003, 1.4847742E-002
