s,kW/m2,kW/m2,Pa,kg/m3
Time,Q1-0,Q2-0,p0,rho
 0.0000000E+000,-1.2694577E-003, 1.2713772E-003, 1.0132500E+005, 1.1954478E+000
 1.0085864E+002,-1.2346157E-003, 1.2369141E-003, 1.0132500E+005, 1.1954478E+000
 2.0082473E+002,-1.1692913E-003, 1.1765762E-003, 1.0132499E+005, 1.1954478E+000
 3.0079082E+002,-1.1169184E-003, 1.1462210E-003, 1.0132499E+005, 1.1954597E+000
 4.0075691E+002,-1.1163227E-003, 1.1500911E-003, 1.0132498E+005, 1.1955742E+000
 5.0072300E+002,-1.1590842E-003, 1.1658208E-003, 1.0132498E+005, 1.1955806E+000
 6.0068909E+002,-1.2482550E-003, 1.2224731E-003, 1.0132497E+005, 1.1955262E+000
 7.0065518E+002,-1.2764726E-003, 1.2223712E-003, 1.0132497E+005, 1.1955074E+000
 8.0062126E+002,-1.2686386E-003, 1.2187130E-003, 1.0132496E+005, 1.1954877E+000
 9.0058735E+002,-1.2666061E-003, 1.2324130E-003, 1.0132495E+005, 1.1955120E+000
 1.0005534E+003,-1.2687844E-003, 1.2190713E-003, 1.0132495E+005, 1.1954967E+000
 1.1005195E+003,-1.2635376E-003, 1.1789234E-003, 1.0132495E+005, 1.1954218E+000
 1.2004856E+003,-1.2630020E-003, 1.1895611E-003, 1.0132495E+005, 1.1954588E+000
 1.3004517E+003,-1.2414798E-003, 1.2025892E-003, 1.0132494E+005, 1.1954877E+000
 1.4004178E+003,-1.2265390E-003, 1.2075153E-003, 1.0132494E+005, 1.1955291E+000
 1.5003839E+003,-1.2623601E-003, 1.2223342E-003, 1.0132493E+005, 1.1955129E+000
 1.6003500E+003,-1.2654199E-003, 1.2342227E-003, 1.0132492E+005, 1.1955156E+000
 1.7003161E+003,-1.2815496E-003, 1.2370626E-003, 1.0132492E+005, 1.1954734E+000
 1.8002822E+003,-1.2627797E-003, 1.2148488E-003, 1.0132492E+005, 1.1954448E+000
 1.9002482E+003,-1.2587926E-003, 1.2420645E-003, 1.0132492E+005, 1.1954681E+000
 2.0002143E+003,-1.2796718E-003, 1.2482723E-003, 1.0132491E+005, 1.1954692E+000
 2.1001804E+003,-1.2735997E-003, 1.2410421E-003, 1.0132490E+005, 1.1954721E+000
 2.2001465E+003,-1.2582194E-003, 1.2274792E-003, 1.0132489E+005, 1.1954890E+000
 2.3001126E+003,-1.2665922E-003, 1.2024812E-003, 1.0132489E+005, 1.1954715E+000
 2.4000787E+003,-1.2569963E-003, 1.1901408E-003, 1.0132488E+005, 1.1955017E+000
 2.5000448E+003,-1.2736104E-003, 1.1939874E-003, 1.0132488E+005, 1.1955527E+000
 2.6000109E+003,-1.2791777E-003, 1.1865788E-003, 1.0132488E+005, 1.1956087E+000
 2.7008695E+003,-1.2869315E-003, 1.2289239E-003, 1.0132488E+005, 1.1955643E+000
 2.8008356E+003,-1.3300104E-003, 1.2097727E-003, 1.0132488E+005, 1.1955138E+000
 2.9008017E+003,-1.3160256E-003, 1.1696083E-003, 1.0132488E+005, 1.1955178E+000
 3.0007678E+003,-1.3262576E-003, 1.1474794E-003, 1.0132488E+005, 1.1956397E+000
 3.1007339E+003,-1.3268909E-003, 1.2095744E-003, 1.0132487E+005, 1.1955491E+000
 3.2006999E+003,-1.3030322E-003, 1.1974908E-003, 1.0132486E+005, 1.1955280E+000
 3.3006660E+003,-1.3066429E-003, 1.2046571E-003, 1.0132486E+005, 1.1955766E+000
 3.4006321E+003,-1.3101707E-003, 1.2168631E-003, 1.0132487E+005, 1.1955264E+000
 3.5005982E+003,-1.2764967E-003, 1.1843450E-003, 1.0132487E+005, 1.1954923E+000
 3.6005643E+003,-1.2288693E-003, 1.1656211E-003, 1.0132487E+005, 1.1955823E+000
 3.7005304E+003,-1.2501834E-003, 1.1583361E-003, 1.0132487E+005, 1.1956155E+000
 3.8004965E+003,-1.2914423E-003, 1.1494287E-003, 1.0132488E+005, 1.1956629E+000
 3.9004626E+003,-1.3141808E-003, 1.1462247E-003, 1.0132487E+005, 1.1957072E+000
 4.0004287E+003,-1.2907996E-003, 1.1517382E-003, 1.0132487E+005, 1.1956085E+000
 4.1003947E+003,-1.2755147E-003, 1.2028451E-003, 1.0132487E+005, 1.1955579E+000
 4.2003608E+003,-1.2366532E-003, 1.1822196E-003, 1.0132487E+005, 1.1955448E+000
 4.3003269E+003,-1.2150020E-003, 1.1849161E-003, 1.0132486E+005, 1.1955696E+000
 4.4002930E+003,-1.2107684E-003, 1.1865024E-003, 1.0132486E+005, 1.1955515E+000
 4.5002591E+003,-1.2421864E-003, 1.1814912E-003, 1.0132485E+005, 1.1954642E+000
 4.6002252E+003,-1.2489614E-003, 1.1830032E-003, 1.0132484E+005, 1.1954390E+000
 4.7001913E+003,-1.2871163E-003, 1.1888530E-003, 1.0132484E+005, 1.1954829E+000
 4.8001574E+003,-1.2827779E-003, 1.1910259E-003, 1.0132484E+005, 1.1955164E+000
 4.9001235E+003,-1.2712494E-003, 1.2099378E-003, 1.0132485E+005, 1.1955172E+000
