s,kW,kW
Time,qdot1,qdot2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2622625E+000, 1.0168443E+000, 7.3991361E+000
 2.5245250E+000, 1.4797812E+000, 1.1142462E+001
 3.1556562E+000, 1.5232650E+000, 1.1471775E+001
 4.4179187E+000, 1.5283426E+000, 1.1450869E+001
 5.0490499E+000, 1.5298315E+000, 1.1389783E+001
 6.3113124E+000, 1.5305252E+000, 1.1321616E+001
 7.5735749E+000, 1.5308083E+000, 1.1230993E+001
 8.2047062E+000, 1.5305496E+000, 1.1164852E+001
 9.4669686E+000, 1.5300197E+000, 1.1102689E+001
 1.0098100E+001, 1.5294651E+000, 1.1044450E+001
 1.1360362E+001, 1.5290389E+000, 1.0990669E+001
 1.2622625E+001, 1.5286975E+000, 1.0923153E+001
 1.3253756E+001, 1.5285730E+000, 1.0874629E+001
 1.4516019E+001, 1.5285173E+000, 1.0827811E+001
 1.5147150E+001, 1.5284774E+000, 1.0782735E+001
 1.6409412E+001, 1.5284141E+000, 1.0740906E+001
 1.7040544E+001, 1.5283048E+000, 1.0702687E+001
 1.8302806E+001, 1.5281255E+000, 1.0670109E+001
 1.9565069E+001, 1.5278172E+000, 1.0635437E+001
 2.0196200E+001, 1.5275697E+000, 1.0616500E+001
 2.1458462E+001, 1.5273488E+000, 1.0604982E+001
 2.2089593E+001, 1.5271672E+000, 1.0599582E+001
 2.3351856E+001, 1.5270352E+000, 1.0602204E+001
 2.4614118E+001, 1.5269009E+000, 1.0617338E+001
 2.5245250E+001, 1.5268090E+000, 1.0638708E+001
 2.6507512E+001, 1.5267043E+000, 1.0672612E+001
 2.7138643E+001, 1.5265824E+000, 1.0718158E+001
 2.8400906E+001, 1.5264411E+000, 1.0779486E+001
 2.9032037E+001, 1.5262912E+000, 1.0854094E+001
 3.0294300E+001, 1.5261423E+000, 1.0945162E+001
 3.1556562E+001, 1.5259595E+000, 1.1085187E+001
 3.2187693E+001, 1.5258379E+000, 1.1199457E+001
 3.3449956E+001, 1.5257296E+000, 1.1316785E+001
 3.4081087E+001, 1.5256271E+000, 1.1432477E+001
 3.5343350E+001, 1.5255246E+000, 1.1540162E+001
 3.6605612E+001, 1.5253792E+000, 1.1663152E+001
 3.7236743E+001, 1.5252610E+000, 1.1732385E+001
 3.8499006E+001, 1.5251344E+000, 1.1767641E+001
 3.9130137E+001, 1.5250031E+000, 1.1769398E+001
 4.0392400E+001, 1.5248697E+000, 1.1727438E+001
 4.1023531E+001, 1.5247370E+000, 1.1653814E+001
 4.2285793E+001, 1.5246062E+000, 1.1551209E+001
 4.3548056E+001, 1.5244335E+000, 1.1397961E+001
 4.4179187E+001, 1.5243036E+000, 1.1284742E+001
 4.5441449E+001, 1.5241711E+000, 1.1184996E+001
 4.6072581E+001, 1.5240355E+000, 1.1100390E+001
 4.7334843E+001, 1.5238950E+000, 1.1036767E+001
 4.8597106E+001, 1.5237004E+000, 1.0978878E+001
 4.9228237E+001, 1.5235491E+000, 1.0952955E+001
 5.0490499E+001, 1.5233925E+000, 1.0941511E+001
 5.1121631E+001, 1.5232318E+000, 1.0940657E+001
 5.2383893E+001, 1.5230656E+000, 1.0953814E+001
 5.3015024E+001, 1.5228941E+000, 1.0979547E+001
 5.4277287E+001, 1.5227155E+000, 1.1022392E+001
 5.5539549E+001, 1.5224668E+000, 1.1101728E+001
 5.6170681E+001, 1.5222720E+000, 1.1175513E+001
 5.7432943E+001, 1.5220683E+000, 1.1255112E+001
 5.8064074E+001, 1.5218567E+000, 1.1328432E+001
 5.9326337E+001, 1.5216345E+000, 1.1377323E+001
 6.0588599E+001, 1.5213237E+000, 1.1388890E+001
 6.1219731E+001, 1.5210808E+000, 1.1352770E+001
 6.2481993E+001, 1.5208302E+000, 1.1279894E+001
 6.3113124E+001, 1.5205745E+000, 1.1190869E+001
 6.4375387E+001, 1.5203131E+000, 1.1101865E+001
 6.5006518E+001, 1.5200473E+000, 1.1026132E+001
 6.6268780E+001, 1.5197761E+000, 1.0975199E+001
 6.7531043E+001, 1.5194067E+000, 1.0942419E+001
 6.8162174E+001, 1.5191239E+000, 1.0941120E+001
 6.9424437E+001, 1.5188350E+000, 1.0956140E+001
 7.0055568E+001, 1.5185407E+000, 1.0978701E+001
 7.1317830E+001, 1.5182404E+000, 1.1005970E+001
 7.2580093E+001, 1.5178346E+000, 1.1045532E+001
 7.3211224E+001, 1.5175293E+000, 1.1077936E+001
 7.4473487E+001, 1.5172263E+000, 1.1113932E+001
 7.5104618E+001, 1.5169281E+000, 1.1151915E+001
 7.6366880E+001, 1.5166408E+000, 1.1188631E+001
 7.7629143E+001, 1.5162806E+000, 1.1228697E+001
 7.8260274E+001, 1.5160319E+000, 1.1247925E+001
 7.9522537E+001, 1.5158084E+000, 1.1253111E+001
 8.0153668E+001, 1.5156082E+000, 1.1246856E+001
 8.1415930E+001, 1.5154415E+000, 1.1228625E+001
 8.2047062E+001, 1.5153047E+000, 1.1203999E+001
 8.3309324E+001, 1.5152095E+000, 1.1175736E+001
 8.4571587E+001, 1.5151442E+000, 1.1138891E+001
 8.5202718E+001, 1.5151437E+000, 1.1114243E+001
 8.6464980E+001, 1.5151930E+000, 1.1093938E+001
 8.7096112E+001, 1.5152823E+000, 1.1077285E+001
 8.8358374E+001, 1.5154207E+000, 1.1065356E+001
 8.9620636E+001, 1.5156684E+000, 1.1055618E+001
 9.0251768E+001, 1.5158993E+000, 1.1053050E+001
 9.1514030E+001, 1.5161724E+000, 1.1055842E+001
 9.2145161E+001, 1.5164777E+000, 1.1063352E+001
 9.3407424E+001, 1.5168197E+000, 1.1076947E+001
 9.4038555E+001, 1.5171861E+000, 1.1095353E+001
 9.5300818E+001, 1.5175754E+000, 1.1119023E+001
 9.6563080E+001, 1.5181117E+000, 1.1155200E+001
 9.7194211E+001, 1.5185181E+000, 1.1183406E+001
 9.8456474E+001, 1.5189199E+000, 1.1209297E+001
 9.9087605E+001, 1.5193135E+000, 1.1230850E+001
 1.0034987E+002, 1.5196943E+000, 1.1244148E+001
 1.0161213E+002, 1.5201825E+000, 1.1247419E+001
 1.0224326E+002, 1.5205325E+000, 1.1237833E+001
 1.0350552E+002, 1.5208641E+000, 1.1217167E+001
 1.0413666E+002, 1.5211789E+000, 1.1189978E+001
 1.0539892E+002, 1.5214687E+000, 1.1158712E+001
 1.0603005E+002, 1.5217350E+000, 1.1127529E+001
 1.0729231E+002, 1.5219677E+000, 1.1099942E+001
 1.0855457E+002, 1.5222271E+000, 1.1071504E+001
 1.0918571E+002, 1.5223801E+000, 1.1057558E+001
 1.1044797E+002, 1.5224884E+000, 1.1051481E+001
 1.1107910E+002, 1.5225588E+000, 1.1051439E+001
 1.1234136E+002, 1.5225789E+000, 1.1057930E+001
 1.1360362E+002, 1.5225334E+000, 1.1073743E+001
 1.1423475E+002, 1.5224428E+000, 1.1090308E+001
 1.1549702E+002, 1.5222952E+000, 1.1110859E+001
 1.1612815E+002, 1.5221021E+000, 1.1133945E+001
 1.1739041E+002, 1.5218529E+000, 1.1158725E+001
 1.1802154E+002, 1.5215596E+000, 1.1183203E+001
 1.1928380E+002, 1.5212123E+000, 1.1204872E+001
 1.2054607E+002, 1.5206803E+000, 1.1226989E+001
 1.2117720E+002, 1.5202310E+000, 1.1237524E+001
 1.2243946E+002, 1.5197317E+000, 1.1241861E+001
 1.2307059E+002, 1.5191926E+000, 1.1241443E+001
 1.2433285E+002, 1.5186075E+000, 1.1235525E+001
 1.2559512E+002, 1.5177763E+000, 1.1221350E+001
 1.2622625E+002, 1.5171228E+000, 1.1206831E+001
 1.2748851E+002, 1.5164507E+000, 1.1189741E+001
 1.2811964E+002, 1.5157731E+000, 1.1171661E+001
 1.2938190E+002, 1.5151030E+000, 1.1153664E+001
 1.3001304E+002, 1.5144508E+000, 1.1136792E+001
 1.3127530E+002, 1.5138350E+000, 1.1122592E+001
 1.3253756E+002, 1.5130813E+000, 1.1108824E+001
 1.3316869E+002, 1.5125751E+000, 1.1102977E+001
