s,kW,kW
Time,qdot1,qdot2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0083758E+000, 6.4755949E-003, 6.8315472E-003
 2.0032766E+000, 1.0617514E-002, 1.3153111E-002
 3.0011327E+000, 1.1258163E-002, 1.4391488E-002
 4.0016251E+000, 1.1355130E-002, 1.4770820E-002
 5.0064077E+000, 1.1358596E-002, 1.4847384E-002
 6.0040109E+000, 1.1347045E-002, 1.5009252E-002
 7.0062572E+000, 1.1332742E-002, 1.4885416E-002
 8.0003300E+000, 1.1319579E-002, 1.4946438E-002
 9.0002104E+000, 1.1311013E-002, 1.4960273E-002
 1.0000000E+001, 1.1303575E-002, 1.5017230E-002
