m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-z,Q1-1,YP1-1,ZP1-1,Q1-2-z,Q1-2,YP1-2,ZP1-2,Q1-3-z,Q1-3,YP1-3,ZP1-3,Q1-4-z,Q1-4,YP1-4,ZP1-4,Q1-5-z,Q1-5,YP1-5,ZP1-5,Q2-1-z,Q2-1,YP2-1,ZP2-1,Q2-2-z,Q2-2,YP2-2,ZP2-2,Q2-3-z,Q2-3,YP2-3,ZP2-3,Q2-4-z,Q2-4,YP2-4,ZP2-4,Q2-5-z,Q2-5,YP2-5,ZP2-5
 2.0000000E-003,-9.1309133E-002, 5.8885003E-002, 1.0000000E+000, 2.0000000E-003,-9.1309132E-002, 5.8884952E-002, 1.0000000E+000, 2.0000000E-003,-9.1309132E-002, 5.8884897E-002, 1.0000000E+000, 2.0000000E-003,-9.1309132E-002, 5.8884845E-002, 1.0000000E+000, 2.0000000E-003,-9.1309132E-002, 5.8884801E-002, 1.0000000E+000, 2.0000000E-003, 9.0872720E-002, 5.9834870E-002, 1.0000000E+000, 2.0000000E-003, 9.0872721E-002, 5.9834923E-002, 1.0000000E+000, 2.0000000E-003, 9.0872721E-002, 5.9834980E-002, 1.0000000E+000, 2.0000000E-003, 9.0872721E-002, 5.9835033E-002, 1.0000000E+000, 2.0000000E-003, 9.0872721E-002, 5.9835079E-002, 1.0000000E+000
 2.9655172E-003,-9.1160938E-002, 5.9055646E-002, 1.0000000E+000, 2.9655172E-003,-9.1160937E-002, 5.9055573E-002, 1.0000000E+000, 2.9655172E-003,-9.1160937E-002, 5.9055492E-002, 1.0000000E+000, 2.9655172E-003,-9.1160938E-002, 5.9055412E-002, 1.0000000E+000, 2.9655172E-003,-9.1160938E-002, 5.9055342E-002, 1.0000000E+000, 2.9655172E-003, 9.1019652E-002, 6.0047006E-002, 1.0000000E+000, 2.9655172E-003, 9.1019653E-002, 6.0047081E-002, 1.0000000E+000, 2.9655172E-003, 9.1019652E-002, 6.0047164E-002, 1.0000000E+000, 2.9655172E-003, 9.1019651E-002, 6.0047247E-002, 1.0000000E+000, 2.9655172E-003, 9.1019651E-002, 6.0047318E-002, 1.0000000E+000
 3.9310345E-003,-9.1103124E-002, 5.8973176E-002, 1.0000000E+000, 3.9310345E-003,-9.1103124E-002, 5.8973091E-002, 1.0000000E+000, 3.9310345E-003,-9.1103125E-002, 5.8972987E-002, 1.0000000E+000, 3.9310345E-003,-9.1103126E-002, 5.8972878E-002, 1.0000000E+000, 3.9310345E-003,-9.1103127E-002, 5.8972779E-002, 1.0000000E+000, 3.9310345E-003, 9.1076707E-002, 5.9978981E-002, 1.0000000E+000, 3.9310345E-003, 9.1076708E-002, 5.9979069E-002, 1.0000000E+000, 3.9310345E-003, 9.1076707E-002, 5.9979174E-002, 1.0000000E+000, 3.9310345E-003, 9.1076705E-002, 5.9979286E-002, 1.0000000E+000, 3.9310345E-003, 9.1076704E-002, 5.9979388E-002, 1.0000000E+000
 4.8965517E-003,-9.1092034E-002, 5.8953288E-002, 1.0000000E+000, 4.8965517E-003,-9.1092034E-002, 5.8953216E-002, 1.0000000E+000, 4.8965517E-003,-9.1092036E-002, 5.8953114E-002, 1.0000000E+000, 4.8965517E-003,-9.1092038E-002, 5.8952994E-002, 1.0000000E+000, 4.8965517E-003,-9.1092039E-002, 5.8952881E-002, 1.0000000E+000, 4.8965517E-003, 9.1087536E-002, 5.9961365E-002, 1.0000000E+000, 4.8965517E-003, 9.1087536E-002, 5.9961439E-002, 1.0000000E+000, 4.8965517E-003, 9.1087535E-002, 5.9961543E-002, 1.0000000E+000, 4.8965517E-003, 9.1087533E-002, 5.9961666E-002, 1.0000000E+000, 4.8965517E-003, 9.1087531E-002, 5.9961781E-002, 1.0000000E+000
 5.8620690E-003,-9.1090020E-002, 5.8952033E-002, 1.0000000E+000, 5.8620690E-003,-9.1090020E-002, 5.8951996E-002, 1.0000000E+000, 5.8620690E-003,-9.1090022E-002, 5.8951918E-002, 1.0000000E+000, 5.8620690E-003,-9.1090024E-002, 5.8951812E-002, 1.0000000E+000, 5.8620690E-003,-9.1090025E-002, 5.8951708E-002, 1.0000000E+000, 5.8620690E-003, 9.1089502E-002, 5.9960559E-002, 1.0000000E+000, 5.8620690E-003, 9.1089502E-002, 5.9960596E-002, 1.0000000E+000, 5.8620690E-003, 9.1089501E-002, 5.9960675E-002, 1.0000000E+000, 5.8620690E-003, 9.1089499E-002, 5.9960784E-002, 1.0000000E+000, 5.8620690E-003, 9.1089497E-002, 5.9960890E-002, 1.0000000E+000
 6.8275862E-003,-9.1089637E-002, 5.8952118E-002, 1.0000000E+000, 6.8275862E-003,-9.1089636E-002, 5.8952127E-002, 1.0000000E+000, 6.8275862E-003,-9.1089636E-002, 5.8952091E-002, 1.0000000E+000, 6.8275862E-003,-9.1089637E-002, 5.8952016E-002, 1.0000000E+000, 6.8275862E-003,-9.1089637E-002, 5.8951936E-002, 1.0000000E+000, 6.8275862E-003, 9.1089877E-002, 5.9960857E-002, 1.0000000E+000, 6.8275862E-003, 9.1089878E-002, 5.9960847E-002, 1.0000000E+000, 6.8275862E-003, 9.1089878E-002, 5.9960884E-002, 1.0000000E+000, 6.8275862E-003, 9.1089877E-002, 5.9960960E-002, 1.0000000E+000, 6.8275862E-003, 9.1089877E-002, 5.9961041E-002, 1.0000000E+000
 7.7931034E-003,-9.1089563E-002, 5.8952081E-002, 1.0000000E+000, 7.7931034E-003,-9.1089560E-002, 5.8952133E-002, 1.0000000E+000, 7.7931034E-003,-9.1089558E-002, 5.8952141E-002, 1.0000000E+000, 7.7931034E-003,-9.1089557E-002, 5.8952101E-002, 1.0000000E+000, 7.7931034E-003,-9.1089555E-002, 5.8952045E-002, 1.0000000E+000, 7.7931034E-003, 9.1089949E-002, 5.9960978E-002, 1.0000000E+000, 7.7931034E-003, 9.1089952E-002, 5.9960923E-002, 1.0000000E+000, 7.7931034E-003, 9.1089954E-002, 5.9960915E-002, 1.0000000E+000, 7.7931034E-003, 9.1089956E-002, 5.9960955E-002, 1.0000000E+000, 7.7931034E-003, 9.1089957E-002, 5.9961013E-002, 1.0000000E+000
 8.7586207E-003,-9.1089548E-002, 5.8952039E-002, 1.0000000E+000, 8.7586207E-003,-9.1089542E-002, 5.8952120E-002, 1.0000000E+000, 8.7586207E-003,-9.1089538E-002, 5.8952158E-002, 1.0000000E+000, 8.7586207E-003,-9.1089535E-002, 5.8952139E-002, 1.0000000E+000, 8.7586207E-003,-9.1089532E-002, 5.8952090E-002, 1.0000000E+000, 8.7586207E-003, 9.1089964E-002, 5.9961024E-002, 1.0000000E+000, 8.7586207E-003, 9.1089970E-002, 5.9960940E-002, 1.0000000E+000, 8.7586207E-003, 9.1089974E-002, 5.9960901E-002, 1.0000000E+000, 8.7586207E-003, 9.1089977E-002, 5.9960920E-002, 1.0000000E+000, 8.7586207E-003, 9.1089980E-002, 5.9960970E-002, 1.0000000E+000
 9.7241379E-003,-9.1089542E-002, 5.8952033E-002, 1.0000000E+000, 9.7241379E-003,-9.1089536E-002, 5.8952122E-002, 1.0000000E+000, 9.7241379E-003,-9.1089531E-002, 5.8952168E-002, 1.0000000E+000, 9.7241379E-003,-9.1089527E-002, 5.8952151E-002, 1.0000000E+000, 9.7241379E-003,-9.1089524E-002, 5.8952094E-002, 1.0000000E+000, 9.7241379E-003, 9.1089969E-002, 5.9961028E-002, 1.0000000E+000, 9.7241379E-003, 9.1089976E-002, 5.9960937E-002, 1.0000000E+000, 9.7241379E-003, 9.1089981E-002, 5.9960890E-002, 1.0000000E+000, 9.7241379E-003, 9.1089985E-002, 5.9960907E-002, 1.0000000E+000, 9.7241379E-003, 9.1089988E-002, 5.9960966E-002, 1.0000000E+000
 1.0689655E-002,-9.1089537E-002, 5.8952057E-002, 1.0000000E+000, 1.0689655E-002,-9.1089532E-002, 5.8952138E-002, 1.0000000E+000, 1.0689655E-002,-9.1089527E-002, 5.8952176E-002, 1.0000000E+000, 1.0689655E-002,-9.1089523E-002, 5.8952147E-002, 1.0000000E+000, 1.0689655E-002,-9.1089522E-002, 5.8952066E-002, 1.0000000E+000, 1.0689655E-002, 9.1089975E-002, 5.9961003E-002, 1.0000000E+000, 1.0689655E-002, 9.1089980E-002, 5.9960920E-002, 1.0000000E+000, 1.0689655E-002, 9.1089985E-002, 5.9960881E-002, 1.0000000E+000, 1.0689655E-002, 9.1089988E-002, 5.9960912E-002, 1.0000000E+000, 1.0689655E-002, 9.1089990E-002, 5.9960995E-002, 1.0000000E+000
 1.1655172E-002,-9.1089534E-002, 5.8952093E-002, 1.0000000E+000, 1.1655172E-002,-9.1089531E-002, 5.8952153E-002, 1.0000000E+000, 1.1655172E-002,-9.1089528E-002, 5.8952175E-002, 1.0000000E+000, 1.1655172E-002,-9.1089527E-002, 5.8952128E-002, 1.0000000E+000, 1.1655172E-002,-9.1089526E-002, 5.8952023E-002, 1.0000000E+000, 1.1655172E-002, 9.1089978E-002, 5.9960966E-002, 1.0000000E+000, 1.1655172E-002, 9.1089980E-002, 5.9960905E-002, 1.0000000E+000, 1.1655172E-002, 9.1089983E-002, 5.9960883E-002, 1.0000000E+000, 1.1655172E-002, 9.1089985E-002, 5.9960931E-002, 1.0000000E+000, 1.1655172E-002, 9.1089985E-002, 5.9961039E-002, 1.0000000E+000
 1.2620690E-002,-9.1089534E-002, 5.8952118E-002, 1.0000000E+000, 1.2620690E-002,-9.1089534E-002, 5.8952157E-002, 1.0000000E+000, 1.2620690E-002,-9.1089533E-002, 5.8952169E-002, 1.0000000E+000, 1.2620690E-002,-9.1089533E-002, 5.8952113E-002, 1.0000000E+000, 1.2620690E-002,-9.1089533E-002, 5.8951992E-002, 1.0000000E+000, 1.2620690E-002, 9.1089978E-002, 5.9960941E-002, 1.0000000E+000, 1.2620690E-002, 9.1089978E-002, 5.9960901E-002, 1.0000000E+000, 1.2620690E-002, 9.1089978E-002, 5.9960889E-002, 1.0000000E+000, 1.2620690E-002, 9.1089979E-002, 5.9960946E-002, 1.0000000E+000, 1.2620690E-002, 9.1089978E-002, 5.9961070E-002, 1.0000000E+000
