s,kW,kW
Time,qdot1,qdot2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0478014E+000, 1.5583143E-001, 5.1624875E-001
 2.0457075E+000, 3.1336308E-001, 9.8033322E-001
 3.0436137E+000, 3.2940510E-001, 1.0929328E+000
 4.0206432E+000, 3.2100673E-001, 1.1563950E+000
 5.0172632E+000, 3.1220634E-001, 1.1523612E+000
 6.0141818E+000, 3.0652177E-001, 1.1187976E+000
 7.0108095E+000, 3.0225924E-001, 1.1280145E+000
 8.0068607E+000, 2.9963042E-001, 1.1630881E+000
 9.0078271E+000, 2.9809622E-001, 1.1586941E+000
 1.0023689E+001, 2.9705625E-001, 1.1550570E+000
 1.1002507E+001, 2.9655396E-001, 1.1596099E+000
 1.2018506E+001, 2.9623823E-001, 1.1541842E+000
 1.3024397E+001, 2.9623215E-001, 1.1535909E+000
 1.4030288E+001, 2.9673100E-001, 1.1569469E+000
 1.5012737E+001, 2.9777491E-001, 1.1553562E+000
 1.6015166E+001, 2.9895508E-001, 1.1572539E+000
 1.7007735E+001, 2.9979772E-001, 1.1649279E+000
 1.8022803E+001, 3.0026021E-001, 1.1658283E+000
 1.9000539E+001, 3.0058034E-001, 1.1662808E+000
 2.0027413E+001, 3.0071503E-001, 1.1580475E+000
 2.1022585E+001, 3.0069049E-001, 1.1575794E+000
 2.2006048E+001, 3.0066277E-001, 1.1642265E+000
 2.3023498E+001, 3.0070669E-001, 1.1587401E+000
 2.4006000E+001, 3.0072607E-001, 1.1645246E+000
 2.5005615E+001, 3.0069583E-001, 1.1616749E+000
 2.6005230E+001, 3.0069197E-001, 1.1580253E+000
 2.7016714E+001, 3.0071310E-001, 1.1616561E+000
 2.8020949E+001, 3.0063724E-001, 1.1630948E+000
 2.9013707E+001, 3.0052848E-001, 1.1616673E+000
 3.0017363E+001, 3.0043687E-001, 1.1617927E+000
 3.1013647E+001, 3.0042353E-001, 1.1629854E+000
 3.2000124E+001, 3.0043634E-001, 1.1642797E+000
 3.3007215E+001, 3.0039904E-001, 1.1643305E+000
 3.4023988E+001, 3.0031984E-001, 1.1652199E+000
 3.5005990E+001, 3.0027687E-001, 1.1618479E+000
 3.6027501E+001, 3.0031781E-001, 1.1628977E+000
 3.7015179E+001, 3.0038000E-001, 1.1619024E+000
 3.8029660E+001, 3.0041873E-001, 1.1657427E+000
 3.9024450E+001, 3.0045412E-001, 1.1620409E+000
 4.0004693E+001, 3.0059805E-001, 1.1612152E+000
 4.1020899E+001, 3.0070775E-001, 1.1642500E+000
 4.2027012E+001, 3.0080930E-001, 1.1571059E+000
 4.3011983E+001, 3.0087528E-001, 1.1610307E+000
 4.4002583E+001, 3.0096683E-001, 1.1640614E+000
 4.5000489E+001, 3.0102050E-001, 1.1594210E+000
 4.6024262E+001, 3.0106795E-001, 1.1642006E+000
 4.7030333E+001, 3.0116706E-001, 1.1636633E+000
 4.8000495E+001, 3.0126390E-001, 1.1602273E+000
 4.9012571E+001, 3.0130716E-001, 1.1616447E+000
 5.0028221E+001, 3.0137632E-001, 1.1652635E+000
 5.1004064E+001, 3.0138361E-001, 1.1599126E+000
 5.2005701E+001, 3.0138878E-001, 1.1635123E+000
 5.3026439E+001, 3.0132502E-001, 1.1676257E+000
 5.4005909E+001, 3.0132508E-001, 1.1644202E+000
 5.5000618E+001, 3.0135322E-001, 1.1649548E+000
 5.6009508E+001, 3.0142242E-001, 1.1673011E+000
 5.7000244E+001, 3.0143339E-001, 1.1650531E+000
 5.8025861E+001, 3.0141123E-001, 1.1613363E+000
 5.9034174E+001, 3.0148058E-001, 1.1616116E+000
 6.0022978E+001, 3.0149064E-001, 1.1631457E+000
 6.1019409E+001, 3.0149665E-001, 1.1586681E+000
 6.2017127E+001, 3.0151132E-001, 1.1607839E+000
 6.3025169E+001, 3.0144994E-001, 1.1610472E+000
 6.4030330E+001, 3.0147266E-001, 1.1590791E+000
 6.5026353E+001, 3.0149876E-001, 1.1610614E+000
 6.6026983E+001, 3.0147971E-001, 1.1647846E+000
 6.7000203E+001, 3.0151089E-001, 1.1617775E+000
 6.8005864E+001, 3.0152055E-001, 1.1644642E+000
 6.9015192E+001, 3.0154323E-001, 1.1648601E+000
 7.0021727E+001, 3.0155404E-001, 1.1634582E+000
 7.1017346E+001, 3.0152545E-001, 1.1632752E+000
 7.2017702E+001, 3.0153175E-001, 1.1616247E+000
 7.3023550E+001, 3.0161191E-001, 1.1624802E+000
 7.4028180E+001, 3.0159716E-001, 1.1609216E+000
 7.5024669E+001, 3.0155284E-001, 1.1600730E+000
 7.6005641E+001, 3.0164291E-001, 1.1618678E+000
 7.7004240E+001, 3.0165910E-001, 1.1638877E+000
 7.8026497E+001, 3.0160319E-001, 1.1589496E+000
 7.9008799E+001, 3.0159023E-001, 1.1585296E+000
 8.0002955E+001, 3.0152303E-001, 1.1624933E+000
 8.1009891E+001, 3.0150391E-001, 1.1606471E+000
 8.2019814E+001, 3.0155076E-001, 1.1642866E+000
 8.3026854E+001, 3.0153357E-001, 1.1651587E+000
 8.4003183E+001, 3.0149544E-001, 1.1662861E+000
 8.5021957E+001, 3.0154710E-001, 1.1618958E+000
 8.6007601E+001, 3.0160646E-001, 1.1649319E+000
 8.7018691E+001, 3.0160484E-001, 1.1651293E+000
 8.8005710E+001, 3.0154646E-001, 1.1610629E+000
 8.9024395E+001, 3.0152561E-001, 1.1610413E+000
 9.0022142E+001, 3.0149980E-001, 1.1641697E+000
 9.1022980E+001, 3.0147386E-001, 1.1606620E+000
 9.2031001E+001, 3.0142703E-001, 1.1615749E+000
 9.3028266E+001, 3.0142738E-001, 1.1614569E+000
 9.4018585E+001, 3.0144373E-001, 1.1616349E+000
 9.5022743E+001, 3.0143588E-001, 1.1671294E+000
 9.6022571E+001, 3.0146333E-001, 1.1643379E+000
 9.7026907E+001, 3.0150925E-001, 1.1611380E+000
 9.8013053E+001, 3.0148616E-001, 1.1622564E+000
 9.9019966E+001, 3.0154750E-001, 1.1581513E+000
 1.0000000E+002, 3.0153732E-001, 1.1577324E+000
