m,W/m2/K,kW/m2
HTC-x,HTC,QCONV
 2.5000000E-004, 1.8717451E+001,-1.8687529E-001
 5.1612903E-001, 1.8028507E+001,-1.7571478E-001
 1.0322581E+000, 1.7458501E+001,-1.6676783E-001
 1.5483871E+000, 1.7037853E+001,-1.6012935E-001
 2.0645161E+000, 1.6647783E+001,-1.5400081E-001
 2.5806452E+000, 1.6291667E+001,-1.4855327E-001
 3.0967742E+000, 1.6050891E+001,-1.4467059E-001
 3.6129032E+000, 1.5823218E+001,-1.4101271E-001
 4.1290323E+000, 1.5590473E+001,-1.3736684E-001
 4.6451613E+000, 1.5414908E+001,-1.3447995E-001
 5.1612903E+000, 1.5247552E+001,-1.3187949E-001
 5.6774194E+000, 1.5158463E+001,-1.3007673E-001
 6.1935484E+000, 1.5080251E+001,-1.2852952E-001
 6.7096774E+000, 1.5056764E+001,-1.2754329E-001
 7.2258065E+000, 1.5010177E+001,-1.2646887E-001
 7.7419355E+000, 1.4975113E+001,-1.2556963E-001
 8.2580645E+000, 1.4975545E+001,-1.2502396E-001
 8.7741935E+000, 1.4949399E+001,-1.2417631E-001
 9.2903226E+000, 1.4916786E+001,-1.2328435E-001
 9.8064516E+000, 1.4886468E+001,-1.2235717E-001
 1.0322581E+001, 1.4830770E+001,-1.2132023E-001
 1.0838710E+001, 1.4765156E+001,-1.2019185E-001
 1.1354839E+001, 1.4692702E+001,-1.1899784E-001
 1.1870968E+001, 1.4631690E+001,-1.1794162E-001
 1.2387097E+001, 1.4553515E+001,-1.1671149E-001
 1.2903226E+001, 1.4458624E+001,-1.1538496E-001
 1.3419355E+001, 1.4390812E+001,-1.1429864E-001
 1.3935484E+001, 1.4351083E+001,-1.1359594E-001
 1.4451613E+001, 1.4316424E+001,-1.1295193E-001
 1.4967742E+001, 1.4291977E+001,-1.1245689E-001
 1.5483871E+001, 1.4285482E+001,-1.1211078E-001
 1.5999750E+001, 1.4343236E+001,-1.1215426E-001
