s,kW,kW,Pa,kg/m3
Time,Q1-0,Q2-0,p0,rho
 0.0000000E+000,-6.9776287E+000, 0.0000000E+000, 1.0132500E+005, 1.1794096E+000
 1.0023291E+001,-6.4740550E+000, 5.1628338E-001, 1.0135043E+005, 1.1929501E+000
 2.0046582E+001,-5.5380041E+000, 1.5370880E+000, 1.0138917E+005, 1.1867121E+000
 3.0069872E+001,-5.1069117E+000, 1.5185173E+000, 1.0141897E+005, 1.1878899E+000
 4.0093163E+001,-4.9481734E+000, 1.5002875E+000, 1.0144689E+005, 1.1868072E+000
 5.0116454E+001,-4.8301885E+000, 1.5160994E+000, 1.0147376E+005, 1.1873076E+000
 6.0139745E+001,-4.6803291E+000, 1.5333505E+000, 1.0149934E+005, 1.1864997E+000
 7.0021862E+001,-4.5912920E+000, 1.5374042E+000, 1.0152372E+005, 1.1888549E+000
 8.0045153E+001,-4.5342390E+000, 1.5407423E+000, 1.0154752E+005, 1.1891291E+000
 9.0068444E+001,-4.4156541E+000, 1.5365320E+000, 1.0157081E+005, 1.1910110E+000
 1.0009173E+002,-4.3409809E+000, 1.5413188E+000, 1.0159325E+005, 1.1884166E+000
 1.1011503E+002,-4.3152087E+000, 1.5892949E+000, 1.0161515E+005, 1.1875485E+000
 1.2013832E+002,-4.2999786E+000, 1.6499648E+000, 1.0163644E+005, 1.1893299E+000
 1.3002043E+002,-4.2764096E+000, 1.7051208E+000, 1.0165698E+005, 1.1882494E+000
 1.4004372E+002,-4.2368146E+000, 1.7525889E+000, 1.0167686E+005, 1.1876508E+000
 1.5006702E+002,-4.1966946E+000, 1.7902973E+000, 1.0169620E+005, 1.1892822E+000
 1.6009031E+002,-4.1462256E+000, 1.8320371E+000, 1.0171492E+005, 1.1894790E+000
 1.7011360E+002,-4.1047451E+000, 1.8661379E+000, 1.0173289E+005, 1.1881096E+000
 1.8013689E+002,-4.0807891E+000, 1.8935883E+000, 1.0175041E+005, 1.1890038E+000
 1.9001901E+002,-4.0541727E+000, 1.9268786E+000, 1.0176738E+005, 1.1884720E+000
 2.0004230E+002,-4.0414793E+000, 1.9680797E+000, 1.0178388E+005, 1.1871330E+000
 2.1006559E+002,-4.0197750E+000, 1.9898816E+000, 1.0180013E+005, 1.1883968E+000
 2.2008888E+002,-3.9780892E+000, 2.0094610E+000, 1.0181595E+005, 1.1892846E+000
 2.3011217E+002,-3.9433853E+000, 2.0342123E+000, 1.0183126E+005, 1.1880139E+000
 2.4013546E+002,-3.8967061E+000, 2.0582407E+000, 1.0184608E+005, 1.1869462E+000
 2.5001758E+002,-3.8454536E+000, 2.0826919E+000, 1.0186024E+005, 1.1888100E+000
 2.6004087E+002,-3.8074536E+000, 2.1068358E+000, 1.0187383E+005, 1.1886708E+000
 2.7006416E+002,-3.7921151E+000, 2.1444223E+000, 1.0188706E+005, 1.1850600E+000
 2.8008745E+002,-3.7766050E+000, 2.1812881E+000, 1.0189985E+005, 1.1915540E+000
 2.9011074E+002,-3.7728416E+000, 2.2109120E+000, 1.0191232E+005, 1.1896746E+000
 3.0013403E+002,-3.7735249E+000, 2.2250359E+000, 1.0192461E+005, 1.1893987E+000
 3.1001615E+002,-3.7467366E+000, 2.2329421E+000, 1.0193665E+005, 1.1893332E+000
 3.2003944E+002,-3.6960416E+000, 2.2444729E+000, 1.0194828E+005, 1.1895705E+000
 3.3006273E+002,-3.6776495E+000, 2.2653856E+000, 1.0195957E+005, 1.1890495E+000
 3.4008602E+002,-3.6735893E+000, 2.3063379E+000, 1.0197057E+005, 1.1881536E+000
 3.5010931E+002,-3.6553176E+000, 2.3543822E+000, 1.0198112E+005, 1.1875299E+000
 3.6013260E+002,-3.6377583E+000, 2.3867027E+000, 1.0199124E+005, 1.1924364E+000
 3.7001472E+002,-3.6355109E+000, 2.4159025E+000, 1.0200095E+005, 1.1893477E+000
 3.8003801E+002,-3.6168808E+000, 2.4377428E+000, 1.0201035E+005, 1.1904030E+000
 3.9006130E+002,-3.5785378E+000, 2.4444888E+000, 1.0201949E+005, 1.1884830E+000
 4.0008459E+002,-3.5313646E+000, 2.4378245E+000, 1.0202829E+005, 1.1869907E+000
 4.1010788E+002,-3.4943550E+000, 2.4380738E+000, 1.0203678E+005, 1.1890728E+000
 4.2013117E+002,-3.4841959E+000, 2.4589602E+000, 1.0204501E+005, 1.1894642E+000
 4.3001329E+002,-3.4811945E+000, 2.4956197E+000, 1.0205292E+005, 1.1895017E+000
 4.4003658E+002,-3.4940777E+000, 2.5473866E+000, 1.0206049E+005, 1.1895960E+000
 4.5005987E+002,-3.5149103E+000, 2.5822776E+000, 1.0206789E+005, 1.1892748E+000
 4.6008316E+002,-3.5171427E+000, 2.5902661E+000, 1.0207529E+005, 1.1911325E+000
 4.7010646E+002,-3.4913125E+000, 2.5939139E+000, 1.0208254E+005, 1.1895481E+000
 4.8012975E+002,-3.4688289E+000, 2.5950442E+000, 1.0208957E+005, 1.1886410E+000
 4.9001186E+002,-3.4340774E+000, 2.5880780E+000, 1.0209630E+005, 1.1916332E+000
