s,Pa,kg/m3,kW,kW
Time,p0,rho,Q1-0,Q2-0
 0.0000000E+000, 1.0132500E+005, 8.8318715E-001,-2.7677735E+002, 0.0000000E+000
 1.0012488E+001, 1.0192189E+005, 9.1038773E-001,-1.6650878E+002, 5.0399674E+001
 2.0004580E+001, 1.0249194E+005, 9.4987563E-001,-1.2157753E+002, 6.2465152E+001
 3.0013429E+001, 1.0295210E+005, 9.5375088E-001,-1.1981655E+002, 6.4250311E+001
 4.0017042E+001, 1.0338115E+005, 9.6401397E-001,-1.1778406E+002, 6.5848173E+001
 5.0017543E+001, 1.0378775E+005, 9.6376758E-001,-1.1601233E+002, 6.7559363E+001
 6.0005110E+001, 1.0416130E+005, 9.6252365E-001,-1.1395533E+002, 6.9225155E+001
 7.0013955E+001, 1.0451358E+005, 9.6766945E-001,-1.1255634E+002, 7.0323514E+001
 8.0018445E+001, 1.0484403E+005, 9.6711526E-001,-1.1104891E+002, 7.1568846E+001
 9.0013548E+001, 1.0515142E+005, 9.6212202E-001,-1.0990977E+002, 7.3168695E+001
 1.0000196E+002, 1.0543784E+005, 9.6450348E-001,-1.0878416E+002, 7.4634321E+001
 1.1000635E+002, 1.0570702E+005, 9.6197825E-001,-1.0702626E+002, 7.5141741E+001
 1.2001995E+002, 1.0595806E+005, 9.6214628E-001,-1.0608774E+002, 7.6318063E+001
 1.3001008E+002, 1.0619108E+005, 9.6436604E-001,-1.0526557E+002, 7.7669180E+001
 1.4001607E+002, 1.0640753E+005, 9.6490637E-001,-1.0393569E+002, 7.8382566E+001
 1.5001727E+002, 1.0661216E+005, 9.6522009E-001,-1.0344030E+002, 7.9145387E+001
 1.6000701E+002, 1.0680147E+005, 9.6350995E-001,-1.0199151E+002, 8.0190443E+001
 1.7001602E+002, 1.0697580E+005, 9.6462939E-001,-1.0202883E+002, 8.1128717E+001
 1.8001738E+002, 1.0714250E+005, 9.6388138E-001,-1.0110335E+002, 8.1879239E+001
 1.9000233E+002, 1.0729442E+005, 9.6231945E-001,-1.0016023E+002, 8.2327859E+001
 2.0000439E+002, 1.0744119E+005, 9.6426236E-001,-1.0028775E+002, 8.2947352E+001
 2.1001501E+002, 1.0757833E+005, 9.6419077E-001,-9.9177913E+001, 8.3610387E+001
 2.2001290E+002, 1.0770264E+005, 9.6347223E-001,-9.8419988E+001, 8.4067566E+001
 2.3001381E+002, 1.0781872E+005, 9.6531073E-001,-9.8014448E+001, 8.4949309E+001
 2.4001083E+002, 1.0792808E+005, 9.6569060E-001,-9.7776640E+001, 8.4891571E+001
 2.5001144E+002, 1.0803225E+005, 9.6382289E-001,-9.7259110E+001, 8.5661940E+001
 2.6000373E+002, 1.0812840E+005, 9.6417195E-001,-9.6645958E+001, 8.5692376E+001
 2.7001589E+002, 1.0821673E+005, 9.6429272E-001,-9.6009272E+001, 8.6101565E+001
 2.8000640E+002, 1.0830232E+005, 9.6275171E-001,-9.6334931E+001, 8.6580819E+001
 2.9000702E+002, 1.0838160E+005, 9.6482507E-001,-9.5513749E+001, 8.7151990E+001
 3.0000005E+002, 1.0845137E+005, 9.6589776E-001,-9.5183460E+001, 8.7345187E+001
 3.1000029E+002, 1.0851826E+005, 9.6287879E-001,-9.5003569E+001, 8.7741646E+001
 3.2000569E+002, 1.0858216E+005, 9.6445216E-001,-9.5079857E+001, 8.7846899E+001
 3.3000858E+002, 1.0864525E+005, 9.6626111E-001,-9.4944258E+001, 8.8262912E+001
 3.4000063E+002, 1.0870032E+005, 9.6540899E-001,-9.4269906E+001, 8.8509599E+001
 3.5000424E+002, 1.0875201E+005, 9.6470242E-001,-9.3838968E+001, 8.8408668E+001
 3.6000712E+002, 1.0880068E+005, 9.6215614E-001,-9.3721268E+001, 8.8730209E+001
 3.7000098E+002, 1.0884602E+005, 9.6167728E-001,-9.3839453E+001, 8.9045023E+001
 3.8001880E+002, 1.0888559E+005, 9.6188263E-001,-9.3134530E+001, 8.9451193E+001
 3.9001395E+002, 1.0892257E+005, 9.6300181E-001,-9.2843732E+001, 8.9214887E+001
 4.0001197E+002, 1.0895790E+005, 9.6591435E-001,-9.3380229E+001, 8.9530419E+001
 4.1001085E+002, 1.0899563E+005, 9.6513672E-001,-9.3128413E+001, 8.9653225E+001
 4.2000596E+002, 1.0902940E+005, 9.6522957E-001,-9.3418838E+001, 8.9854825E+001
 4.3001332E+002, 1.0906103E+005, 9.6281604E-001,-9.2749353E+001, 9.0117522E+001
 4.4001921E+002, 1.0908772E+005, 9.6362830E-001,-9.2882883E+001, 9.0264351E+001
 4.5001624E+002, 1.0911408E+005, 9.6128655E-001,-9.2706445E+001, 9.0514861E+001
 4.6000729E+002, 1.0913681E+005, 9.6188210E-001,-9.2288899E+001, 9.0226310E+001
 4.7001425E+002, 1.0915997E+005, 9.6323683E-001,-9.2234655E+001, 9.0215280E+001
 4.8000274E+002, 1.0917974E+005, 9.6441875E-001,-9.2233565E+001, 9.0826011E+001
