m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-x,Q1-1,YP1-1,ZP1-1,Q1-2-x,Q1-2,YP1-2,ZP1-2,Q1-3-x,Q1-3,YP1-3,ZP1-3,Q1-4-x,Q1-4,YP1-4,ZP1-4,Q1-5-x,Q1-5,YP1-5,ZP1-5,Q2-1-x,Q2-1,YP2-1,ZP2-1,Q2-2-x,Q2-2,YP2-2,ZP2-2,Q2-3-x,Q2-3,YP2-3,ZP2-3,Q2-4-x,Q2-4,YP2-4,ZP2-4,Q2-5-x,Q2-5,YP2-5,ZP2-5
-4.0000000E+001,-1.1309738E-002, 8.7587100E+002, 3.3332305E+000,-4.0000000E+001,-1.1326687E-002, 8.0798781E+002, 3.3096946E+000,-4.0000000E+001,-1.1235420E-002, 9.2349422E+002, 3.3316834E+000,-4.0000000E+001,-1.1008115E-002, 1.0422400E+003, 3.3777420E+000,-4.0000000E+001,-1.0757429E-002, 9.7262955E+002, 3.4050038E+000,-4.0000000E+001, 9.9179272E-003, 1.0359019E+003, 3.4052853E+000,-4.0000000E+001, 9.8509578E-003, 9.6898122E+002, 3.4374442E+000,-4.0000000E+001, 1.0044289E-002, 1.0922227E+003, 3.5116400E+000,-4.0000000E+001, 1.0283254E-002, 1.0713564E+003, 3.3825391E+000,-4.0000000E+001, 1.0463152E-002, 1.0235985E+003, 3.3619958E+000
-3.7241379E+001,-1.1305560E-002, 8.9374461E+002, 3.3266089E+000,-3.7241379E+001,-1.1321476E-002, 8.4511032E+002, 3.3096000E+000,-3.7241379E+001,-1.1234627E-002, 9.4010896E+002, 3.3257764E+000,-3.7241379E+001,-1.1010953E-002, 1.0730857E+003, 3.4485625E+000,-3.7241379E+001,-1.0724966E-002, 9.6783154E+002, 3.3718865E+000,-3.7241379E+001, 9.9346650E-003, 1.0579522E+003, 3.3677236E+000,-3.7241379E+001, 9.8649602E-003, 9.8346044E+002, 3.4461557E+000,-3.7241379E+001, 1.0059584E-002, 1.0898306E+003, 3.4636659E+000,-3.7241379E+001, 1.0300427E-002, 1.0906888E+003, 3.4323224E+000,-3.7241379E+001, 1.0471462E-002, 9.9252040E+002, 3.3459123E+000
-3.4482759E+001,-1.1289279E-002, 9.2240667E+002, 3.3233635E+000,-3.4482759E+001,-1.1310861E-002, 8.6169979E+002, 3.3094006E+000,-3.4482759E+001,-1.1232464E-002, 9.7970552E+002, 3.3247835E+000,-3.4482759E+001,-1.1011961E-002, 1.0965074E+003, 3.4931412E+000,-3.4482759E+001,-1.0716605E-002, 9.6281936E+002, 3.3812471E+000,-3.4482759E+001, 9.9520172E-003, 1.0382788E+003, 3.3610682E+000,-3.4482759E+001, 9.8783003E-003, 1.0126412E+003, 3.3723054E+000,-3.4482759E+001, 1.0075439E-002, 1.0944153E+003, 3.4555073E+000,-3.4482759E+001, 1.0318116E-002, 1.1063383E+003, 3.4557706E+000,-3.4482759E+001, 1.0491284E-002, 9.8176691E+002, 3.3669281E+000
-3.1724138E+001,-1.1273149E-002, 9.4449752E+002, 3.3311528E+000,-3.1724138E+001,-1.1307208E-002, 8.8321770E+002, 3.3218974E+000,-3.1724138E+001,-1.1221966E-002, 1.0146079E+003, 3.3443899E+000,-3.1724138E+001,-1.0995931E-002, 1.0827822E+003, 3.3888599E+000,-3.1724138E+001,-1.0707434E-002, 9.7883594E+002, 3.3480694E+000,-3.1724138E+001, 9.9817652E-003, 1.0531506E+003, 3.3464355E+000,-3.1724138E+001, 9.9039769E-003, 1.0229784E+003, 3.4197466E+000,-3.1724138E+001, 1.0092699E-002, 1.1043742E+003, 3.4907163E+000,-3.1724138E+001, 1.0334735E-002, 1.1171722E+003, 3.4069364E+000,-3.1724138E+001, 1.0509421E-002, 1.0005878E+003, 3.3685178E+000
-2.8965517E+001,-1.1252575E-002, 9.5533741E+002, 3.3330970E+000,-2.8965517E+001,-1.1288466E-002, 8.9399024E+002, 3.3225007E+000,-2.8965517E+001,-1.1211138E-002, 1.0416173E+003, 3.3473323E+000,-2.8965517E+001,-1.0988090E-002, 1.0913264E+003, 3.4305970E+000,-2.8965517E+001,-1.0688355E-002, 9.7891932E+002, 3.3066639E+000,-2.8965517E+001, 1.0009491E-002, 1.0785344E+003, 3.3781133E+000,-2.8965517E+001, 9.9271467E-003, 1.0511284E+003, 3.4032534E+000,-2.8965517E+001, 1.0123186E-002, 1.1321491E+003, 3.5031734E+000,-2.8965517E+001, 1.0356250E-002, 1.1278183E+003, 3.4106583E+000,-2.8965517E+001, 1.0526272E-002, 1.0172903E+003, 3.3718052E+000
-2.6206897E+001,-1.1229784E-002, 9.8721646E+002, 3.3300723E+000,-2.6206897E+001,-1.1276831E-002, 8.9642259E+002, 3.3273745E+000,-2.6206897E+001,-1.1199045E-002, 1.0701430E+003, 3.3492250E+000,-2.6206897E+001,-1.0982906E-002, 1.1165133E+003, 3.4273453E+000,-2.6206897E+001,-1.0685639E-002, 1.0075019E+003, 3.4078625E+000,-2.6206897E+001, 1.0030683E-002, 1.0438490E+003, 3.3833010E+000,-2.6206897E+001, 9.9532377E-003, 1.0521292E+003, 3.4222131E+000,-2.6206897E+001, 1.0157004E-002, 1.1446893E+003, 3.5270790E+000,-2.6206897E+001, 1.0376980E-002, 1.1497593E+003, 3.4371561E+000,-2.6206897E+001, 1.0549226E-002, 1.0212451E+003, 3.4123993E+000
-2.3448276E+001,-1.1217064E-002, 1.0088848E+003, 3.3486685E+000,-2.3448276E+001,-1.1267354E-002, 9.2918828E+002, 3.3267950E+000,-2.3448276E+001,-1.1183468E-002, 1.0794736E+003, 3.3879937E+000,-2.3448276E+001,-1.0974409E-002, 1.1581582E+003, 3.5062231E+000,-2.3448276E+001,-1.0688202E-002, 1.0284278E+003, 3.4742941E+000,-2.3448276E+001, 1.0048137E-002, 1.0224308E+003, 3.4407605E+000,-2.3448276E+001, 9.9786404E-003, 1.0666116E+003, 3.3981153E+000,-2.3448276E+001, 1.0177608E-002, 1.1656857E+003, 3.5385678E+000,-2.3448276E+001, 1.0395136E-002, 1.1534164E+003, 3.4743008E+000,-2.3448276E+001, 1.0568167E-002, 1.0303936E+003, 3.4239996E+000
-2.0689655E+001,-1.1199876E-002, 1.0255400E+003, 3.3524805E+000,-2.0689655E+001,-1.1249529E-002, 9.5534877E+002, 3.3118867E+000,-2.0689655E+001,-1.1160587E-002, 1.1169632E+003, 3.3842196E+000,-2.0689655E+001,-1.0958698E-002, 1.1793508E+003, 3.5208996E+000,-2.0689655E+001,-1.0676664E-002, 1.0374955E+003, 3.4666855E+000,-2.0689655E+001, 1.0055733E-002, 1.0315396E+003, 3.3859425E+000,-2.0689655E+001, 1.0002061E-002, 1.0528856E+003, 3.4138236E+000,-2.0689655E+001, 1.0203591E-002, 1.1696991E+003, 3.4791228E+000,-2.0689655E+001, 1.0419824E-002, 1.1633651E+003, 3.4949547E+000,-2.0689655E+001, 1.0588554E-002, 1.0612620E+003, 3.4304207E+000
-1.7931034E+001,-1.1179483E-002, 1.0346970E+003, 3.3156557E+000,-1.7931034E+001,-1.1236112E-002, 9.5873472E+002, 3.3496637E+000,-1.7931034E+001,-1.1130265E-002, 1.1614438E+003, 3.4237870E+000,-1.7931034E+001,-1.0935008E-002, 1.1841818E+003, 3.5155545E+000,-1.7931034E+001,-1.0653502E-002, 1.0382807E+003, 3.4278098E+000,-1.7931034E+001, 1.0067785E-002, 1.0269511E+003, 3.3581911E+000,-1.7931034E+001, 1.0041783E-002, 1.0489133E+003, 3.4624061E+000,-1.7931034E+001, 1.0257397E-002, 1.1888389E+003, 3.6211637E+000,-1.7931034E+001, 1.0447435E-002, 1.2004746E+003, 3.5347400E+000,-1.7931034E+001, 1.0610705E-002, 1.0739696E+003, 3.4210323E+000
