m,W/m2/K,kW/m2
HTC-x,HTC,QCONV
 2.5000000E-003, 2.9668122E+000,-2.9593131E-002
 5.1612903E-001, 2.9594148E+000,-2.9411225E-002
 1.0322581E+000, 2.9502769E+000,-2.9188893E-002
 1.5483871E+000, 2.9424587E+000,-2.8989674E-002
 2.0645161E+000, 2.9338921E+000,-2.8792930E-002
 2.5806452E+000, 2.9277466E+000,-2.8628174E-002
 3.0967742E+000, 2.9190078E+000,-2.8442093E-002
 3.6129032E+000, 2.9096292E+000,-2.8253581E-002
 4.1290323E+000, 2.8989994E+000,-2.8056004E-002
 4.6451613E+000, 2.8903915E+000,-2.7882994E-002
 5.1612903E+000, 2.8818430E+000,-2.7715386E-002
 5.6774194E+000, 2.8755731E+000,-2.7573966E-002
 6.1935484E+000, 2.8712622E+000,-2.7453927E-002
 6.7096774E+000, 2.8678384E+000,-2.7346004E-002
 7.2258065E+000, 2.8618017E+000,-2.7214247E-002
 7.7419355E+000, 2.8561240E+000,-2.7084644E-002
 8.2580645E+000, 2.8481753E+000,-2.6892681E-002
 8.7741935E+000, 2.8429996E+000,-2.6768628E-002
 9.2903226E+000, 2.8380590E+000,-2.6651950E-002
 9.8064516E+000, 2.8335950E+000,-2.6546013E-002
 1.0322581E+001, 2.8277860E+000,-2.6430632E-002
 1.0838710E+001, 2.8226440E+000,-2.6320924E-002
 1.1354839E+001, 2.8160904E+000,-2.6193719E-002
 1.1870968E+001, 2.8100750E+000,-2.6072983E-002
 1.2387097E+001, 2.8015186E+000,-2.5931272E-002
 1.2903226E+001, 2.7927854E+000,-2.5787671E-002
 1.3419355E+001, 2.7850144E+000,-2.5653153E-002
 1.3935484E+001, 2.7795824E+000,-2.5544302E-002
 1.4451613E+001, 2.7736775E+000,-2.5438403E-002
 1.4967742E+001, 2.7693068E+000,-2.5351638E-002
 1.5483871E+001, 2.7623578E+000,-2.5231953E-002
 1.5997500E+001, 2.7551080E+000,-2.5057934E-002
