m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-x,Q1-1,YP1-1,ZP1-1,Q1-2-x,Q1-2,YP1-2,ZP1-2,Q1-3-x,Q1-3,YP1-3,ZP1-3,Q1-4-x,Q1-4,YP1-4,ZP1-4,Q1-5-x,Q1-5,YP1-5,ZP1-5,Q2-1-x,Q2-1,YP2-1,ZP2-1,Q2-2-x,Q2-2,YP2-2,ZP2-2,Q2-3-x,Q2-3,YP2-3,ZP2-3,Q2-4-x,Q2-4,YP2-4,ZP2-4,Q2-5-x,Q2-5,YP2-5,ZP2-5
-4.0006250E-002,-2.7210169E-002, 2.7059445E-001, 1.0000000E+000,-4.0006250E-002,-1.5460879E-002, 2.1650498E-001, 1.0000000E+000,-4.0006250E-002,-3.8382274E-002, 2.3317240E-001, 1.0000000E+000,-4.0006250E-002,-3.3175776E-002, 2.1366312E-001, 1.0000000E+000,-4.0006250E-002,-3.2416775E-002, 2.4710912E-001, 1.0000000E+000,-4.0006250E-002, 1.6580876E-002, 2.3349800E-001, 1.0000000E+000,-4.0006250E-002, 3.2167696E-002, 2.6069040E-001, 1.0000000E+000,-4.0006250E-002, 1.0574181E-002, 1.8603376E-001, 1.0000000E+000,-4.0006250E-002, 1.0763678E-002, 1.7754284E-001, 1.0000000E+000,-4.0006250E-002, 1.0429399E-002, 1.9434244E-001, 1.0000000E+000
-3.7241379E-002,-2.4938543E-002, 2.5039550E-001, 1.0000000E+000,-3.7241379E-002,-1.3901387E-002, 2.0860681E-001, 1.0000000E+000,-3.7241379E-002,-3.8482012E-002, 2.5849046E-001, 1.0000000E+000,-3.7241379E-002,-3.0630866E-002, 2.5467716E-001, 1.0000000E+000,-3.7241379E-002,-2.9125979E-002, 2.6324698E-001, 1.0000000E+000,-3.7241379E-002, 1.7560286E-002, 2.2960281E-001, 1.0000000E+000,-3.7241379E-002, 3.5895439E-002, 2.6530976E-001, 1.0000000E+000,-3.7241379E-002, 1.2365304E-002, 1.9986865E-001, 1.0000000E+000,-3.7241379E-002, 1.4215811E-002, 2.1266968E-001, 1.0000000E+000,-3.7241379E-002, 1.3045546E-002, 2.1727921E-001, 1.0000000E+000
-3.4482759E-002,-2.2486958E-002, 2.2227346E-001, 1.0000000E+000,-3.4482759E-002,-1.2152264E-002, 1.9134774E-001, 1.0000000E+000,-3.4482759E-002,-3.6818417E-002, 2.7604629E-001, 1.0000000E+000,-3.4482759E-002,-2.7918513E-002, 2.7656854E-001, 1.0000000E+000,-3.4482759E-002,-2.6589777E-002, 2.6796415E-001, 1.0000000E+000,-3.4482759E-002, 1.8649329E-002, 2.1786363E-001, 1.0000000E+000,-3.4482759E-002, 3.7641199E-002, 2.4616532E-001, 1.0000000E+000,-3.4482759E-002, 1.4600853E-002, 2.1891729E-001, 1.0000000E+000,-3.4482759E-002, 1.7254109E-002, 2.3635294E-001, 1.0000000E+000,-3.4482759E-002, 1.5172453E-002, 2.3106505E-001, 1.0000000E+000
-3.1724138E-002,-1.8965390E-002, 1.7965888E-001, 1.0000000E+000,-3.1724138E-002,-1.0156439E-002, 1.5951293E-001, 1.0000000E+000,-3.1724138E-002,-3.3984346E-002, 2.7511050E-001, 1.0000000E+000,-3.1724138E-002,-2.4445978E-002, 2.8425083E-001, 1.0000000E+000,-3.1724138E-002,-2.3547230E-002, 2.6583207E-001, 1.0000000E+000,-3.1724138E-002, 2.0311661E-002, 1.9464779E-001, 1.0000000E+000,-3.1724138E-002, 3.7480933E-002, 2.0689350E-001, 1.0000000E+000,-3.1724138E-002, 1.7671298E-002, 2.3854506E-001, 1.0000000E+000,-3.1724138E-002, 2.0681353E-002, 2.5872669E-001, 1.0000000E+000,-3.1724138E-002, 1.7836515E-002, 2.4412565E-001, 1.0000000E+000
-2.8965517E-002,-1.7191380E-002, 1.4589658E-001, 1.0000000E+000,-2.8965517E-002,-9.8460449E-003, 1.5743204E-001, 1.0000000E+000,-2.8965517E-002,-3.1585045E-002, 2.5860256E-001, 1.0000000E+000,-2.8965517E-002,-2.1859648E-002, 2.8053851E-001, 1.0000000E+000,-2.8965517E-002,-2.1297752E-002, 2.5880559E-001, 1.0000000E+000,-2.8965517E-002, 2.1451931E-002, 1.6097304E-001, 1.0000000E+000,-2.8965517E-002, 3.5887522E-002, 2.2534966E-001, 1.0000000E+000,-2.8965517E-002, 2.0334863E-002, 2.4777102E-001, 1.0000000E+000,-2.8965517E-002, 2.3197906E-002, 2.7390551E-001, 1.0000000E+000,-2.8965517E-002, 1.9972361E-002, 2.5192148E-001, 1.0000000E+000
-2.6206897E-002,-1.9508524E-002, 1.8333201E-001, 1.0000000E+000,-2.6206897E-002,-1.1841690E-002, 1.7175741E-001, 1.0000000E+000,-2.6206897E-002,-2.8169735E-002, 2.2312484E-001, 1.0000000E+000,-2.6206897E-002,-1.8806838E-002, 2.6730530E-001, 1.0000000E+000,-2.6206897E-002,-1.9038396E-002, 2.4909198E-001, 1.0000000E+000,-2.6206897E-002, 2.1900926E-002, 1.9675748E-001, 1.0000000E+000,-2.6206897E-002, 3.3031100E-002, 2.6516874E-001, 1.0000000E+000,-2.6206897E-002, 2.3886139E-002, 2.4751813E-001, 1.0000000E+000,-2.6206897E-002, 2.6285053E-002, 2.8966084E-001, 1.0000000E+000,-2.6206897E-002, 2.2664288E-002, 2.5959439E-001, 1.0000000E+000
-2.3448276E-002,-2.3622282E-002, 2.3040186E-001, 1.0000000E+000,-2.3448276E-002,-1.4728258E-002, 2.0623878E-001, 1.0000000E+000,-2.3448276E-002,-2.5007048E-002, 2.0723042E-001, 1.0000000E+000,-2.3448276E-002,-1.6401226E-002, 2.5068855E-001, 1.0000000E+000,-2.3448276E-002,-1.7736895E-002, 2.4346731E-001, 1.0000000E+000,-2.3448276E-002, 2.1245649E-002, 2.4014398E-001, 1.0000000E+000,-2.3448276E-002, 3.0285604E-002, 2.8574066E-001, 1.0000000E+000,-2.3448276E-002, 2.6848262E-002, 2.3695772E-001, 1.0000000E+000,-2.3448276E-002, 2.8755288E-002, 2.9840356E-001, 1.0000000E+000,-2.3448276E-002, 2.4865243E-002, 2.6529966E-001, 1.0000000E+000
-2.0689655E-002,-2.7294716E-002, 2.5533353E-001, 1.0000000E+000,-2.0689655E-002,-1.7906025E-002, 2.3071933E-001, 1.0000000E+000,-2.0689655E-002,-2.1874214E-002, 2.0416849E-001, 1.0000000E+000,-2.0689655E-002,-1.4075860E-002, 2.2956571E-001, 1.0000000E+000,-2.0689655E-002,-1.6664174E-002, 2.3666984E-001, 1.0000000E+000,-2.0689655E-002, 1.9867177E-002, 2.5753992E-001, 1.0000000E+000,-2.0689655E-002, 2.7114716E-002, 2.9005084E-001, 1.0000000E+000,-2.0689655E-002, 2.9851361E-002, 2.3589423E-001, 1.0000000E+000,-2.0689655E-002, 3.1121929E-002, 3.0176961E-001, 1.0000000E+000,-2.0689655E-002, 2.7106429E-002, 2.7008280E-001, 1.0000000E+000
-1.7931034E-002,-3.0507178E-002, 2.7050898E-001, 1.0000000E+000,-1.7931034E-002,-2.1574280E-002, 2.4566336E-001, 1.0000000E+000,-1.7931034E-002,-1.8582089E-002, 2.1455428E-001, 1.0000000E+000,-1.7931034E-002,-1.1743463E-002, 2.0357529E-001, 1.0000000E+000,-1.7931034E-002,-1.5393750E-002, 2.2331373E-001, 1.0000000E+000,-1.7931034E-002, 1.7617071E-002, 2.5715461E-001, 1.0000000E+000,-1.7931034E-002, 2.3047557E-002, 2.8153321E-001, 1.0000000E+000,-1.7931034E-002, 3.3207541E-002, 2.6021143E-001, 1.0000000E+000,-1.7931034E-002, 3.3564864E-002, 2.9337742E-001, 1.0000000E+000,-1.7931034E-002, 2.9793550E-002, 2.7008998E-001, 1.0000000E+000
