m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-x,Q1-1,YP1-1,ZP1-1,Q1-2-x,Q1-2,YP1-2,ZP1-2,Q1-3-x,Q1-3,YP1-3,ZP1-3,Q1-4-x,Q1-4,YP1-4,ZP1-4,Q1-5-x,Q1-5,YP1-5,ZP1-5,Q2-1-x,Q2-1,YP2-1,ZP2-1,Q2-2-x,Q2-2,YP2-2,ZP2-2,Q2-3-x,Q2-3,YP2-3,ZP2-3,Q2-4-x,Q2-4,YP2-4,ZP2-4,Q2-5-x,Q2-5,YP2-5,ZP2-5
-4.0012500E-001,-6.0503577E-002, 6.0559667E+000, 3.5630931E+000,-4.0012500E-001,-6.0509770E-002, 5.7237172E+000, 3.6239838E+000,-4.0012500E-001,-5.4728102E-002, 5.5691462E+000, 3.2663217E+000,-4.0012500E-001,-4.9938646E-002, 5.7632768E+000, 2.8605772E+000,-4.0012500E-001,-4.5970905E-002, 5.2245534E+000, 2.3106102E+000,-4.0012500E-001, 5.3008978E-002, 5.9272094E+000, 3.6086116E+000,-4.0012500E-001, 5.1467782E-002, 5.9532703E+000, 3.6020855E+000,-4.0012500E-001, 5.5212054E-002, 5.9127336E+000, 3.6211037E+000,-4.0012500E-001, 6.3129997E-002, 6.2581679E+000, 3.6551128E+000,-4.0012500E-001, 6.6598993E-002, 5.5293620E+000, 3.6663901E+000
-3.7241379E-001,-6.2127922E-002, 6.1472215E+000, 3.6302069E+000,-3.7241379E-001,-6.1253521E-002, 5.6650216E+000, 3.6250456E+000,-3.7241379E-001,-5.6090442E-002, 5.8374467E+000, 3.4329886E+000,-3.7241379E-001,-5.0373729E-002, 5.8478058E+000, 2.8985902E+000,-3.7241379E-001,-4.6792766E-002, 5.1834951E+000, 2.3482877E+000,-3.7241379E-001, 5.2188505E-002, 5.8184647E+000, 3.5785579E+000,-3.7241379E-001, 5.0765531E-002, 5.8565116E+000, 3.5761427E+000,-3.7241379E-001, 5.5814420E-002, 5.9118444E+000, 3.6292222E+000,-3.7241379E-001, 6.1799230E-002, 6.3221306E+000, 3.6507093E+000,-3.7241379E-001, 6.5700878E-002, 5.3782460E+000, 3.6634524E+000
-3.4482759E-001,-6.3050615E-002, 6.0759488E+000, 3.5966428E+000,-3.4482759E-001,-6.1509576E-002, 5.4727434E+000, 3.6109304E+000,-3.4482759E-001,-5.5951517E-002, 5.8706398E+000, 3.5049809E+000,-3.4482759E-001,-5.0503608E-002, 5.8114173E+000, 2.9199184E+000,-3.4482759E-001,-4.7334253E-002, 5.2725441E+000, 2.4835767E+000,-3.4482759E-001, 5.1514155E-002, 5.6467778E+000, 3.5298412E+000,-3.4482759E-001, 5.0256310E-002, 5.6115865E+000, 3.5302364E+000,-3.4482759E-001, 5.6124815E-002, 5.7730857E+000, 3.6312316E+000,-3.4482759E-001, 6.0880550E-002, 6.2525599E+000, 3.6475139E+000,-3.4482759E-001, 6.4929776E-002, 5.1308391E+000, 3.6610541E+000
-3.1724138E-001,-6.3215414E-002, 5.8476744E+000, 3.6093196E+000,-3.1724138E-001,-6.1584343E-002, 5.3272342E+000, 3.6132479E+000,-3.1724138E-001,-5.6371052E-002, 5.8437640E+000, 3.5155918E+000,-3.1724138E-001,-5.1368264E-002, 5.9002092E+000, 3.1220906E+000,-3.1724138E-001,-4.7482010E-002, 5.3253728E+000, 2.5374887E+000,-3.1724138E-001, 5.0571648E-002, 5.6306549E+000, 3.4676051E+000,-3.1724138E-001, 4.9385234E-002, 5.4038693E+000, 3.4629661E+000,-3.1724138E-001, 5.5636818E-002, 5.7618542E+000, 3.6292205E+000,-3.1724138E-001, 6.0066124E-002, 6.2133778E+000, 3.6446261E+000,-3.1724138E-001, 6.4235815E-002, 5.2635296E+000, 3.6589613E+000
-2.8965517E-001,-6.3542136E-002, 5.6372019E+000, 3.6087506E+000,-2.8965517E-001,-6.2017869E-002, 5.3241931E+000, 3.5863299E+000,-2.8965517E-001,-5.7201354E-002, 5.9571575E+000, 3.5318747E+000,-2.8965517E-001,-5.1796782E-002, 5.8664718E+000, 3.1934904E+000,-2.8965517E-001,-4.8152855E-002, 5.2919974E+000, 2.6923866E+000,-2.8965517E-001, 4.9486491E-002, 5.4542583E+000, 3.3936392E+000,-2.8965517E-001, 4.9406745E-002, 5.2389190E+000, 3.4820426E+000,-2.8965517E-001, 5.5691337E-002, 5.7997053E+000, 3.6272342E+000,-2.8965517E-001, 5.9939180E-002, 6.2504110E+000, 3.6444691E+000,-2.8965517E-001, 6.3874381E-002, 5.4512768E+000, 3.6578694E+000
-2.6206897E-001,-6.5136335E-002, 5.6669912E+000, 3.6279460E+000,-2.6206897E-001,-6.2716547E-002, 5.2701553E+000, 3.6178827E+000,-2.6206897E-001,-5.7360195E-002, 6.0639994E+000, 3.5661143E+000,-2.6206897E-001,-5.1771893E-002, 5.7963832E+000, 3.1642884E+000,-2.6206897E-001,-4.8591473E-002, 5.3107168E+000, 2.6910213E+000,-2.6206897E-001, 4.8914802E-002, 5.3640393E+000, 3.4218923E+000,-2.6206897E-001, 4.8606662E-002, 5.1032204E+000, 3.4809108E+000,-2.6206897E-001, 5.5206975E-002, 5.8469735E+000, 3.6278666E+000,-2.6206897E-001, 5.9817125E-002, 6.2463547E+000, 3.6441780E+000,-2.6206897E-001, 6.3656301E-002, 5.4174190E+000, 3.6571843E+000
-2.3448276E-001,-6.5531301E-002, 5.6032303E+000, 3.6365643E+000,-2.3448276E-001,-6.2897552E-002, 5.1569203E+000, 3.5513457E+000,-2.3448276E-001,-5.7236579E-002, 6.0205801E+000, 3.5905866E+000,-2.3448276E-001,-5.1632116E-002, 5.8976256E+000, 3.1647370E+000,-2.3448276E-001,-4.8387310E-002, 5.2347202E+000, 2.6538037E+000,-2.3448276E-001, 4.8426473E-002, 5.4171715E+000, 3.3642878E+000,-2.3448276E-001, 4.9461466E-002, 5.3179922E+000, 3.5427894E+000,-2.3448276E-001, 5.4560358E-002, 5.8185808E+000, 3.6254208E+000,-2.3448276E-001, 5.9365133E-002, 6.3158684E+000, 3.6426616E+000,-2.3448276E-001, 6.3372553E-002, 5.5587674E+000, 3.6562742E+000
-2.0689655E-001,-6.5797748E-002, 5.5000342E+000, 3.6391975E+000,-2.0689655E-001,-6.3015950E-002, 5.3062076E+000, 3.5453965E+000,-2.0689655E-001,-5.7606039E-002, 5.9927145E+000, 3.5306862E+000,-2.0689655E-001,-5.2166485E-002, 6.0981807E+000, 3.1137295E+000,-2.0689655E-001,-4.8922380E-002, 5.3407113E+000, 2.7730985E+000,-2.0689655E-001, 4.7666303E-002, 5.2338583E+000, 3.3369690E+000,-2.0689655E-001, 5.0085991E-002, 5.4641292E+000, 3.5502875E+000,-2.0689655E-001, 5.3742044E-002, 5.7489255E+000, 3.5973146E+000,-2.0689655E-001, 5.9254402E-002, 6.4376218E+000, 3.6424512E+000,-2.0689655E-001, 6.3736525E-002, 5.4139193E+000, 3.6572566E+000
-1.7931034E-001,-6.5916673E-002, 5.4189568E+000, 3.6375197E+000,-1.7931034E-001,-6.2494914E-002, 5.4498443E+000, 3.5531320E+000,-1.7931034E-001,-5.7809176E-002, 5.9522673E+000, 3.4943392E+000,-1.7931034E-001,-5.3528936E-002, 6.3009908E+000, 3.2406304E+000,-1.7931034E-001,-4.9211730E-002, 5.2018783E+000, 2.7481001E+000,-1.7931034E-001, 4.6895221E-002, 5.1378878E+000, 3.3328841E+000,-1.7931034E-001, 5.0697945E-002, 5.5993122E+000, 3.5634219E+000,-1.7931034E-001, 5.3492073E-002, 5.6748549E+000, 3.6209426E+000,-1.7931034E-001, 5.9635340E-002, 6.4978512E+000, 3.6438078E+000,-1.7931034E-001, 6.3669131E-002, 5.3586221E+000, 3.6568823E+000
