s,kW/m2,kW/m2,Pa,kg/m3
Time,Q1-0,Q2-0,p0,rho
 0.0000000E+000,-1.1658240E-001, 1.1658240E-001, 1.0132500E+005, 1.1229154E+000
 1.0041237E+000,-8.3623095E-002, 8.4726896E-002, 1.0132451E+005, 1.1229116E+000
 2.0026689E+000,-5.0753057E-002, 5.2474837E-002, 1.0132165E+005, 1.1228890E+000
 3.0012140E+000,-3.7434355E-002, 3.8734550E-002, 1.0131813E+005, 1.1228612E+000
 4.0053377E+000,-3.5561154E-002, 3.5998303E-002, 1.0131671E+005, 1.1228500E+000
 5.0038829E+000,-3.7662613E-002, 3.7970626E-002, 1.0131566E+005, 1.1228418E+000
 6.0019528E+000,-4.9339914E-002, 4.4749016E-002, 1.0131649E+005, 1.1228483E+000
 7.0039013E+000,-4.9016306E-002, 4.6589055E-002, 1.0132344E+005, 1.1229031E+000
 8.0001978E+000,-4.6976709E-002, 4.4554857E-002, 1.0132815E+005, 1.1229403E+000
 9.0050403E+000,-4.4761786E-002, 4.5390424E-002, 1.0133061E+005, 1.1229602E+000
 1.0000876E+001,-5.5055088E-002, 7.1278012E-002, 1.0132891E+005, 1.1229497E+000
 1.1001024E+001,-8.0739698E-002, 7.9357710E-002, 1.0132625E+005, 1.1229400E+000
 1.2003472E+001,-7.2400182E-002, 8.9740703E-002, 1.0132347E+005, 1.1230582E+000
 1.3003230E+001,-7.5055631E-002, 8.4631114E-002, 1.0132175E+005, 1.1217164E+000
 1.4001775E+001,-7.8372502E-002, 8.1164634E-002, 1.0131963E+005, 1.1202949E+000
 1.5001151E+001,-7.2500651E-002, 8.0998672E-002, 1.0131680E+005, 1.1194278E+000
 1.6001633E+001,-8.8407599E-002, 7.0431959E-002, 1.0131487E+005, 1.1257875E+000
 1.7000178E+001,-7.9729320E-002, 7.3221935E-002, 1.0131348E+005, 1.1256108E+000
 1.8004302E+001,-8.3123971E-002, 8.5060460E-002, 1.0131130E+005, 1.1234621E+000
 1.9002847E+001,-8.4618213E-002, 7.3504281E-002, 1.0130917E+005, 1.1236179E+000
 2.0001392E+001,-6.9247359E-002, 7.6085346E-002, 1.0130770E+005, 1.1232643E+000
 2.1005516E+001,-7.5453105E-002, 6.2005904E-002, 1.0130554E+005, 1.1283247E+000
 2.2004061E+001,-7.9541273E-002, 6.8058925E-002, 1.0130193E+005, 1.1245740E+000
 2.3002607E+001,-8.4912471E-002, 9.0297170E-002, 1.0129934E+005, 1.1237759E+000
 2.4001152E+001,-6.9838617E-002, 8.9298685E-002, 1.0129783E+005, 1.1235773E+000
 2.5005275E+001,-6.9356481E-002, 7.7828092E-002, 1.0129615E+005, 1.1210452E+000
