s,Pa,kg/m3,kW,kW
Time,p0,rho,Q1-0,Q2-0
 0.0000000E+000, 1.0132500E+005, 1.1954478E+000,-8.6343634E-004, 0.0000000E+000
 1.0023291E+000, 1.0142673E+005, 1.1969219E+000,-2.2479896E-004, 4.9245580E-005
 2.0046582E+000, 1.0147062E+005, 1.1978032E+000,-7.1942630E-005, 5.2080277E-005
 3.0069872E+000, 1.0148147E+005, 1.1978806E+000,-5.8866530E-005, 4.9075398E-005
 4.0022577E+000, 1.0148724E+005, 1.1978737E+000,-5.6120656E-005, 5.0641242E-005
 5.0045867E+000, 1.0149045E+005, 1.1978575E+000,-5.5257260E-005, 5.2106291E-005
 6.0069158E+000, 1.0149229E+005, 1.1978464E+000,-5.4837345E-005, 5.2967632E-005
 7.0021862E+000, 1.0149336E+005, 1.1978412E+000,-5.4604398E-005, 5.3461946E-005
 8.0045153E+000, 1.0149397E+005, 1.1978395E+000,-5.4476441E-005, 5.3756112E-005
 9.0068444E+000, 1.0149434E+005, 1.1978392E+000,-5.4407716E-005, 5.3934369E-005
 1.0002115E+001, 1.0149455E+005, 1.1978392E+000,-5.4371509E-005, 5.4041546E-005
 1.1004444E+001, 1.0149467E+005, 1.1978393E+000,-5.4352460E-005, 5.4105954E-005
 1.2006773E+001, 1.0149474E+005, 1.1978394E+000,-5.4342479E-005, 5.4144691E-005
 1.3002043E+001, 1.0149478E+005, 1.1978394E+000,-5.4337364E-005, 5.4167798E-005
 1.4004372E+001, 1.0149480E+005, 1.1978394E+000,-5.4334793E-005, 5.4181637E-005
 1.5006702E+001, 1.0149482E+005, 1.1978393E+000,-5.4333542E-005, 5.4189965E-005
 1.6001972E+001, 1.0149483E+005, 1.1978393E+000,-5.4332972E-005, 5.4194948E-005
 1.7004301E+001, 1.0149483E+005, 1.1978393E+000,-5.4332740E-005, 5.4197948E-005
 1.8006630E+001, 1.0149483E+005, 1.1978393E+000,-5.4332669E-005, 5.4199766E-005
 1.9001901E+001, 1.0149484E+005, 1.1978393E+000,-5.4332671E-005, 5.4200863E-005
 2.0004230E+001, 1.0149484E+005, 1.1978393E+000,-5.4332699E-005, 5.4201530E-005
 2.1006559E+001, 1.0149484E+005, 1.1978393E+000,-5.4332735E-005, 5.4201938E-005
 2.2001829E+001, 1.0149484E+005, 1.1978393E+000,-5.4332767E-005, 5.4202187E-005
 2.3004158E+001, 1.0149484E+005, 1.1978393E+000,-5.4332794E-005, 5.4202340E-005
 2.4006487E+001, 1.0149484E+005, 1.1978393E+000,-5.4332815E-005, 5.4202434E-005
 2.5001758E+001, 1.0149484E+005, 1.1978393E+000,-5.4332830E-005, 5.4202492E-005
 2.6004087E+001, 1.0149484E+005, 1.1978393E+000,-5.4332841E-005, 5.4202528E-005
 2.7000000E+001, 1.0149484E+005, 1.1978393E+000,-5.4332849E-005, 5.4202550E-005
