m,kW/m2,W/m2/K,C,C,kg/m/s,m2/s,kg/m3,m,C,m/s
x,q_wall,h_wall,T_wall,T_gas,mu_wall,nu_wall,rho_wall,z,Tz,Uz
 5.0000000E-002,-8.9231616E-002, 1.6000000E+002, 2.1000000E+001, 2.0442302E+001, 1.0000000E-003, 8.3492065E-004, 1.1977186E+000, 0.0000000E+000, 2.1000000E+001, 0.0000000E+000
 1.5000000E-001,-3.3899935E-002, 1.6000000E+002, 2.1000000E+001, 2.0788125E+001, 1.0000000E-003, 8.3590411E-004, 1.1963095E+000, 2.0408163E-002, 2.0893110E+001, 1.1874582E-001
 2.5000000E-001,-2.4068991E-002, 1.6000000E+002, 2.1000000E+001, 2.0849569E+001, 1.0000000E-003, 8.3607884E-004, 1.1960595E+000, 4.0816327E-002, 2.0786507E+001, 2.3761045E-001
 3.5000000E-001,-2.0183303E-002, 1.6000000E+002, 2.1000000E+001, 2.0873854E+001, 1.0000000E-003, 8.3614790E-004, 1.1959607E+000, 6.1224490E-002, 2.0681133E+001, 3.5534931E-001
 4.5000000E-001,-1.7788693E-002, 1.6000000E+002, 2.1000000E+001, 2.0888821E+001, 1.0000000E-003, 8.3619046E-004, 1.1958998E+000, 8.1632653E-002, 2.0578176E+001, 4.7034698E-001
 5.5000000E-001,-1.6284245E-002, 1.6000000E+002, 2.1000000E+001, 2.0898223E+001, 1.0000000E-003, 8.3621720E-004, 1.1958615E+000, 1.0204082E-001, 2.0479999E+001, 5.7950598E-001
 6.5000000E-001,-1.4814650E-002, 1.6000000E+002, 2.1000000E+001, 2.0907408E+001, 1.0000000E-003, 8.3624332E-004, 1.1958242E+000, 1.2244898E-001, 2.0388204E+001, 6.8065156E-001
 7.5000000E-001,-1.3908772E-002, 1.6000000E+002, 2.1000000E+001, 2.0913070E+001, 1.0000000E-003, 8.3625942E-004, 1.1958012E+000, 1.4285714E-001, 2.0304734E+001, 7.7126845E-001
 8.5000000E-001,-1.2951989E-002, 1.6000000E+002, 2.1000000E+001, 2.0919050E+001, 1.0000000E-003, 8.3627643E-004, 1.1957769E+000, 1.6326531E-001, 2.0232240E+001, 8.4805572E-001
 9.5000000E-001,-1.2245044E-002, 1.6000000E+002, 2.1000000E+001, 2.0923468E+001, 1.0000000E-003, 8.3628900E-004, 1.1957589E+000, 1.8367347E-001, 2.0170618E+001, 9.1131528E-001
 1.0500000E+000,-1.1710287E-002, 1.6000000E+002, 2.1000000E+001, 2.0926811E+001, 1.0000000E-003, 8.3629850E-004, 1.1957453E+000, 2.0408163E-001, 2.0120915E+001, 9.6002173E-001
