s,Pa,kg/m3,kW,kW
Time,p0,rho,Q1-0,Q2-0
 0.0000000E+000, 1.0132500E+005, 1.1794096E+000,-4.3171817E-003, 0.0000000E+000
 1.0023291E+000, 1.0183082E+005, 1.1867035E+000,-1.1446269E-003, 2.6889341E-004
 2.0046582E+000, 1.0205714E+005, 1.1905758E+000,-4.3268089E-004, 3.1846928E-004
 3.0069872E+000, 1.0211406E+005, 1.1901660E+000,-4.0516253E-004, 3.5604661E-004
 4.0022577E+000, 1.0214073E+005, 1.1900205E+000,-4.2387390E-004, 3.9591215E-004
 5.0045867E+000, 1.0215409E+005, 1.1919254E+000,-4.3201222E-004, 4.1750109E-004
 6.0069158E+000, 1.0216015E+005, 1.1921895E+000,-4.2698606E-004, 4.1827453E-004
 7.0021862E+000, 1.0216345E+005, 1.1915022E+000,-4.2527676E-004, 4.1888390E-004
 8.0045153E+000, 1.0216512E+005, 1.1909708E+000,-4.2595963E-004, 4.2120464E-004
 9.0068444E+000, 1.0216584E+005, 1.1908742E+000,-4.2636948E-004, 4.2233137E-004
 1.0002115E+001, 1.0216616E+005, 1.1911756E+000,-4.2608330E-004, 4.2239722E-004
 1.1004444E+001, 1.0216627E+005, 1.1916948E+000,-4.2577553E-004, 4.2239614E-004
 1.2006773E+001, 1.0216615E+005, 1.1924056E+000,-4.2571512E-004, 4.2276452E-004
 1.3002043E+001, 1.0216568E+005, 1.1936071E+000,-4.2637853E-004, 4.2408000E-004
 1.4004372E+001, 1.0216483E+005, 1.1954428E+000,-4.2864733E-004, 4.2691024E-004
 1.5006702E+001, 1.0216402E+005, 1.1948183E+000,-4.3223400E-004, 4.3001128E-004
 1.6001972E+001, 1.0216413E+005, 1.1908386E+000,-4.3363719E-004, 4.2995988E-004
 1.7004301E+001, 1.0216505E+005, 1.1911426E+000,-4.2911908E-004, 4.2466799E-004
 1.8000000E+001, 1.0216615E+005, 1.1918823E+000,-4.2493258E-004, 4.2086093E-004
