m,W/m2/K,kW/m2
HTC-x,HTC,QCONV
-4.9652700E-001, 2.5039843E+001, 1.0592026E+000
-4.8958257E-001, 2.5385148E+001, 1.0842537E+000
-4.8263813E-001, 2.5730287E+001, 1.1089204E+000
-4.7569370E-001, 2.6075014E+001, 1.1352740E+000
-4.6874927E-001, 2.6419324E+001, 1.1623418E+000
-4.6180483E-001, 2.6763079E+001, 1.1892259E+000
-4.5486040E-001, 2.7106059E+001, 1.2173204E+000
-4.4791597E-001, 2.7448029E+001, 1.2453517E+000
-4.4097153E-001, 2.7788950E+001, 1.2744739E+000
-4.3402710E-001, 2.8128693E+001, 1.3035357E+000
-4.2708266E-001, 2.8467107E+001, 1.3330103E+000
-4.2013823E-001, 2.8804014E+001, 1.3632946E+000
-4.1319380E-001, 2.9139326E+001, 1.3940512E+000
-4.0624936E-001, 2.9472860E+001, 1.4253973E+000
-3.9930493E-001, 2.9804462E+001, 1.4575671E+000
-3.9236050E-001, 3.0133981E+001, 1.4900308E+000
-3.8541606E-001, 3.0461267E+001, 1.5232564E+000
-3.7847163E-001, 3.0786168E+001, 1.5565165E+000
-3.7152720E-001, 3.1108534E+001, 1.5906307E+000
-3.6458276E-001, 3.1428211E+001, 1.6248144E+000
-3.5763833E-001, 3.1745050E+001, 1.6596451E+000
-3.5069390E-001, 3.2058898E+001, 1.6942494E+000
-3.4374946E-001, 3.2369604E+001, 1.7295372E+000
-3.3680503E-001, 3.2677017E+001, 1.7639712E+000
-3.2986059E-001, 3.2980987E+001, 1.7993499E+000
-3.2291616E-001, 3.3281364E+001, 1.8341681E+000
-3.1597173E-001, 3.3577999E+001, 1.8698090E+000
-3.0902729E-001, 3.3870744E+001, 1.9053610E+000
-3.0208286E-001, 3.4159450E+001, 1.9413687E+000
-2.9513843E-001, 3.4443973E+001, 1.9772059E+000
-2.8819399E-001, 3.4724166E+001, 2.0133040E+000
-2.8124956E-001, 3.4999887E+001, 2.0495241E+000
-2.7430513E-001, 3.5270992E+001, 2.0860422E+000
