s,Pa,kg/m3,kW,kW
Time,p0,rho,Q1-0,Q2-0
 0.0000000E+000, 1.0132500E+005, 8.8318715E-001,-9.0660816E-002, 0.0000000E+000
 1.0021379E+000, 1.1115730E+005, 1.0109402E+000,-3.1584606E-002, 1.4372117E-002
 2.0018108E+000, 1.1593427E+005, 1.0059680E+000,-2.5093321E-002, 2.2464160E-002
 3.0014546E+000, 1.1669312E+005, 1.0350039E+000,-2.2942507E-002, 2.2496413E-002
 4.0019973E+000, 1.1691707E+005, 1.0112874E+000,-2.3229586E-002, 2.2959739E-002
 5.0015337E+000, 1.1686527E+005, 1.0479703E+000,-2.2572145E-002, 2.2720848E-002
 6.0020964E+000, 1.1678679E+005, 1.0371829E+000,-2.2732023E-002, 2.2649218E-002
 7.0027232E+000, 1.1684008E+005, 1.0493737E+000,-2.3227998E-002, 2.2909705E-002
 8.0010070E+000, 1.1683783E+005, 1.0201367E+000,-2.2765179E-002, 2.2803773E-002
 9.0000000E+000, 1.1685931E+005, 1.0097393E+000,-2.3031887E-002, 2.2878315E-002
