s,Pa,kg/m3,kW,kW
Time,p0,rho,Q1-0,Q2-0
 0.0000000E+000, 1.0132500E+005, 8.8318715E-001,-2.7676600E+002, 0.0000000E+000
 1.0004603E+001, 1.0207207E+005, 9.7112790E-001,-1.9742208E+002, 3.0207044E+001
 2.0005689E+001, 1.0314008E+005, 1.0081000E+000,-1.6218353E+002, 3.7124407E+001
 3.0029047E+001, 1.0409298E+005, 1.0192698E+000,-1.5803120E+002, 4.1721408E+001
 4.0000042E+001, 1.0498698E+005, 1.0223215E+000,-1.5393631E+002, 4.4356013E+001
 5.0030985E+001, 1.0581858E+005, 1.0301162E+000,-1.5013220E+002, 4.9193828E+001
 6.0029902E+001, 1.0659436E+005, 1.0142914E+000,-1.4665313E+002, 5.1123069E+001
 7.0016457E+001, 1.0732849E+005, 1.0353448E+000,-1.4373217E+002, 5.3968524E+001
 8.0024931E+001, 1.0801479E+005, 1.0252865E+000,-1.3990818E+002, 5.6122033E+001
 9.0009137E+001, 1.0865367E+005, 1.0313388E+000,-1.3750750E+002, 5.9650698E+001
 1.0003761E+002, 1.0925282E+005, 1.0212832E+000,-1.3441512E+002, 6.0988726E+001
 1.1003572E+002, 1.0981661E+005, 1.0297403E+000,-1.3198662E+002, 6.3161557E+001
 1.2002144E+002, 1.1034271E+005, 1.0235805E+000,-1.2997863E+002, 6.6068231E+001
 1.3000608E+002, 1.1083199E+005, 1.0192983E+000,-1.2753771E+002, 6.7333695E+001
 1.4002872E+002, 1.1129577E+005, 1.0293517E+000,-1.2539077E+002, 6.8662119E+001
 1.5001193E+002, 1.1172745E+005, 1.0213069E+000,-1.2350676E+002, 7.1355646E+001
 1.6001456E+002, 1.1212815E+005, 1.0308743E+000,-1.2198909E+002, 7.2368061E+001
 1.7000436E+002, 1.1250830E+005, 1.0377447E+000,-1.2050634E+002, 7.4247599E+001
 1.8001087E+002, 1.1286373E+005, 1.0334600E+000,-1.1868943E+002, 7.5276804E+001
 1.9003423E+002, 1.1319562E+005, 1.0368734E+000,-1.1699264E+002, 7.6703414E+001
 2.0001965E+002, 1.1350354E+005, 1.0373517E+000,-1.1564794E+002, 7.8037851E+001
 2.1001683E+002, 1.1379252E+005, 1.0401912E+000,-1.1427853E+002, 7.9063103E+001
 2.2000794E+002, 1.1406230E+005, 1.0387956E+000,-1.1315385E+002, 7.9913508E+001
 2.3002815E+002, 1.1431856E+005, 1.0420843E+000,-1.1238715E+002, 8.0964722E+001
 2.4002278E+002, 1.1455848E+005, 1.0382535E+000,-1.1088453E+002, 8.2071449E+001
 2.5003349E+002, 1.1477796E+005, 1.0389924E+000,-1.1042386E+002, 8.3567822E+001
 2.6002681E+002, 1.1498630E+005, 1.0367949E+000,-1.0977852E+002, 8.4460163E+001
 2.7003522E+002, 1.1517696E+005, 1.0366652E+000,-1.0875473E+002, 8.5776040E+001
 2.8003304E+002, 1.1535335E+005, 1.0286063E+000,-1.0795891E+002, 8.6549949E+001
 2.9001800E+002, 1.1551967E+005, 1.0328371E+000,-1.0744664E+002, 8.7097009E+001
